id,exp_1,exp_2,exp_3,isplay_notice_effect,monsterA_num,monsterA_roleld,monsterB_num,monsterB_roleld,monsterC_num,monsterC_roleld,stageRounds,timeInterval
101,1|10000,,,-1,20,400101,-1,-1,-1,-1,10,10000
102,1|10000,,,-1,50,400102,-1,-1,-1,-1,10,15000
103,1|10000,,,-1,50,400103,-1,-1,-1,-1,10,20000
104,50|10000,1|10000,1|10000,-1,1,410101,10,400102,10,400103,1,3000
105,1|10000,1|10000,,-1,60,400101,30,400104,-1,-1,15,30000
106,1|10000,1|10000,,-1,75,400102,15,400105,-1,-1,15,30000
107,100|10000,1|10000,1|10000,-1,1,410102,10,400104,10,400105,1,3000
108,1|10000,1|10000,,-1,100,400103,40,400106,-1,-1,20,30000
109,1|10000,1|10000,,-1,140,400104,20,400107,-1,-1,20,30000
110,100|10000,1|10000,1|10000,-1,1,410103,30,400106,10,400107,1,10000
201,1|10000,,,-1,20,400201,-1,-1,-1,-1,10,10000
202,1|10000,,,-1,50,400202,-1,-1,-1,-1,10,15000
203,1|10000,,,-1,50,400203,-1,-1,-1,-1,10,20000
204,50|10000,1|10000,1|10000,-1,1,410201,10,400202,10,400203,1,3000
205,1|10000,1|10000,,-1,60,400201,30,400204,-1,-1,15,30000
206,1|10000,1|10000,,-1,75,400202,15,400205,-1,-1,15,30000
207,100|10000,1|10000,1|10000,-1,1,410202,10,400204,10,400205,1,3000
208,1|10000,1|10000,,-1,100,400203,40,400206,-1,-1,20,30000
209,1|10000,1|10000,,-1,140,400204,20,400207,-1,-1,20,30000
210,100|10000,1|10000,1|10000,-1,1,410203,30,400206,10,400207,1,10000
301,1|10000,,,-1,20,400301,-1,-1,-1,-1,10,10000
302,1|10000,,,-1,50,400302,-1,-1,-1,-1,10,15000
303,1|10000,,,-1,50,400303,-1,-1,-1,-1,10,20000
304,50|10000,1|10000,1|10000,-1,1,410301,10,400302,10,400303,1,3000
305,1|10000,1|10000,,-1,60,400301,30,400304,-1,-1,15,30000
306,1|10000,1|10000,,-1,75,400302,15,400305,-1,-1,15,30000
307,100|10000,1|10000,1|10000,-1,1,410302,10,400304,10,400305,1,3000
308,1|10000,1|10000,,-1,100,400303,40,400306,-1,-1,20,30000
309,1|10000,1|10000,,-1,140,400304,20,400307,-1,-1,20,30000
310,100|10000,1|10000,1|10000,-1,1,410303,30,400306,10,400307,1,10000
401,1|10000,,,-1,20,400401,-1,-1,-1,-1,10,10000
