id,attr,component,skin_id
10001,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10001,-1
10002,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10002,-1
10003,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10003,-1
10004,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10004,-1
10005,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10005,-1
10006,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10006,-1
10007,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10007,-1
10008,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10008,-1
10009,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10009,-1
10010,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10010,-1
10011,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10011,-1
10012,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10012,-1
10013,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10013,-1
10014,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10014,-1
10015,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10015,-1
10016,"3|125,4|2000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10016,-1
10017,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10017,-1
10018,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10018,-1
10019,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10019,-1
10020,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10020,-1
10021,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10021,-1
10022,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10022,1002201
10023,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10023,-1
10024,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10024,-1
10025,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10025,-1
10026,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10026,-1
10027,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10027,-1
10028,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10028,-1
10029,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10029,-1
10030,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10030,-1
10031,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10031,-1
10032,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10032,-1
10033,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10033,-1
10034,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10034,-1
10035,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10035,-1
10036,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10036,1003601
10037,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10037,-1
10038,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10038,-1
10039,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10039,-1
10040,"3|125,4|3000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10040,-1
10041,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10041,-1
10042,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10042,-1
10043,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10043,-1
10044,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10044,-1
10045,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10045,-1
10046,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",10046,-1
15032,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",15032,-1
15033,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",15032,-1
15039,"3|125,4|4000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500",15039,-1
52006,"3|100,4|50000,18|0,19|0,27|0,28|0,41|0,42|0,15|0,8|500,34|-99999",52006,-1
