id,desc,desc_parameter,icon,Initially_refresh_weights,max_level,name,parameter1,parameter2,parameter3,quality,refresh_weights,show_type,type
10004,hero_skill_desc_10004|Infinite_monster_lvup_1|Infinite_monster_lvup_1,"80|1|3,25|40|0.5,25|80|0.5",,40000,3,hero_skill_name_1000411,10004,26004001,,4,20000,1,2
10005,hero_skill_desc_10005|Infinite_monster_lvup_13|Infinite_monster_lvup_13,"10|4|8,10|2,10|2",,40000,3,hero_skill_name_1000502,10005,26005001,,4,20000,1,2
10008,hero_skill_desc_10008|Infinite_monster_lvup_9|Infinite_monster_lvup_9,"2|100|2|8,1|25|50,1|25|50",,2500,3,hero_skill_name_1000802,10008,26008001,,5,2500,1,2
10011,hero_skill_desc_10011|Infinite_monster_lvup_12|Infinite_monster_lvup_12,"100|3|1.5,2|50,2|100",,40000,3,hero_skill_name_1001102,10011,26011001,,4,20000,1,2
10013,hero_skill_desc_10013|Infinite_monster_lvup_8|Infinite_monster_lvup_8,"1|80|10,1|50|25,1|50|25",,40000,3,hero_skill_name_1001302,10013,26013001,,4,20000,1,2
10014,hero_skill_desc_10014|Infinite_monster_lvup_7|Infinite_monster_lvup_7,"4|100|1.5,2|50,2|100",,40000,3,hero_skill_name_1001402,10014,26014001,,4,20000,1,2
10015,hero_skill_desc_10015|Infinite_monster_lvup_5|Infinite_monster_lvup_5,"0.5|20|2|20|5,0.5|10,0.5|10",,40000,3,hero_skill_name_1001502,10015,26015001,,4,20000,1,2
10018,hero_skill_desc_10020|Infinite_monster_lvup_5|Infinite_monster_lvup_16,"0.5|20|2|20|5,0.5|10,0.5|10",,0,3,hero_skill_name_1001803,10018,26018001,,5,0,1,2
10020,hero_skill_desc_10020|Infinite_monster_lvup_5|Infinite_monster_lvup_16,"0.5|30|4|8,1|15,30|300",,5000,3,hero_skill_name_1002003,10020,26020001,,5,5000,1,2
10021,hero_skill_desc_10021|Infinite_monster_lvup_17|Infinite_monster_lvup_17,"1|5|150|4,1|75,1|150",,5000,3,hero_skill_name_1002101,10021,26021001,,5,5000,1,2
10022,hero_skill_desc_10022|Infinite_monster_lvup_2|Infinite_monster_lvup_2,"180|3|50|2|30|4,25|75,25|150",,5000,3,hero_skill_name_1002203,10022,26022001,,5,5000,1,2
10023,hero_skill_desc_10024|Infinite_monster_lvup_3|Infinite_monster_lvup_4,"180|3|150|2|30|2,25|75,25|150",,0,3,hero_skill_name_1002301,10023,26023001,,5,0,1,2
10024,hero_skill_desc_10024|Infinite_monster_lvup_3|Infinite_monster_lvup_4,"3|150|3,2|75,2|150",,5000,3,hero_skill_name_1002401,10024,26024001,,5,5000,1,2
10025,hero_skill_desc_10025|Infinite_monster_lvup_11|Infinite_monster_lvup_21,"50|3|50|4,25|75,25|75|100",,5000,3,hero_skill_name_1002501,10025,26025001,,5,5000,1,2
10027,hero_skill_desc_10027|Infinite_monster_lvup_10|Infinite_monster_lvup_23,"100|8,2|50,50|2|4|100",,2500,3,hero_skill_name_1002703,10027,26027001,,5,2500,1,2
10028,hero_skill_desc_10028|Infinite_monster_lvup_15|Infinite_monster_lvup_26,"4|7.5|8,2|15,15|4|50",,2500,3,hero_skill_name_1002803,10028,26028001,,5,2500,1,2
10030,hero_skill_desc_10030|Infinite_monster_lvup_2|Infinite_monster_lvup_14,"180|0|150|1|4,25|75,25|75",,5000,3,hero_skill_name_1003003,10030,26030001,,5,5000,1,2
10035,hero_skill_desc_10035|Infinite_monster_lvup_19|Infinite_monster_lvup_20,"0.5|30|4|50|8,2|50,15|50",,5000,3,hero_skill_name_1003503,10035,26035001,,5,5000,1,2
10036,hero_skill_desc_10036|Infinite_monster_lvup_2|Infinite_monster_lvup_22,"100|4|6,25|50,300",,5000,3,hero_skill_name_1002901,10036,26036001,,5,5000,1,2
10038,hero_skill_desc_10038|Infinite_monster_lvup_24|Infinite_monster_lvup_25,"150|2|20|4,25|75|10,75|2|1",,5000,3,hero_skill_name_1003802,10038,26038001,,5,5000,1,2
10040,hero_skill_desc_10040|Infinite_monster_lvup_18|Infinite_monster_lvup_18,"3|150|1,2|75,2|75",,5000,3,hero_skill_name_1004002,10040,26040001,,5,5000,1,2
1001,Infinite_monster_buff_desc_1|Infinite_monster_buff_desc_1|Infinite_monster_buff_desc_1|Infinite_monster_buff_desc_1|Infinite_monster_buff_desc_1,"10,20,30,40,50",icon_rzd_zhanli,-1,5,Infinite_monster_buff_name_1,0,103|1000|1000|1000|1000|1000,,4,30000,2,1
1002,Infinite_monster_buff_desc_2|Infinite_monster_buff_desc_2|Infinite_monster_buff_desc_2|Infinite_monster_buff_desc_2|Infinite_monster_buff_desc_2,"10,20,30,40,50",icon_rzd_sudu,-1,5,Infinite_monster_buff_name_2,0,5|10|10|10|10|10,,4,30000,2,1
1003,Infinite_monster_buff_desc_3|Infinite_monster_buff_desc_3|Infinite_monster_buff_desc_3|Infinite_monster_buff_desc_3|Infinite_monster_buff_desc_3,"10,20,30,40,50",icon_rzd_tili,-1,5,Infinite_monster_buff_name_3,0,104|1000|1000|1000|1000|1000,,4,30000,2,1
1004,Infinite_monster_buff_desc_4|Infinite_monster_buff_desc_4|Infinite_monster_buff_desc_4|Infinite_monster_buff_desc_4|Infinite_monster_buff_desc_4,"5,10,15,20,25",icon_rzd_fanwei,-1,5,Infinite_monster_buff_name_4,0,8|500|500|500|500|500,,4,30000,2,1
1,,,,-1,3,,1,4|5|6,24001001,-1,0,3,4
2,,,,-1,3,,2,4|5|6,24002001,-1,0,3,4
3,,,,-1,3,,3,4|5|6,24004001,-1,0,3,4
