id,AttrArr,attr
1,[[103|100]|[104|100]],"103|100,104|100"
2,[[103|100]|[104|200]],"103|100,104|200"
3,[[103|200]|[104|300]],"103|200,104|300"
4,[[103|200]|[104|400]],"103|200,104|400"
5,[[103|300]|[104|500]],"103|300,104|500"
6,[[103|300]|[104|600]],"103|300,104|600"
7,[[103|400]|[104|700]],"103|400,104|700"
8,[[103|400]|[104|800]],"103|400,104|800"
9,[[103|500]|[104|900]],"103|500,104|900"
10,[[103|500]|[104|1000]],"103|500,104|1000"
11,[[103|600]|[104|1100]],"103|600,104|1100"
12,[[103|600]|[104|1200]],"103|600,104|1200"
13,[[103|700]|[104|1300]],"103|700,104|1300"
14,[[103|700]|[104|1400]],"103|700,104|1400"
15,[[103|800]|[104|1500]],"103|800,104|1500"
16,[[103|800]|[104|1600]],"103|800,104|1600"
17,[[103|900]|[104|1700]],"103|900,104|1700"
18,[[103|900]|[104|1800]],"103|900,104|1800"
19,[[103|1000]|[104|1900]],"103|1000,104|1900"
20,[[103|1000]|[104|2000]],"103|1000,104|2000"
21,[[103|1100]|[104|2100]],"103|1100,104|2100"
22,[[103|1100]|[104|2200]],"103|1100,104|2200"
23,[[103|1200]|[104|2300]],"103|1200,104|2300"
24,[[103|1200]|[104|2400]],"103|1200,104|2400"
25,[[103|1300]|[104|2500]],"103|1300,104|2500"
26,[[103|1300]|[104|2600]],"103|1300,104|2600"
27,[[103|1400]|[104|2700]],"103|1400,104|2700"
28,[[103|1400]|[104|2800]],"103|1400,104|2800"
29,[[103|1500]|[104|2900]],"103|1500,104|2900"
30,[[103|1500]|[104|3000]],"103|1500,104|3000"
31,[[103|1600]|[104|3100]],"103|1600,104|3100"
32,[[103|1600]|[104|3200]],"103|1600,104|3200"
33,[[103|1700]|[104|3300]],"103|1700,104|3300"
34,[[103|1700]|[104|3400]],"103|1700,104|3400"
35,[[103|1800]|[104|3500]],"103|1800,104|3500"
36,[[103|1800]|[104|3600]],"103|1800,104|3600"
37,[[103|1900]|[104|3700]],"103|1900,104|3700"
38,[[103|1900]|[104|3800]],"103|1900,104|3800"
39,[[103|2000]|[104|3900]],"103|2000,104|3900"
40,[[103|2000]|[104|4000]],"103|2000,104|4000"
