id,battle_time,buffs,defend_unit,defend_unit_position,first_reward,group_id,Initially_buff,map,monster_id,need_day,own_buffs,pre_level,use_own_hero
1,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282001,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,101|102|103|104|105|106|107|108|109|110,0,1|2|3,-1,-1
2,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282002,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,201|202|203|204|205|206|207|208|209|210,0,1|2|3,1,-1
3,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282003,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,301|302|303|304|305|306|307|308|309|310,0,1|2|3,2,-1
4,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282004,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,401|402|403|404|405|406|407|408|409|410,0,1|2|3,3,-1
5,480,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282005,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,501|502|503|504|505|506|507|508|509|510,0,1|2|3,4,-1
6,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282006,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,601|602|603|604|605|606|607|608|609|610,1,1|2|3,5,-1
7,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282007,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,701|702|703|704|705|706|707|708|709|710,1,1|2|3,6,-1
8,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282008,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,801|802|803|804|805|806|807|808|809|810,1,1|2|3,7,-1
9,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282009,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,901|902|903|904|905|906|907|908|909|910,1,1|2|3,8,-1
10,480,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282010,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,1001|1002|1003|1004|1005|1006|1007|1008|1009|1010,1,1|2|3,9,-1
11,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282011,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,1101|1102|1103|1104|1105|1106|1107|1108|1109|1110,2,1|2|3,10,-1
12,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282012,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,1201|1202|1203|1204|1205|1206|1207|1208|1209|1210,2,1|2|3,11,-1
13,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282013,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,1301|1302|1303|1304|1305|1306|1307|1308|1309|1310,2,1|2|3,12,-1
14,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282014,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,1401|1402|1403|1404|1405|1406|1407|1408|1409|1410,2,1|2|3,13,-1
15,480,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282015,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,1501|1502|1503|1504|1505|1506|1507|1508|1509|1510,2,1|2|3,14,-1
16,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282016,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,1601|1602|1603|1604|1605|1606|1607|1608|1609|1610,3,1|2|3,15,-1
17,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282017,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,1701|1702|1703|1704|1705|1706|1707|1708|1709|1710,3,1|2|3,16,-1
18,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282018,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,1801|1802|1803|1804|1805|1806|1807|1808|1809|1810,3,1|2|3,17,-1
19,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282019,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,1901|1902|1903|1904|1905|1906|1907|1908|1909|1910,3,1|2|3,18,-1
20,480,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282020,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,2001|2002|2003|2004|2005|2006|2007|2008|2009|2010,3,1|2|3,19,-1
21,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282021,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,2101|2102|2103|2104|2105|2106|2107|2108|2109|2110,4,1|2|3,20,-1
22,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282022,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,2201|2202|2203|2204|2205|2206|2207|2208|2209|2210,4,1|2|3,21,-1
23,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282023,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,2301|2302|2303|2304|2305|2306|2307|2308|2309|2310,4,1|2|3,22,-1
