Assembly,FullTypeName,TypeName,UsedBySuccessfulExport,GenerateMetaSignatures,GetMetaEnumeratorDeclaringType,StaticStringMembers
GameProj,ActiveShopMeta,ActiveShopMeta,true,"ActiveShopMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActiveShopMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActiveShopMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivityDispathHeroMeta,ActivityDispathHeroMeta,true,"ActivityDispathHeroMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityDispathHeroMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityDispathHeroMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivityDropMeta,ActivityDropMeta,true,"ActivityDropMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityDropMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityDropMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivityHeroAchievementMeta,ActivityHeroAchievementMeta,true,"ActivityHeroAchievementMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityHeroAchievementMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityHeroAchievementMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivityMeta,ActivityMeta,true,"ActivityMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivityMusicDialogueTypeMeta,ActivityMusicDialogueTypeMeta,true,"ActivityMusicDialogueTypeMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityMusicDialogueTypeMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityMusicDialogueTypeMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivityMusicTypeMeta,ActivityMusicTypeMeta,true,"ActivityMusicTypeMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityMusicTypeMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityMusicTypeMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivityNewMeta,ActivityNewMeta,true,"ActivityNewMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityNewMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityNewMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivityPointMissionMeta,ActivityPointMissionMeta,true,"ActivityPointMissionMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityPointMissionMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityPointMissionMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivityPowerIndexMeta,ActivityPowerIndexMeta,true,"ActivityPowerIndexMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityPowerIndexMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityPowerIndexMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
