id,banner,condition,cost_id,cost_num,cost_price,cost_type,goods,goods_quality,group,is_daily,is_open,order,sale
1,bg_shop_00,,204002,1,199,2,9669101,2,10000,-1,1,1,10000
2,bg_shop_00,,204002,10,5,2,9669102,1,10000,-1,1,3,10000
3,bg_shop_00,,204002,10,5,2,9669103,1,10000,-1,1,4,10000
4,bg_shop_00,,204002,10,5,2,9669104,1,10000,-1,1,5,10000
5,bg_shop_00,,204002,4,5,2,9669105,3,10000,-1,1,7,10000
6,bg_shop_00,,204002,5,5,2,9669106,3,10000,-1,1,2,10000
7,bg_shop_00,,204002,50,2,2,9669107,1,10000,-1,1,8,10000
8,bg_shop_00,,204002,50,3,2,9669108,1,10000,-1,1,9,10000
9,bg_shop_00,,204002,50,1,2,9669109,1,10000,-1,1,6,10000
100001,bg_shop_00,,281,3,100,2,2,2,180,-1,1,1,10000
100002,bg_shop_00,,281,3,100,2,2,2,180,-1,1,2,10000
100003,bg_shop_00,,281,3,100,2,2,2,180,-1,1,3,10000
100004,bg_shop_00,,281,3,100,2,2,2,180,-1,1,4,10000
100005,bg_shop_00,,281,3,100,2,2,2,180,-1,1,5,10000
100006,bg_shop_00,,281,20,100,2,1,2,180,-1,1,6,10000
100007,bg_shop_00,,281,20,100,2,1,2,180,-1,1,7,10000
100008,bg_shop_00,,281,20,100,2,1,2,180,-1,1,8,10000
100009,bg_shop_00,,281,20,100,2,1,2,180,-1,1,9,10000
100010,bg_shop_00,,281,20,100,2,1,2,180,-1,1,10,10000
101,bg_shop_00,,204002,1,99,2,75207,2,10001,-1,1,1,10000
102,bg_shop_00,,204002,10,5,2,75208,1,10001,-1,1,2,10000
103,bg_shop_00,,204002,10,5,2,75209,1,10001,-1,1,3,10000
104,bg_shop_00,,204002,10,5,2,75210,1,10001,-1,1,5,10000
105,bg_shop_00,,204002,4,5,2,75211,3,10001,-1,1,7,10000
106,bg_shop_00,,204002,5,5,2,75212,3,10001,-1,1,2,10000
107,bg_shop_00,,204002,50,2,2,75213,1,10001,-1,1,8,10000
108,bg_shop_00,,204002,50,3,2,75214,1,10001,-1,1,9,10000
109,bg_shop_00,,204002,50,1,2,75215,1,10001,-1,1,6,10000
110,bg_shop_00,,204002,1,199,2,9669101,2,10002,-1,1,1,10000
111,bg_shop_00,,204002,50,5,2,9056007,1,10002,-1,1,2,10000
112,bg_shop_00,,204002,50,5,2,9056008,1,10002,-1,1,3,10000
113,bg_shop_00,,204002,50,5,2,9056009,1,10002,-1,1,4,10000
114,bg_shop_00,,204002,20,5,2,9669105,3,10002,-1,1,5,10000
115,bg_shop_00,,204002,20,5,2,9669106,3,10002,-1,1,6,10000
116,bg_shop_00,,204002,100,2,2,9669107,1,10002,-1,1,7,10000
117,bg_shop_00,,204002,100,3,2,9669108,1,10002,-1,1,8,10000
118,bg_shop_00,,204002,100,1,2,9669109,1,10002,-1,1,9,10000
119,bg_shop_00,,204002,1,399,2,9159001,2,10003,-1,1,1,10000
120,bg_shop_00,,204002,100,10,2,9159002,1,10003,-1,1,2,10000
123,bg_shop_00,,204002,1,100,2,9159005,3,10003,-1,1,5,10000
124,bg_shop_00,,204002,1,100,2,9159006,3,10003,-1,1,6,10000
125,bg_shop_00,,204002,1,45,2,9159007,1,10003,-1,1,7,10000
126,bg_shop_00,,204002,1,45,2,9159008,1,10003,-1,1,8,10000
127,bg_shop_00,,204002,1,45,2,9159009,1,10003,-1,1,9,10000
128,bg_shop_00,,204002,4,10,2,9159010,-1,10003,-1,1,10,10000
129,bg_shop_00,,204002,5,15,2,9159011,-1,10003,-1,1,11,10000
130,bg_shop_00,,204002,50,5,2,9159012,-1,10003,-1,1,12,10000
131,bg_shop_00,,204002,50,3,2,9159013,-1,10003,-1,1,13,10000
