id,conditionParamList,banner_icon,banner_image,banner_time,close_country,condition,correlate_show,date_color,date_dec,date_show,date_type,DefeatUI_desc,DefeatUI_icon,delay_time,describe,end_form_finish,end_show_time,entry_icon_type,exchangeRange,extra_reward,faq,form_list,goto_type,goto_value,gotoValueNum,icon,is_commerce,is_open,is_resources,item,login_data_get,loop_type,mail,MainTime_show,MainUI_btn,MainUI_icon,MainUI_isShow,MainUI_name,MainUI_order,MainUI_require,MainUI_show,mutex,name,on_broad,open_country,OpenPanel,order,param,param2,plat,recommend_type,recycle,red_point,reward_activity,reward_show,season,server_activity_time,server_list,server_open_day,service_id,show_colortype,show_desc,show_pic,show_reward,show_type,spec_name,switch_name,take_effect_time,time_type,type,ui_image,ui_type,uid,weight
129,[[6|1]],,,-1,,6|1,-1,-1,,-1,-1,,,-1,activity_describe_battlepass,5,-1,1,[],,,5|20106,1,[16|4],[16|4],Activity_20,1,0,-1,-1,-1,-1,13003,-1,-1,,-1,,-1,,-1,,activity_name27,1,,ShowBattlePassPanel,-1,[10011],,,-1,,-1,,,-1,2022-5-23 00:00:00|2099-5-31 23:59:59,,,,1,activity_describe_battlepass,NeXT_btlps_icon_score,-1,1,,activity_battlepass,5,4,4,,,,-1
144,[[5|7]],,Textures/ActivityList/BattlePassBanner_2,-1,,5|7,-1,-1,,-1,-1,activity_describe_battlepass,Activity_20,-1,activity_describe_battlepass,5,-1,1,[[69|130]],,,5|20106,1,[16|4],[16|4],Activity_20,1,0,-1,-1,-1,1,13003,-1,-1,Activity_19,-1,UI_Func_015,801,[69|130],-1,,activity_name27,1,,ShowBattlePassPanel,-1,[10011],,,2,,-1,,,-1,2022-5-23 00:00:00|2099-5-31 23:59:59,10001-10005,,,1,activity_describe_battlepass,NeXT_btlps_icon_score,-1,1,,activity_battlepass,5,4,4,,,,900
145,[[7|144|1]],,Textures/ActivityList/BattlePassBanner_2,-1,,7|144|1,-1,-1,,-1,-1,activity_describe_battlepass,Activity_19,-1,activity_describe_battlepass,,-1,1,[],,,5|30106,-1,,[],Activity_20,1,0,-1,-1,1,1,13003,-1,1,Activity_19,-1,UI_Func_015,-1,,-1,,activity_name27,1,,ShowBattlePassPanel,-1,[10012],,,2,,-1,,,-1,2022-5-23 00:00:00|2099-5-31 23:59:59,,,,1,activity_describe_battlepass,NeXT_btlps_icon_score,-1,1,,activity_battlepass,672,2,4,,,,900
146,[[5|999]],,,-1,,5|999,-1,-1,,-1,-1,activity_describe_battlepass,Activity_19,-1,activity_describe_battlepass,,-1,1,[],,,5|30106,-1,,[],Activity_20,1,0,-1,-1,1,-1,13003,-1,-1,Activity_19,-1,UI_Func_015,-1,,-1,,activity_name27,1,,,-1,[10011],,,-1,,-1,,,-1,2022-5-23 00:00:00|2099-5-31 23:59:59,,,,1,activity_describe_battlepass,NeXT_btlps_icon_score,-1,1,,activity_battlepass,672,2,4,,,,-1
171,[[5|10]],,Textures/ActivityList/FundBanner_build,-1,,5|10,-1,-1,,-1,-1,activity_describe_171,,-1,activity_describe_171,,24,2,[],,,"3|1001|1002|1003|1004,19|1|20|73101|50|73102|100|73103|200|73104",-1,,[],Activity_4,1,0,-1,-1,-1,-1,2001,-1,-1,,-1,,-1,,-1,,activity_name171,-1,,show_ranking_main_panel,-1,[11001|11002|11003|11004|11005|11006],,,-1,,-1,,,-1,2023-8-3 00:00:00|2023-8-10 23:59:59,1-10005,,,-1,activity_describe_171,,-1,-1,,activity_self_select_pack,2023-8-3 00:00:00|2023-8-10 23:59:59,1,18,,,,900
172,[[5|10]],,Textures/ActivityList/RankGiftBag_StarUp,-1,,5|10,-1,-1,,-1,-1,activity_describe_171,,-1,activity_describe_171,,1,2,[],,,"3|1001|1002|1003|1004,19|1|20|73101|50|73102|100|73103|200|73104",-1,,[],Activity_25,1,1,-1,-1,-1,-1,2001,-1,2,,-1,,-1,,-1,,activity_name171,-1,,show_ranking_main_panel,-1,[11001|11002|11003|11004|11005|11006],,,-1,,-1,,,-1,2023-8-8 00:00:00|2023-8-10 22:59:59,10001-10005,,,-1,activity_describe_171,,-1,-1,,activity_self_select_pack,2023-8-8 00:00:00|2023-8-10 22:59:59,1,18,,,,900
173,[[5|10]],,Textures/ActivityList/RankGiftBag_Building,-1,,5|10,-1,-1,,-1,-1,,,-1,activity_describe_171,,1,2,[],,,"3|2001|2002|2003|2004,19|2|20|73301|50|73302|100|73303|200|73304|500|73305",-1,,[],Activity_24,1,1,-1,-1,-1,-1,2001,-1,2,,-1,,-1,,-1,,activity_name171,-1,,show_ranking_main_panel,-1,[11011|11012|11013|11014|11015|11016|11017|11018|11019],,,-1,,-1,,,-1,2023-8-11 00:00:00|2023-8-14 22:59:59,10001-10005,,,-1,activity_describe_171,,-1,-1,,activity_self_select_pack,2023-8-10 00:00:00|2023-8-13 22:59:59,1,18,,,,900
174,[[5|10]],,Textures/ActivityList/RankGiftBag_LvUp,-1,,5|10,-1,-1,,-1,-1,,,-1,activity_describe_171,,1,2,[],,,"3|3001|3002|3003|3004,19|3|1500|73421|2500|73422|5000|73423|10000|73424",-1,,[],Activity_23,1,1,-1,-1,-1,-1,2001,-1,2,,-1,,-1,,-1,,activity_name171,-1,,show_ranking_main_panel,-1,[11021|11022|11023|11024|11025|11026|11027|11028],,,-1,,-1,,,-1,2023-8-14 00:00:00|2023-8-17 22:59:59,10001-10005,,,-1,activity_describe_171,,-1,-1,,activity_self_select_pack,2023-8-14 00:00:00|2023-8-17 22:59:59,1,18,,,,900
175,[[5|10]],,Textures/ActivityList/RankGiftBag_StarUp,-1,,5|10,-1,-1,,-1,-1,,,-1,activity_describe_171,,1,2,[],,,"21|3005,7|10000|204002,20|1",-1,,[],Activity_26,1,1,-1,-1,-1,-1,2001,-1,-1,,-1,,-1,,-1,,activity_name175,-1,,ShowRollingTableGiftPanel,-1,[46001|46002|46003|46004|46005|46006],,,-1,,-1,,,-1,2023-8-17 12:00:00|2023-8-24 11:59:59,10001-10005,,,-1,activity_describe_171,,-1,-1,,,2023-8-17 12:00:00|2023-8-24 11:59:59,1,19,,,,900
180,[[5|1]],,,-1,,5|1,-1,-1,,-1,-1,,,-1,activity_describe_180,,1,1,[],,activity_faq_180,"22|10070,21|4005",-1,,[],Activity_31,-1,1,-1,-1,-1,-1,-1,-1,2,,-1,,-1,,-1,,activity_name180,-1,,,-1,,,,-1,,-1,,,-1,2023-9-08 00:00:00|2023-9-14 23:59:59,10001-10006,,,-1,activity_describe_180,,-1,-1,,,2023-9-08 00:00:00|2023-9-14 23:59:59,1,20,,,,-1
176,[[5|10]],,Textures/ActivityList/RankGiftBag_Building,-1,,5|10,-1,-1,,-1,-1,,,-1,activity_describe_171,,1,2,[],,,"3|2001|2002|2003|2004,19|4|150|9669410|250|9669411|500|9669412|1000|9669413",-1,,[],Activity_24,1,1,-1,-1,-1,-1,2001,-1,-1,,-1,,-1,,-1,,activity_name171,-1,,show_ranking_main_panel,-1,[47001|47002|47003|47004|47005|47006|47007|47008|47009],,,-1,,-1,,,-1,2023-8-19 00:00:00|2023-8-21 22:59:59,10001-10001,,,-1,activity_describe_171,,-1,-1,,activity_self_select_pack,2023-8-19 00:00:00|2023-8-21 22:59:59,1,18,,,,900
177,[[5|10]],,Textures/ActivityList/RankGiftBag_Building,-1,,5|10,-1,-1,,-1,-1,,,-1,activity_describe_171,,1,2,[],,,"3|2001|2002|2003|2004,19|4|150|9669410|250|9669411|500|9669412|1000|9669413",-1,,[],Activity_24,1,1,-1,-1,-1,-1,2001,-1,-1,,-1,,-1,,-1,,activity_name171,-1,,show_ranking_main_panel,-1,[47001|47002|47003|47004|47005|47006|47007|47008|47009],,,-1,,-1,,,-1,2023-8-20 00:00:00|2023-8-22 22:59:59,10002-10005,,,-1,activity_describe_171,,-1,-1,,activity_self_select_pack,2023-8-20 00:00:00|2023-8-22 22:59:59,1,18,,,,900
178,[[5|10]],,Textures/ActivityList/RankGiftBag_StarUp,-1,,5|10,-1,-1,,-1,-1,activity_describe_171,,-1,activity_describe_171,,1,2,[],,,"3|1009|1010|1011|1012,19|5|20|74101|50|74102|100|74103|200|74104",-1,,[],Activity_25,1,1,-1,-1,-1,-1,2001,-1,2,,-1,,-1,,-1,,activity_name171,-1,,show_ranking_main_panel,-1,[12001|12002|12003|12004|12005|12006],,,-1,,-1,,,-1,2023-8-28 00:00:00|2023-8-31 22:59:59,10001-10005,,,-1,activity_describe_171,,-1,-1,,activity_self_select_pack,2023-8-28 00:00:00|2023-8-31 22:59:59,1,18,,,,900
179,[[6|7]],,Textures/ActivityList/RankGiftBag_StarUp,-1,,6|7,-1,-1,,-1,-1,activity_describe_171,,-1,activity_name179,,1,2,[],,,"3|1013|1014|1015|1016,19|0|20|75101|50|75102|100|75103|200|75104",-1,,[],Activity_29,1,1,-1,-1,-1,-1,2001,-1,-1,,-1,,-1,,-1,,activity_name179,-1,,show_ranking_main_panel,-1,[13001|13002|13003|13004|13005|13006],,,-1,,-1,,,-1,2023-8-24 12:00:00|2099-9-4 22:59:59,10001-10005,,,-1,activity_describe_171,,-1,-1,,activity_self_select_pack,168,2,18,,,,900
181,[[6|7]],,Textures/ActivityList/RankGiftBag_StarUp,-1,,6|7,-1,-1,,-1,-1,,,-1,activity_describe_181,,1,2,[],,,"21|3005,7|10001|204002,20|2",-1,,[],Activity_26,1,1,-1,-1,-1,-1,2001,-1,4,,-1,,-1,,-1,,activity_name181,-1,,ShowRollingTableGiftPanel,-1,[46001|46002|46003|46004|46005|46006],,,-1,,-1,,,-1,2023-8-24 12:00:00|2099-9-4 22:59:59,10001-10005,,,-1,activity_describe_171,,-1,-1,,,168,2,19,,,,900
182,[[5|10]],,Textures/ActivityList/RankGiftBag_StarUp,-1,,5|10,-1,-1,,-1,-1,activity_describe_171,,-1,activity_describe_171,,1,2,[],,,"3|1017|1018|1019|1020,19|6|20|78101|50|78102|100|78103|200|78104",-1,,[],Activity_25,1,1,-1,-1,-1,-1,2001,-1,2,,-1,,-1,,-1,,activity_name171,-1,,show_ranking_main_panel,-1,[828001|828002|828003|828004|828005|828006],,,-1,,-1,,,-1,2023-8-30 00:00:00|2023-9-1 22:59:59,10001-10005,,,-1,activity_describe_171,,-1,-1,,activity_self_select_pack,2023-8-30 00:00:00|2023-9-1 22:59:59,1,18,,,,900
190,[[5|10]],,Textures/ActivityList/RankGiftBag_StarUp,-1,,5|10,-1,-1,,-1,-1,,,-1,activity_describe_190,,-1,2,[],,,"24|10026|1002611,36|96|72",-1,,[],Activity_25,1,0,-1,-1,1,-1,-1,-1,1,,-1,,-1,,-1,,activity_name190,-1,,,-1,[902001|902002],,,-1,,-1,,,-1,2023-8-29 00:00:00|2029-8-31 22:59:59,1-10012,,,-1,,,-1,-1,,,0|-1,6,22,,,,-1
191,[[5|10]],,Textures/ActivityList/RankGiftBag_StarUp,-1,,5|10,-1,-1,,-1,-1,,,-1,activity_describe_191,,-1,2,[],,,24|10035|1003511,-1,,[],Activity_25,1,0,-1,-1,1,-1,-1,-1,1,,-1,,-1,,-1,,activity_name191,-1,,,-1,[902005|902006],,,-1,,-1,,,-1,2023-8-29 00:00:00|2029-8-31 22:59:59,1-10007,,,-1,,,-1,-1,,,7|-1,6,22,,,,-1
200,[[6|0]|[5|5]],,Textures/ActivityList/BattlePassBanner_2,-1,,"6|0,5|5",-1,-1,,-1,-1,activity_describe_battlepass,Activity_20,-1,activity_describe_battlepass,5,-1,1,[[69|130]],,,5|20106,1,[16|4],[16|4],Activity_20,1,0,-1,-1,-1,1,13003,-1,-1,Activity_19,-1,UI_Func_015,801,[69|130],-1,,activity_name27,1,,ShowBattlePassPanel,-1,[99911],,,2,,-1,,,-1,2022-5-23 00:00:00|2099-5-31 23:59:59,"10001,10006-10007",,,1,activity_describe_battlepass,NeXT_btlps_icon_score,-1,1,,activity_battlepass,5,4,4,,,,900
194,[[5|10]],,Textures/ActivityList/TotalPay_Firegirl,-1,,5|10,-1,-1,,-1,-1,,,-1,activity_describe_194,,-1,2,[],,,23|2391001|0|100|1900001|200|1900002|500|1900003|1000|1900004|1500|1900005|3000|1900006|4600|1900007,-1,,[],Activity_1,1,0,-1,-1,-1,-1,-1,-1,1,,-1,,-1,,-1,,activity_name_194,-1,,ShowTotalPayPanel,-1,,,,-1,,-1,,,-1,2023-9-1 00:00:00|2023-9-7 22:59:59,1-10006,,,-1,activity_describe_171,,-1,-1,,,2023-9-1 00:00:00|2023-9-7 22:59:59,1,21,,,,-1
195,[[6|0]|[5|6]],,Textures/ActivityList/TotalPay_Firegirl,-1,,"6|0,5|6",-1,-1,,-1,-1,,,-1,activity_describe_194,23,-1,2,[],,activity_faq_193,23|2391001|0|100|1900001|200|1900002|500|1900003|1000|1900004|1500|1900005|3000|1900006|4600|1900007,-1,,[],Activity_1,1,1,-1,-1,-1,-1,-1,-1,2,,-1,,-1,,-1,,activity_name_194,-1,,ShowTotalPayPanel,-1,,,,-1,,-1,,,-1,2023-9-1 00:00:00|2029-9-30 22:59:59,10001-10077,,,-1,activity_describe_171,,-1,-1,,,504,2,21,,,,-1
196,[[5|10]],,Textures/ActivityList/RankGiftBag_StarUp,-1,,5|10,-1,-1,,-1,-1,activity_describe_171,,-1,activity_describe_171,,1,2,[],,,"3|1001|1002|1003|1004,19|1|20|73101|50|73102|100|73103|300|73104",-1,,[],Activity_25,1,1,-1,-1,-1,-1,2001,-1,2,,-1,,-1,,-1,,activity_name171,-1,,show_ranking_main_panel,-1,[904001|904002|904003|904004|904005|904006],,,-1,,-1,,,-1,2023-9-4 00:00:00|2023-9-6 22:59:59,10006,,,-1,activity_describe_171,,-1,-1,,activity_self_select_pack,2023-9-4 00:00:00|2023-9-6 22:59:59,1,18,,,,900
197,[[5|10]],,,-1,,5|10,-1,-1,,-1,-1,,,-1,UI_RallyActivity_002,,-1,1,[],,,21|1063,-1,,[],Activity_42,-1,0,-1,-1,-1,-1,-1,-1,2,,-1,,-1,,-1,,UI_RallyActivity_001,-1,,RallyAcitivtyPanel,-1,[4102|301000|41000|4103|10],,,-1,,-1,,,-1,2023-9-13 00:00:00|2034-9-12 23:59:59,1-10007,,,-1,UI_RallyActivity_007,,-1,-1,,,1|7,6,25,,,,900
185,[],,,-1,,,-1,-1,,-1,-1,,,-1,,,-1,1,[],,,25|0|1101|1102|1103|1104|1105|1106|1107,-1,,[],Activity_23,-1,0,-1,-1,-1,-1,0,-1,2,,-1,,-1,,-1,,activity_name180,-1,,ShowWarChestContestPanel,-1,,,,-1,,-1,,,-1,,1-10005,,,-1,,,-1,-1,,,0|7,5,23,,,,-1
186,[],,,-1,,,-1,-1,,-1,-1,,,-1,,,-1,1,[],,,25|1003|2101|2102|2103|2104|2105|2106|2107,-1,,[],Activity_23,-1,0,-1,-1,-1,-1,3002,-1,2,,-1,,-1,,-1,,race_activity_title2,-1,,ShowWarChestContestPanel,-1,,,,-1,,-1,,,-1,,1-10005,,,-1,,,-1,-1,,,7|99999,5,24,,,,-1
