id,base_reward,desc,extra_reward,group,hour,hour_point,icon,level,name,robot,robot_icon,search_prob,source_type,weight,win_point
1001,[1|60],海洋宝箱,407252005,1,3,-1,icon_build_Summerwar05,1,citybuilding_DIY_name_131401,11001,Head_60088,"0|3000,200|3500,300|4000,1500|8000,3000|10000",[2|407230004],150,-1
1002,[1|30],海洋宝箱,407252004,1,3,-1,icon_build_Summerwar04,2,citybuilding_DIY_name_131402,11100,Head_60089,"0|5000,200|5500,800|6000,1500|8000,3000|10000",[2|407230004],120,-1
1003,[1|15],海洋宝箱,407252003,1,3,-1,icon_build_Summerwar02,3,citybuilding_DIY_name_131501,11107,Head_60152,"0|5500,200|6000,800|7000,1500|8000,3000|10000",[2|407230004],90,-1
1004,[1|10],海洋宝箱,407252002,1,3,-1,icon_build_Summerwar03,4,citybuilding_DIY_name_131502,11200,Head_60070,"0|6500,200|8000,800|10000",[2|407230004],60,-1
1005,[2|15],海洋宝箱,407252001,1,3,-1,icon_build_Summerwar01,5,citybuilding_DIY_name_131503,11300,Head_60157,"0|7500,200|9000,800|10000",[2|407230004],45,-1
2001,[10|60],南瓜,410301305,2,3,-1,bg_halloween_01,1,citybuilding_DIY_name_109401,11001,Head_60088,"0|3000,200|3500,300|4000,1500|8000,3000|10000",[2|410280003],150,-1
2002,[15|60],南瓜,410301304,2,3,-1,bg_halloween_02,2,citybuilding_DIY_name_109402,11100,Head_60089,"0|5000,200|5500,800|6000,1500|8000,3000|10000",[2|410280003],120,-1
2003,[20|60],南瓜,410301303,2,3,-1,bg_halloween_03,3,citybuilding_DIY_name_109403,11107,Head_60152,"0|5500,200|6000,800|7000,1500|8000,3000|10000",[2|410280003],90,-1
2004,[25|60],南瓜,410301302,2,3,-1,bg_halloween_04,4,citybuilding_DIY_name_109404,11200,Head_60070,"0|6500,200|8000,800|10000",[2|410280003],60,-1
2005,[30|60],南瓜,410301301,2,3,-1,bg_halloween_05,5,citybuilding_DIY_name_109501,11300,Head_60157,"0|7500,200|9000,800|10000",[2|410280003],45,-1
