id,group,hero_need_star,heros,order,position,reward
1,1,[10025|3|10018|3],[[10025|3]|[10018|3]],1,[-35|0],405160201
2,1,[10025|5|10018|3],[[10025|5]|[10018|3]],2,[-35|0],405160202
3,1,[10025|5|10018|5],[[10025|5]|[10018|5]],3,[-35|0],405160203
4,1,[10025|8|10018|5],[[10025|8]|[10018|5]],4,[-35|0],405160204
5,1,[10025|8|10018|8],[[10025|8]|[10018|8]],5,[-35|0],405160205
6,1,[10025|11|10018|8],[[10025|11]|[10018|8]],6,[-35|0],405160206
7,1,[10025|11|10018|11],[[10025|11]|[10018|11]],7,[-35|0],405160207
8,2,[10040|3|10019|3],[[10040|3]|[10019|3]],1,[0|0],405160201
9,2,[10040|5|10019|3],[[10040|5]|[10019|3]],2,[0|0],405160202
10,2,[10040|5|10019|5],[[10040|5]|[10019|5]],3,[0|0],405160203
11,2,[10040|8|10019|5],[[10040|8]|[10019|5]],4,[0|0],405160204
12,2,[10040|8|10019|8],[[10040|8]|[10019|8]],5,[0|0],405160205
13,2,[10040|11|10019|8],[[10040|11]|[10019|8]],6,[0|0],405160206
14,2,[10040|11|10019|11],[[10040|11]|[10019|11]],7,[0|0],405160207
15,3,[10023|3|10028|3],[[10023|3]|[10028|3]],1,[0|0],405160201
16,3,[10023|5|10028|3],[[10023|5]|[10028|3]],2,[0|0],405160202
17,3,[10023|5|10028|5],[[10023|5]|[10028|5]],3,[0|0],405160203
18,3,[10023|8|10028|5],[[10023|8]|[10028|5]],4,[0|0],405160204
19,3,[10023|8|10028|8],[[10023|8]|[10028|8]],5,[0|0],405160205
20,3,[10023|11|10028|8],[[10023|11]|[10028|8]],6,[0|0],405160206
21,3,[10023|11|10028|11],[[10023|11]|[10028|11]],7,[0|0],405160207
22,4,[10040|3|10023|3|10030|3],[[10040|3]|[10023|3]|[10030|3]],1,[0|0|0],405160201
23,4,[10040|5|10023|3|10030|3],[[10040|5]|[10023|3]|[10030|3]],2,[0|0|0],405160202
24,4,[10040|5|10023|5|10030|3],[[10040|5]|[10023|5]|[10030|3]],3,[0|0|0],405160203
25,4,[10040|8|10023|5|10030|5],[[10040|8]|[10023|5]|[10030|5]],4,[0|0|0],405160204
26,4,[10040|8|10023|8|10030|8],[[10040|8]|[10023|8]|[10030|8]],5,[0|0|0],405160205
27,4,[10040|11|10023|8|10030|8],[[10040|11]|[10023|8]|[10030|8]],6,[0|0|0],405160206
28,4,[10040|11|10023|11|10030|11],[[10040|11]|[10023|11]|[10030|11]],7,[0|0|0],405160207
29,5,[10034|3|10028|3],[[10034|3]|[10028|3]],1,[0|0],405160201
30,5,[10034|5|10028|3],[[10034|5]|[10028|3]],2,[0|0],405160202
31,5,[10034|5|10028|5],[[10034|5]|[10028|5]],3,[0|0],405160203
32,5,[10034|8|10028|5],[[10034|8]|[10028|5]],4,[0|0],405160204
33,5,[10034|8|10028|8],[[10034|8]|[10028|8]],5,[0|0],405160205
34,5,[10034|11|10028|8],[[10034|11]|[10028|8]],6,[0|0],405160206
35,5,[10034|11|10028|11],[[10034|11]|[10028|11]],7,[0|0],405160207
36,6,[10030|3|10024|3],[[10030|3]|[10024|3]],1,[0|0],405160201
37,6,[10030|5|10024|3],[[10030|5]|[10024|3]],2,[0|0],405160202
38,6,[10030|5|10024|5],[[10030|5]|[10024|5]],3,[0|0],405160203
39,6,[10030|8|10024|5],[[10030|8]|[10024|5]],4,[0|0],405160204
40,6,[10030|8|10024|8],[[10030|8]|[10024|8]],5,[0|0],405160205
41,6,[10030|11|10024|8],[[10030|11]|[10024|8]],6,[0|0],405160206
42,6,[10030|11|10024|11],[[10030|11]|[10024|11]],7,[0|0],405160207
43,7,[10008|3|10036|3],[[10008|3]|[10036|3]],1,[0|0],405160201
44,7,[10008|5|10036|3],[[10008|5]|[10036|3]],2,[0|0],405160202
45,7,[10008|5|10036|5],[[10008|5]|[10036|5]],3,[0|0],405160203
