id,activity_id,condition,conditions,group,mission_key,mission_reward,mission_reward_int,mission_reward2,mission_reward3,order,point_limit,point_limit2,vip
1,322,,[],-1,activity_point_dec_1,9040001,9040001,-1,-1,-1,100,-1,-1
2,322,,[],-1,activity_point_dec_1,9040002,9040002,-1,-1,-1,200,-1,-1
3,322,,[],-1,activity_point_dec_1,9040003,9040003,-1,-1,-1,400,-1,-1
4,322,,[],-1,activity_point_dec_1,9040004,9040004,-1,-1,-1,600,-1,-1
5,322,,[],-1,activity_point_dec_1,9040005,9040005,-1,-1,-1,800,-1,-1
6,322,,[],-1,activity_point_dec_1,9040006,9040006,-1,-1,-1,1000,-1,-1
7,322,,[],-1,activity_point_dec_1,9040007,9040007,-1,-1,-1,1200,-1,-1
8,322,,[],-1,activity_point_dec_1,9040008,9040008,-1,-1,-1,1400,-1,-1
9,322,,[],-1,activity_point_dec_1,9040009,9040009,-1,-1,-1,1600,-1,-1
10,322,,[],-1,activity_point_dec_1,9040010,9040010,-1,-1,-1,1800,-1,-1
11,322,,[],-1,activity_point_dec_1,9040011,9040011,-1,-1,-1,2000,-1,-1
12,322,,[],-1,activity_point_dec_1,9040012,9040012,-1,-1,-1,2200,-1,-1
13,322,,[],-1,activity_point_dec_1,9040013,9040013,-1,-1,-1,2400,-1,-1
14,322,,[],-1,activity_point_dec_1,9040014,9040014,-1,-1,-1,2600,-1,-1
15,322,,[],-1,activity_point_dec_1,9040015,9040015,-1,-1,-1,2800,-1,-1
16,322,,[],-1,activity_point_dec_1,9040016,9040016,-1,-1,-1,3000,-1,-1
17,322,,[],-1,activity_point_dec_1,9040017,9040017,-1,-1,-1,3200,-1,-1
18,322,,[],-1,activity_point_dec_1,9040018,9040018,-1,-1,-1,3400,-1,-1
19,322,,[],-1,activity_point_dec_1,9040019,9040019,-1,-1,-1,3600,-1,-1
20,322,,[],-1,activity_point_dec_1,9040020,9040020,-1,-1,-1,3800,-1,-1
21,322,,[],-1,activity_point_dec_1,9040021,9040021,-1,-1,-1,4000,-1,-1
22,322,,[],-1,activity_point_dec_1,9040022,9040022,-1,-1,-1,4200,-1,-1
23,322,,[],-1,activity_point_dec_1,9040023,9040023,-1,-1,-1,4400,-1,-1
24,322,,[],-1,activity_point_dec_1,9040024,9040024,-1,-1,-1,4600,-1,-1
25,322,,[],-1,activity_point_dec_1,9040025,9040025,-1,-1,-1,4800,-1,-1
26,322,,[],-1,activity_point_dec_1,9040026,9040026,-1,-1,-1,5000,-1,-1
27,322,,[],-1,activity_point_dec_1,9040027,9040027,-1,-1,-1,5500,-1,-1
28,322,,[],-1,activity_point_dec_1,9040028,9040028,-1,-1,-1,6000,-1,-1
29,322,,[],-1,activity_point_dec_1,9040029,9040029,-1,-1,-1,6500,-1,-1
30,322,,[],-1,activity_point_dec_1,9040030,9040030,-1,-1,-1,7000,-1,-1
31,-1,,[],1,,9062034,9062034,-1,-1,1,200,-1,-1
32,-1,,[],1,,9062035,9062035,-1,-1,2,400,-1,-1
33,-1,,[],1,,9062036,9062036,-1,-1,3,600,-1,-1
34,-1,,[],1,,9062037,9062037,-1,-1,4,800,-1,-1
35,-1,,[],1,,9062038,9062038,-1,-1,5,1000,-1,-1
36,-1,,[],1,,9062039,9062039,-1,-1,6,1500,-1,-1
37,-1,,[],1,,9062040,9062040,-1,-1,7,2000,-1,-1
38,-1,,[],2,,9081001,9081001,-1,-1,1,300,-1,-1
39,-1,,[],2,,9081002,9081002,-1,-1,2,1280,-1,-1
40,-1,,[],2,,9081003,9081003,-1,-1,3,3280,-1,-1
41,-1,,[],2,,9081004,9081004,-1,-1,4,6480,-1,-1
42,-1,,[],2,,9081005,9081005,-1,-1,5,15000,-1,-1
43,-1,,[],2,,9081006,9081006,-1,-1,6,30000,-1,-1
44,-1,,[],3,,9062034,9062034,-1,-1,1,5,-1,-1
45,-1,,[],3,,9062035,9062035,-1,-1,2,10,-1,-1
46,-1,,[],3,,9062036,9062036,-1,-1,3,15,-1,-1
47,-1,,[],3,,9062037,9062037,-1,-1,4,20,-1,-1
50,-1,,[],230,card_raid_mission_101,79001,79001,-1,-1,1,10,-1,-1
51,-1,,[],230,card_raid_mission_102,79002,79002,-1,-1,2,20,-1,-1
