id,is_recommended,level,power_recommend_army,power_recommend_artifact,power_recommend_building,power_recommend_hero,power_recommend_new_tech
1,1,0,9000,3580,350,15780,17930
2,1,1,9000,3580,350,15780,17930
3,1,2,18000,3580,1550,31570,35860
4,1,3,27000,3580,3200,47350,53790
5,1,4,36000,3580,5150,63130,71720
6,1,5,51600,8415,7650,72050,89650
7,1,6,67200,8415,10850,80960,107580
8,1,7,82800,8415,14800,89880,125510
9,1,8,98400,8415,19850,98790,143440
10,1,9,127800,11750,26200,106750,161370
11,1,10,157200,11750,34500,118610,179300
12,1,11,186600,11750,45150,130470,53790
13,1,12,216000,11750,58750,142330,107580
14,2,13,270000,21542,76050,154190,161370
15,1,14,324000,21542,96500,166050,215160
16,2,15,378000,21542,120200,177910,268950
17,1,16,432000,21542,147400,197160,322740
18,2,17,504000,38337,178950,209480,376530
19,1,18,576000,38337,216050,221810,430320
20,2,19,648000,38337,258850,234130,484110
21,1,20,720000,38337,308500,261210,53790
22,2,21,810000,49405,362500,274270,125510
23,1,22,900000,49405,421500,287330,251020
24,2,23,990000,49405,485950,300390,376530
25,9,24,1080000,49405,555900,333350,502040
26,8,25,1188000,49405,632250,347240,627550
27,9,26,1296000,49405,715350,361130,753060
28,8,27,1404000,49405,805400,375020,878570
29,9,28,1512000,77555,903650,422350,1004080
30,8,29,1657200,77555,1009600,437430,1129600
31,9,30,1802400,77555,1125250,452520,1255110
32,8,31,1947600,77555,1251400,467600,179300
33,9,32,2092800,77555,1388100,521230,358600
34,8,33,2260800,77555,1537800,537520,537900
35,9,34,2428800,77555,1699650,553810,717200
36,8,35,2596800,77555,1876100,570100,896500
37,9,36,2764800,77555,2068500,632810,1075800
38,8,37,2955600,77555,2278200,650390,1255110
39,9,38,3146400,77555,2508650,667970,1434410
40,8,39,3337200,77555,2758800,685540,1613710
41,9,40,3528000,77555,3031200,747780,1793010
