id,activity_group,back_fx,back_pic,boss_head,camp,difficulty,extra_point,extraPoint,map_id,monster_level,point,prev_id,reward_show,spine_scale
1001,291,Effect/UI/UI_DunGeon_Green,Textures/ActiveAdventure/bg_warder_easy0,200003,3,1,[10024|2500],[10024|2500],1001,40,25,-1,9040041,60
1002,291,Effect/UI/UI_DunGeon_Green_ShuYe,Textures/ActiveAdventure/bg_warder_easy1,200013,3,1,[10024|2500],[10024|2500],1002,50,30,1001,9040042,35
1003,291,Effect/UI/UI_DunGeon_Yellow_ShuYe,Textures/ActiveAdventure/bg_warder_easy2,200023,3,1,[10024|2500],[10024|2500],1003,60,35,1002,9040043,40
1004,291,Effect/UI/UI_DunGeon_Blue_Ice,Textures/ActiveAdventure/bg_warder_easy3,200033,3,1,[10024|2500],[10024|2500],1004,70,40,1003,9040044,90
1011,291,Effect/UI/UI_DunGeon_Green,Textures/ActiveAdventure/bg_warder_hard0,200043,3,2,[10024|2500],[10024|2500],1011,80,45,1004,9040045,90
1012,291,Effect/UI/UI_DunGeon_Green_ShuYe,Textures/ActiveAdventure/bg_warder_hard2,200053,3,2,[10024|2500],[10024|2500],1012,90,50,1011,9040046,70
1013,291,Effect/UI/UI_DunGeon_Blue,Textures/ActiveAdventure/bg_warder_hard1,200063,3,2,[10024|2500],[10024|2500],1013,100,55,1012,9040047,35
1014,291,Effect/UI/UI_DunGeon_Yellow,Textures/ActiveAdventure/bg_warder_hard3,200073,3,2,[10024|2500],[10024|2500],1014,110,60,1013,9040048,100
1020,322,Effect/UI/UI_DunGeon_Green,Textures/ActiveAdventure/bg_warder_easy0,200003,3,1,[10024|2500],[10024|2500],1001,40,25,-1,9040041,60
1021,322,Effect/UI/UI_DunGeon_Green_ShuYe,Textures/ActiveAdventure/bg_warder_easy1,200013,3,1,[10024|2500],[10024|2500],1002,50,30,1020,9040042,35
1022,322,Effect/UI/UI_DunGeon_Yellow_ShuYe,Textures/ActiveAdventure/bg_warder_easy2,200023,3,1,[10024|2500],[10024|2500],1003,60,35,1021,9040043,40
1023,322,Effect/UI/UI_DunGeon_Blue_Ice,Textures/ActiveAdventure/bg_warder_easy3,200033,3,1,[10024|2500],[10024|2500],1004,70,40,1022,9040044,90
1024,322,Effect/UI/UI_DunGeon_Green,Textures/ActiveAdventure/bg_warder_hard0,200043,3,2,[10024|2500],[10024|2500],1011,80,45,1023,9040045,90
1025,322,Effect/UI/UI_DunGeon_Green_ShuYe,Textures/ActiveAdventure/bg_warder_hard2,200053,3,2,[10024|2500],[10024|2500],1012,90,50,1024,9040046,70
1026,322,Effect/UI/UI_DunGeon_Blue,Textures/ActiveAdventure/bg_warder_hard1,200063,3,2,[10024|2500],[10024|2500],1013,100,55,1025,9040047,35
1027,322,Effect/UI/UI_DunGeon_Yellow,Textures/ActiveAdventure/bg_warder_hard3,200073,3,2,[10024|2500],[10024|2500],1014,110,60,1026,9040048,100
