id,isShowSign,icon,interface_id,MainUI_btn,MainUI_order,name,show_sign,Temporary_order
1,false,btn_shop,,1,-1,UI_Func_017,,-1
2,false,Activity_238,,2,-1,UI_Activity_009,,-1
3,false,Activity_17,,3,-1,UI_Activity_010,,-1
4,false,Activity_239,,4,-1,UI_Activity_006,,-1
8,false,remote:Icon_Function/Activity_1026.png,,8,-1,activity_name_sportsbp,,-1
9,false,Activity_34,,9,-1,UI_Activity_006,,-1
10,false,Activity_17,,3,-1,UI_Activity_010,,-1
12,false,remote:Icon_Function/Activity_239.png,,12,-1,UI_Activity_006,,-1
13,false,remote:Icon_Function/Activity_256.png,,13,-1,activity_name_czzthd,,-1
14,false,Activity_375,,14,-1,activity_name_348,,-1
16,false,Activity_239,,16,-1,date_type_2,,-1
17,false,,,17,-1,,,-1
18,false,Activity_545,,18,-1,activity_name_359,,-1
20,false,Activity_602,,20,-1,activity_name_362,,-1
21,false,remote:Icon_Function/Activity_673.png,,21,-1,activity_name_social,,-1
22,false,Activity_645,,22,-1,activity_name_367,,-1
23,false,Activity_648.png,,23,-1,activity_name_3619,,-1
24,false,Activity_238,,24,-1,activity_name_vip,,-1
30,false,remote:Icon_Function/Activity_725.png,,30,-1,online_reward1,,-1
31,false,remote:Icon_Function/Activity_757.png,,31,-1,activity_name_jxhd2,,-1
32,false,remote:Icon_Function/Activity_809.png,,32,-1,activity_name_4387,,-1
33,false,remote:Icon_Function/Activity_11.png,,33,-1,activity_name_slhd,,-1
34,false,remote:Icon_Function/Activity_801.png,,34,-1,concert_lottery12,,-1
35,false,remote:Icon_Function/Activity_886.png,,35,-1,festival_sign1,,-1
36,false,remote:Icon_Function/Activity_901.png,,36,-1,rejoin_activity_title,,-1
37,false,remote:Icon_Function/Activity_905.png,,36,4,renjoin_newserver_title,,-1
38,false,remote:Icon_Function/Activity_902.png,,36,-1,rejoin_IAP_title,,-1
53,false,remote:Icon_Function/Activity_874.png,,53,-1,crossover_main_des1,,-1
54,false,remote:Icon_Function/Activity_980.png,,54,-1,holybeast_return_des1,,-1
55,false,Activity_12,,55,-1,questionnaire_tips_010,,-1
99,false,Activity_17,,99,-1,UI_Activity_010,,-1
101,false,Activity_21,101,1,1,activity_name171,,-1
102,false,Activity_15,102,1,994,activity_name171,,-1
103,false,Activity_16,103,1,993,activity_name171,,-1
104,false,remote:Icon_Function/Activity_241.png,104,1,9996,weekly_title,,-1
105,false,Activity_17,105,1,2,activity_name180,,-1
106,false,Activity_10,106,1,9999,UI_Activity_004,,-1
107,false,Activity_24,107,3,896,Build_queue,,-1
108,false,Activity_37,,2,994,UI_AllianceSitePreview_001,,-1
109,false,,,4,900,,,-1
110,false,Activity_37,,2,993,UI_RallyActivity_016,,-1
111,false,,,2,1,,,-1
112,false,Activity_55,,2,112,UI_RallyActivity_001,,-1
113,false,Activity_52,,4,3,,,-1
114,false,Activity_60,,4,899,activity_name_252,,-1
115,false,remote:Icon_Function/Activity_282.png,105,1,3,UI_Activity_007,,-1
116,false,Activity_10,,1,999,UI_Activity_004,,-1
117,true,,,16,1,,1|1,-1
118,false,Activity_166,,1,9998,activity_name1027,,-1
119,false,remote:Icon_Function/Activity_241.png,119,1,9996,weekly_title,,-1
120,false,Activity_299,,2,2,dig_treasure_00,,-1
121,false,Activity_777,,1,10000,UI_Activity_121,,-1
201,false,Activity_7,201,2,999,activity_name171,,-1
202,false,Activity_11,202,1,998,UI_Func_016,,-1
301,false,Activity_100,301,1,332,activity_name179,,-1
302,false,Activity_26,302,4,900,activity_name181,,-1
303,false,Activity_23,303,2,996,activity_name171,,-1
304,false,Activity_1,304,1,997,activity_name183,,-1
305,false,Activity_23,305,2,997,race_activity_title2,,-1
306,false,Activity_31,306,2,995,activity_name183,,-1
307,false,Activity_54,307,2,992,activity_name_220,,-1
401,false,Activity_17,401,3,901,UI_Activity_005,,-1
501,false,Activity_1,501,12,1,function_name_202,,-1
502,false,Activity_12,,55,1,questionnaire_tips_010,,-1
601,false,Activity_41,,4,992,,,-1
602,false,Activity_41,,4,995,SpecialMoneyShop02,,-1
308,false,Activity_23,,2,996,race_activity_title2,,-1
309,false,Activity_23,,2,995,race_activity_title2,,-1
310,false,Activity_41,,4,990,SpecialMoneyShop02,,-1
311,false,Activity_7,201,2,999,activity_name171,,-1
312,false,,,4,899,,,-1
313,false,,,1,5,,,-1
314,false,Activity_97,,1,250,showname_314,,-1
315,false,Activity_160,,2,300,showname_315,,-1
316,false,Activity_97,,2,301,showname_316,,-1
317,false,Activity_97,,2,302,showname_317,,-1
318,false,Activity_105,,2,299,showname_318,,-1
319,false,Activity_116,,2,500,showname_319,,-1
320,false,Activity_115,,2,304,showname_320,,-1
321,true,Activity_114,,16,5,showname_321,2|1,-1
322,false,Activity_74,,16,2,race_activity_title2,3|0,-1
323,true,Activity_74,,16,2,race_activity_title_daily,3|1,-1
324,false,Activity_121,,16,4,race_activity_title_advance,3|0,-1
325,false,Activity_75,,16,3,race_activity_title_result,3|0,-1
326,false,Activity_134,,2,350,tvt_rank_function_name,,-1
327,false,,,8,910,,,-1
328,false,,,8,909,,,-1
329,false,,,8,800,,,-1
330,false,,,3,750,,,-1
331,false,Activity_165,,2,750,activity_name591,,-1
332,true,Activity_114,,16,6,showname_332,4|1,-1
333,false,Activity_12,,2,1000,questionnaire_tips_002,,-1
334,true,remote:Icon_Function\Activity_185.png,,16,2,mobilization_title1,5|1,-1
335,false,remote:Icon_Function\Activity_186.png,,16,3,mobilization_title2,5|0,-1
336,true,remote:Icon_Function\Activity_185.png,,16,4,mobilization_title1,7|1,-1
338,false,btn,,2,1,showname_337,,-1
339,false,,,8,100,activity_name_824,,-1
340,false,btn,,2,200,big_event_001,,-1
341,false,Activity_74,,16,2,race_activity_title2,6|0,-1
342,true,Activity_74,,16,2,race_activity_title_daily,6|1,-1
343,false,Activity_121,,16,4,race_activity_title_advance,6|0,-1
344,false,Activity_75,,16,3,race_activity_title_result,6|0,-1
345,true,Activity_325,,16,2,king_cross_1_1,7|1,-1
346,false,Activity_326,,16,3,king_cross_1_6,7|0,-1
347,false,Activity_360,,16,1,4_king_cross_server,7|0,-1
348,false,Activity_375,,14,1,activity_name_348,,-1
349,false,Activity_375,,15,1,activity_name_348,,-1
351,false,Activity_373,,14,1,showname_351,,-1
999,false,Activity_222,,2,1,activity_name_999,,-1
352,true,Activity_185,,16,3,competition_title1,5|1,-1
353,false,Activity_427,,16,2,competition_title2_new,5|0,-1
354,true,remote:Icon_Function\Activity_185.png,,16,4,competition_title1,7|1,-1
355,false,remote:Icon_Function\Activity_432.png,,16,2,activity_name_sllb,,-1
356,false,icon_kingdom_Migration,,2,2,server_move_btn_01,,-1
357,false,Activity_444,,2,3,hero_welcome_name,,-1
358,false,Activity_486,,1,9998,goldblock_tips02,,-1
360,false,remote:Icon_Function\Activity_530.png,,16,2,butterfly_catch_50,,-1
359,false,Activity_545,,18,1,activity_name_359,,-1
361,false,Activity_545,,19,1,activity_name_359,,-1
363,false,Activity_571,,20,3,season_celebration_10237,,-1
364,false,Activity_577,,20,5,season_celebration_10239,,-1
365,false,remote:Icon_Function\Activity_585.png,,16,2,most_popular_13,,-1
