id,taskConditionVo,Atlas,descParams,group,icon,is_daily,level,point,progress_desc,progress_isopen,read_split,read_type,reward,reward_extra,scene,server_list,serverLists,show_progress,showProgress,stage_group,take_effect_day,target,target_type,task_condition,task_condition_num,task_count,task_discription,task_guide,task_guide_mun,task_order,taskConditionType,taskGuideNum,unit,unit_order,week,weight
302001,TaskConditionBaseVO,,[],20002,,0,,5,task_logic_dec1,1,,-1,-1,-1,-1,,[],1,true,,0,-1,-1,30,1|5|1,1,activity_7days_taskdesc15,2,[1|1],1,VillageExtension,[1|1],-1,-1,-1,
302002,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],-1,false,,0,-1,-1,92,42,1,activity_7days_taskdesc2,1,[24],2,92,[24],-1,-1,-1,
302003,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],1,true,,0,-1,-1,113,5,0,arena_dailytask_1,1,[1|3],3,113,[1|3],-1,-1,-1,
302004,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],-1,false,,1,-1,-1,92,60,1,activity_7days_taskdesc2,1,[24],4,92,[24],-1,-1,-1,
302005,TaskConditionBaseVO,,[],20002,,0,,5,task_logic_dec10,1,,-1,-1,-1,-1,,[],1,true,,1,-1,-1,39,11011|10,1,activity_7days_taskdesc5,1,[20|2|11011],5,39,[20|2|11011],-1,-1,-1,
302006,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],1,true,,1,-1,-1,30,1|7|1,1,activity_7days_taskdesc15,2,[1|1],6,VillageExtension,[1|1],-1,-1,-1,
302007,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],-1,false,,2,-1,-1,92,78,1,activity_7days_taskdesc2,1,[24],7,92,[24],-1,-1,-1,
302008,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],1,true,,2,-1,-1,113,8,0,arena_dailytask_1,1,[1|3],8,113,[1|3],-1,-1,-1,
302009,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],1,true,,2,-1,-1,30,101|5|1,1,activity_7days_taskdesc15,2,[101|1],9,VillageExtension,[101|1],-1,-1,-1,
302010,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],1,true,,3,-1,-1,113,10,0,arena_dailytask_1,1,[1|3],10,113,[1|3],-1,-1,-1,
302011,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],-1,false,,3,-1,-1,92,90,1,activity_7days_taskdesc2,1,[24],11,92,[24],-1,-1,-1,
302012,TaskConditionBaseVO,,[],20002,,0,,5,task_logic_dec8,1,,-1,-1,-1,-1,,[],1,true,,3,-1,-1,39,11011|20,1,activity_7days_taskdesc5,1,[20|2|11011],12,39,[20|2|11011],-1,-1,-1,
302013,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],1,true,,4,-1,-1,39,11011|30,1,activity_7days_taskdesc5,1,[20|2|11011],13,39,[20|2|11011],-1,-1,-1,
302014,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],1,true,,4,-1,-1,30,1|10|1,1,activity_7days_taskdesc15,2,[1|1],14,VillageExtension,[1|1],-1,-1,-1,
302015,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],-1,false,,4,-1,-1,92,102,1,activity_7days_taskdesc2,1,[24],15,92,[24],-1,-1,-1,
302016,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],-1,false,,5,-1,-1,92,114,1,activity_7days_taskdesc2,1,[24],16,92,[24],-1,-1,-1,
302017,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],1,true,,5,-1,-1,30,1|11|1,1,activity_7days_taskdesc15,2,[1|1],17,VillageExtension,[1|1],-1,-1,-1,
302018,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],1,true,,5,-1,-1,113,10,0,arena_dailytask_1,1,[1|3],18,113,[1|3],-1,-1,-1,
302019,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],-1,false,,6,-1,-1,92,120,1,activity_7days_taskdesc2,1,[24],19,92,[24],-1,-1,-1,
302020,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],1,true,,6,-1,-1,30,1|12|1,1,activity_7days_taskdesc15,2,[1|1],20,VillageExtension,[1|1],-1,-1,-1,
302021,TaskConditionBaseVO,,[],20002,,0,,5,,-1,,-1,-1,-1,-1,,[],1,true,,6,-1,-1,113,10,0,arena_dailytask_1,1,[1|3],21,113,[1|3],-1,-1,-1,
321500,TaskConditionBaseVO,,[],32015,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,154,500,0,task_new_tips16,1,[24],1,154,[24],-1,-1,-1,
