id,alliance_reward_damage,allianceDamageReward,difficulty,difficulty_name,group,kill_hp,monster_id,mvp_damage,mvpDamageMulti,personal_reward_damage,personDamageReward
1,"0|34201,200000000|34202,400000000|34203",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],1,alliance_boss_difficulty_name_01,1,400000000,61001,"0|1,100000|2,1000000|3,10000000|5",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],"0|34101,1000000|34102,2000000|34103,4000000|34104,6000000|34105",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange]
2,"0|34201,200000000|34202,400000000|34203,480000000|34211,640000000|34212,800000000|34213",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],2,alliance_boss_difficulty_name_02,1,800000000,61002,"0|1,100000|2,1000000|3,10000000|5,100000000|8",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],"0|34101,1000000|34102,2000000|34103,4000000|34104,6000000|34105,8000000|34113,12000000|34114,16000000|34115",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange]
3,"0|34201,200000000|34202,400000000|34203,480000000|34211,640000000|34212,800000000|34213,1120000000|34221,1760000000|34222,2400000000|34223",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],3,alliance_boss_difficulty_name_03,1,2400000000,61003,"0|1,100000|2,1000000|3,10000000|5,100000000|8",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],"0|34101,1000000|34102,2000000|34103,4000000|34104,6000000|34105,8000000|34113,12000000|34114,16000000|34115,24000000|34123,40000000|34124,56000000|34125",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange]
4,"0|34201,200000000|34202,400000000|34203,480000000|34211,640000000|34212,800000000|34213,1120000000|34221,1760000000|34222,2400000000|34223,3600000000|34231,6000000000|34232,8400000000|34233",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],4,alliance_boss_difficulty_name_04,1,8400000000,61004,"0|1,100000|2,1000000|3,10000000|5,100000000|8,1000000000|10",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],"0|34101,1000000|34102,2000000|34103,4000000|34104,6000000|34105,8000000|34113,12000000|34114,16000000|34115,24000000|34123,40000000|34124,56000000|34125,80000000|34133,128000000|34134,176000000|34135",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange]
5,"0|34201,200000000|34202,400000000|34203,480000000|34211,640000000|34212,800000000|34213,1120000000|34221,1760000000|34222,2400000000|34223,3600000000|34231,6000000000|34232,8400000000|34233,12000000000|34241,19200000000|34242,26400000000|34243",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],5,alliance_boss_difficulty_name_05,1,26400000000,61005,"0|1,100000|2,1000000|3,10000000|5,100000000|8,1000000000|10",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],"0|34101,1000000|34102,2000000|34103,4000000|34104,6000000|34105,8000000|34113,12000000|34114,16000000|34115,24000000|34123,40000000|34124,56000000|34125,80000000|34133,128000000|34134,176000000|34135,256000000|34143,416000000|34144,576000000|34145",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange]
6,"0|34201,200000000|34202,400000000|34203,480000000|34211,640000000|34212,800000000|34213,1120000000|34221,1760000000|34222,2400000000|34223,3600000000|34231,6000000000|34232,8400000000|34233,12000000000|34241,19200000000|34242,26400000000|34243,31360000000|34251,41280000000|34252,51200000000|34253",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],6,alliance_boss_difficulty_name_06,1,51200000000,61006,"0|1,100000|2,1000000|3,10000000|5,100000000|8,1000000000|10",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],"0|34101,1000000|34102,2000000|34103,4000000|34104,6000000|34105,8000000|34113,12000000|34114,16000000|34115,24000000|34123,40000000|34124,56000000|34125,80000000|34133,128000000|34134,176000000|34135,256000000|34143,416000000|34144,576000000|34145,691200000|34153,921600000|34154,1152000000|34155",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange]
7,"0|34201,200000000|34202,400000000|34203,480000000|34211,640000000|34212,800000000|34213,1120000000|34221,1760000000|34222,2400000000|34223,3600000000|34231,6000000000|34232,8400000000|34233,12000000000|34241,19200000000|34242,26400000000|34243,31360000000|34251,41280000000|34252,51200000000|34253,56320000000|34261,66560000000|34262,76800000000|34263",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],7,alliance_boss_difficulty_name_07,1,76800000000,61007,"0|1,100000|2,1000000|3,10000000|5,100000000|8,1000000000|10",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],"0|34101,1000000|34102,2000000|34103,4000000|34104,6000000|34105,8000000|34113,12000000|34114,16000000|34115,24000000|34123,40000000|34124,56000000|34125,80000000|34133,128000000|34134,176000000|34135,256000000|34143,416000000|34144,576000000|34145,691200000|34153,921600000|34154,1152000000|34155,1267200000|34163,1497600000|34164,1728000000|34165",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange]
8,"0|34201,200000000|34202,400000000|34203,480000000|34211,640000000|34212,800000000|34213,1120000000|34221,1760000000|34222,2400000000|34223,3600000000|34231,6000000000|34232,8400000000|34233,12000000000|34241,19200000000|34242,26400000000|34243,31360000000|34251,41280000000|34252,51200000000|34253,56320000000|34261,66560000000|34262,76800000000|34263,99840000000|34271,145920000000|34272,192000000000|34273",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],8,alliance_boss_difficulty_name_08,1,192000000000,61008,"0|1,100000|2,1000000|3,10000000|5,100000000|8,1000000000|10",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],"0|34101,1000000|34102,2000000|34103,4000000|34104,6000000|34105,8000000|34113,12000000|34114,16000000|34115,24000000|34123,40000000|34124,56000000|34125,80000000|34133,128000000|34134,176000000|34135,256000000|34143,416000000|34144,576000000|34145,691200000|34153,921600000|34154,1152000000|34155,1267200000|34163,1497600000|34164,1728000000|34165,2400000000|34173,4800000000|34174,6400000000|34175",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange]
9,"0|34201,200000000|34202,400000000|34203,480000000|34211,640000000|34212,800000000|34213,1120000000|34221,1760000000|34222,2400000000|34223,3600000000|34231,6000000000|34232,8400000000|34233,12000000000|34241,19200000000|34242,26400000000|34243,31360000000|34251,41280000000|34252,51200000000|34253,56320000000|34261,66560000000|34262,76800000000|34263,99840000000|34271,145920000000|34272,192000000000|34273,249600000000|34281,364800000000|34282,480000000000|34283,624000000000|34284",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],9,alliance_boss_difficulty_name_09,1,480000000000,61009,"0|1,100000|2,1000000|3,10000000|5,100000000|8,1000000000|10",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],"0|34101,1000000|34102,2000000|34103,4000000|34104,6000000|34105,8000000|34113,12000000|34114,16000000|34115,24000000|34123,40000000|34124,56000000|34125,80000000|34133,128000000|34134,176000000|34135,256000000|34143,416000000|34144,576000000|34145,691200000|34153,921600000|34154,1152000000|34155,1267200000|34163,1497600000|34164,1728000000|34165,2400000000|34173,4800000000|34174,6400000000|34175,8320000000|34181,12160000000|34182,16000000000|34183",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange]
10,"0|34201,200000000|34202,400000000|34203,480000000|34211,640000000|34212,800000000|34213,1120000000|34221,1760000000|34222,2400000000|34223,3600000000|34231,6000000000|34232,8400000000|34233,12000000000|34241,19200000000|34242,26400000000|34243,31360000000|34251,41280000000|34252,51200000000|34253,56320000000|34261,66560000000|34262,76800000000|34263,99840000000|34271,145920000000|34272,192000000000|34273,249600000000|34281,364800000000|34282,480000000000|34283,624000000000|34284,912000000000|34285,1200000000000|34286",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],10,alliance_boss_difficulty_name_10,1,1200000000000,61010,"0|1,100000|2,1000000|3,10000000|5,100000000|8,1000000000|10",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange],"0|34101,1000000|34102,2000000|34103,4000000|34104,6000000|34105,8000000|34113,12000000|34114,16000000|34115,24000000|34123,40000000|34124,56000000|34125,80000000|34133,128000000|34134,176000000|34135,256000000|34143,416000000|34144,576000000|34145,691200000|34153,921600000|34154,1152000000|34155,1267200000|34163,1497600000|34164,1728000000|34165,2400000000|34173,4800000000|34174,6400000000|34175,8320000000|34181,12160000000|34182,16000000000|34183,20800000000|34184,30400000000|34185,40000000000|34186",[AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange|AllianceBossDamageRange]
