id,group,lose_times,name,power,unlock
1,1,2,Activity_DrakKnight_19,3000000,-1
2,2,2,UI_ActiveAdventure_002,6000000,2000000
3,3,2,UI_ActiveAdventure_003,10000000,10000000
4,4,2,UI_ActiveAdventure_004,20000000,30000000
101,1,2,Activity_DrakKnight_19,3000000,-1
102,2,2,UI_ActiveAdventure_002,6000000,2000000
103,3,2,UI_ActiveAdventure_003,10000000,10000000
104,4,2,UI_ActiveAdventure_004,20000000,30000000
105,5,2,UI_ActiveAdventure_005,30000000,50000000
106,6,2,UI_ActiveAdventure_006,40000000,120000000
107,7,2,UI_ActiveAdventure_007,50000000,240000000
201,1,2,Activity_DrakKnight_19,3000000,-1
202,2,2,UI_ActiveAdventure_002,6000000,2000000
203,3,2,UI_ActiveAdventure_003,10000000,10000000
204,4,2,UI_ActiveAdventure_004,20000000,30000000
205,5,2,UI_ActiveAdventure_005,30000000,50000000
206,6,2,UI_ActiveAdventure_006,40000000,120000000
207,7,2,UI_ActiveAdventure_007,50000000,240000000
301,1,2,Activity_DrakKnight_19,3000000,-1
302,2,2,UI_ActiveAdventure_002,6000000,2000000
303,3,2,UI_ActiveAdventure_003,10000000,10000000
304,4,2,UI_ActiveAdventure_004,20000000,30000000
305,5,2,UI_ActiveAdventure_005,30000000,50000000
306,6,2,UI_ActiveAdventure_006,40000000,120000000
307,7,2,UI_ActiveAdventure_007,50000000,240000000
401,1,2,Activity_DrakKnight_19,3000000,-1
402,2,2,UI_ActiveAdventure_002,6000000,2000000
403,3,2,UI_ActiveAdventure_003,10000000,10000000
404,4,2,UI_ActiveAdventure_004,20000000,30000000
405,5,2,UI_ActiveAdventure_005,30000000,50000000
406,6,2,UI_ActiveAdventure_006,40000000,120000000
407,7,2,UI_ActiveAdventure_007,50000000,240000000
