id,fight_type,group,help_point,lose_point,model,name,point,pve_config,size,speed,target_object,time
1001,601,1,100,20,,Activity_DrakKnight_building_001,200,410001,60,0,2,60
1002,601,1,200,20,,Activity_DrakKnight_building_001,400,410002,60,0,2,60
1003,601,1,300,20,,Activity_DrakKnight_building_001,600,410003,60,0,3,60
1004,601,1,400,20,,Activity_DrakKnight_building_001,800,410004,60,0,2,60
1005,601,1,-1,20,,Activity_DrakKnight_building_001,1000,410005,60,0,1,120
1006,601,1,600,20,,Activity_DrakKnight_building_001,1200,410006,60,0,2,60
1007,601,1,700,20,,Activity_DrakKnight_building_001,1400,410007,60,0,2,60
1008,601,1,800,20,,Activity_DrakKnight_building_001,1600,410008,60,0,3,60
1009,601,1,900,20,,Activity_DrakKnight_building_001,1800,410009,60,0,2,60
1010,601,1,-1,20,,Activity_DrakKnight_building_001,2000,410010,60,0,1,120
1011,601,1,1100,20,,Activity_DrakKnight_building_001,2200,410011,60,0,2,60
1012,601,1,1200,20,,Activity_DrakKnight_building_001,2400,410012,60,0,2,60
1013,601,1,1300,20,,Activity_DrakKnight_building_001,2600,410013,60,0,3,60
1014,601,1,1400,20,,Activity_DrakKnight_building_001,2800,410014,60,0,2,60
1015,601,1,-1,20,,Activity_DrakKnight_building_001,3000,410015,60,0,1,120
1016,601,1,1600,20,,Activity_DrakKnight_building_001,3200,410016,60,0,2,60
1017,601,1,1700,20,,Activity_DrakKnight_building_001,3400,410017,60,0,2,60
1018,601,1,1800,20,,Activity_DrakKnight_building_001,3600,410018,60,0,3,60
1019,601,1,1900,20,,Activity_DrakKnight_building_001,3800,410019,60,0,2,60
1020,601,1,-1,20,,Activity_DrakKnight_building_001,4000,410020,60,0,1,120
2001,601,2,300,20,,Activity_DrakKnight_building_001,600,420001,60,0,2,60
2002,601,2,600,20,,Activity_DrakKnight_building_001,1200,420002,60,0,2,60
2003,601,2,850,20,,Activity_DrakKnight_building_001,1700,420003,60,0,3,60
2004,601,2,1150,20,,Activity_DrakKnight_building_001,2300,420004,60,0,2,60
2005,601,2,-1,20,,Activity_DrakKnight_building_001,2800,420005,60,0,1,120
2006,601,2,1700,20,,Activity_DrakKnight_building_001,3400,420006,60,0,2,60
2007,601,2,2000,20,,Activity_DrakKnight_building_001,4000,420007,60,0,2,60
2008,601,2,2250,20,,Activity_DrakKnight_building_001,4500,420008,60,0,3,60
2009,601,2,2550,20,,Activity_DrakKnight_building_001,5100,420009,60,0,2,60
2010,601,2,-1,20,,Activity_DrakKnight_building_001,5600,420010,60,0,1,120
2011,601,2,3100,20,,Activity_DrakKnight_building_001,6200,420011,60,0,2,60
2012,601,2,3400,20,,Activity_DrakKnight_building_001,6800,420012,60,0,2,60
2013,601,2,3650,20,,Activity_DrakKnight_building_001,7300,420013,60,0,3,60
2014,601,2,3950,20,,Activity_DrakKnight_building_001,7900,420014,60,0,2,60
2015,601,2,-1,20,,Activity_DrakKnight_building_001,8400,420015,60,0,1,120
2016,601,2,4500,20,,Activity_DrakKnight_building_001,9000,420016,60,0,2,60
2017,601,2,4800,20,,Activity_DrakKnight_building_001,9600,420017,60,0,2,60
2018,601,2,5050,20,,Activity_DrakKnight_building_001,10100,420018,60,0,3,60
2019,601,2,5350,20,,Activity_DrakKnight_building_001,10700,420019,60,0,2,60
2020,601,2,-1,20,,Activity_DrakKnight_building_001,11200,420020,60,0,1,120
