id,resourceImage,_resourceImage,flag_parts,flag_parts_id,show_resource
1,[NeXT_alliance_bg_1|NeXT_alliance_bg_1_1],[NeXT_alliance_bg_1|NeXT_alliance_bg_1_1],1,10001,NeXT_alliance_bg_1_mini
2,[NeXT_alliance_bg_2|NeXT_alliance_bg_2_2],[NeXT_alliance_bg_2|NeXT_alliance_bg_2_2],1,10002,NeXT_alliance_bg_2_mini
3,[NeXT_alliance_bg_3|NeXT_alliance_bg_3_3],[NeXT_alliance_bg_3|NeXT_alliance_bg_3_3],1,10003,NeXT_alliance_bg_3_mini
4,[NeXT_alliance_bg_4|NeXT_alliance_bg_4_4],[NeXT_alliance_bg_4|NeXT_alliance_bg_4_4],1,10004,NeXT_alliance_bg_4_mini
5,[4886c1],[4886c1],2,20001,NeXT_alliance_color_blue
6,[789629],[789629],2,20002,NeXT_alliance_color_green
7,[e67920],[e67920],2,20003,NeXT_alliance_color_orange
8,[9f6cdd],[9f6cdd],2,20004,NeXT_alliance_color_purple
9,[e14b31],[e14b31],2,20005,NeXT_alliance_color_red
10,[f9d158],[f9d158],2,20006,NeXT_alliance_color_yellow
11,[NeXT_alliance_veins_1],[NeXT_alliance_veins_1],3,30001,NeXT_alliance_veins_1_1
12,[NeXT_alliance_veins_2],[NeXT_alliance_veins_2],3,30002,NeXT_alliance_veins_2_2
13,[NeXT_alliance_veins_3],[NeXT_alliance_veins_3],3,30003,NeXT_alliance_veins_3_3
14,[NeXT_alliance_veins_4],[NeXT_alliance_veins_4],3,30004,NeXT_alliance_veins_4_4
15,[NeXT_alliance_veins_5],[NeXT_alliance_veins_5],3,30005,NeXT_alliance_veins_5_5
16,[NeXT_alliance_veins_6],[NeXT_alliance_veins_6],3,30006,NeXT_alliance_veins_6_6
17,[NeXT_alliance_pattern_1],[NeXT_alliance_pattern_1],4,40001,NeXT_alliance_pattern_1_1
18,[NeXT_alliance_pattern_2],[NeXT_alliance_pattern_2],4,40002,NeXT_alliance_pattern_2_2
19,[NeXT_alliance_pattern_3],[NeXT_alliance_pattern_3],4,40003,NeXT_alliance_pattern_3_3
20,[NeXT_alliance_pattern_4],[NeXT_alliance_pattern_4],4,40004,NeXT_alliance_pattern_4_4
21,[NeXT_alliance_pattern_5],[NeXT_alliance_pattern_5],4,40005,NeXT_alliance_pattern_5_5
22,[NeXT_alliance_pattern_6],[NeXT_alliance_pattern_6],4,40006,NeXT_alliance_pattern_6_6
