id,iconAtlas,atlas,desc,gift_exp,gift_quality,gift_type,goods_id,hide_switch,icon,name,reward,time
50,Atlas/UI_Item,,alliance_gift_key3,1,1,1,405271001,1,icon_30032,alliance_gift_new_name_50,50,43200
51,Atlas/UI_Item,,alliance_gift_key3,20,1,2,405271002,1,icon_30439,alliance_gift_new_name_50,51,43200
52,Atlas/UI_Item,,alliance_gift_key3,40,1,2,405271003,1,icon_30274,alliance_gift_new_name_52,52,43200
58,Atlas/UI_Item,,alliance_gift_key3,100,1,2,405271004,1,icon_30274,alliance_gift_new_name_58,58,43200
59,Atlas/UI_Item,,alliance_gift_key3,150,1,2,405271005,1,icon_30275,alliance_gift_new_name_59,59,43200
60,Atlas/UI_Item,,alliance_gift_key3,300,1,2,405271006,1,icon_30275,alliance_gift_new_name_60,60,43200
61,Atlas/UI_Item,,alliance_gift_key3,500,1,2,405271007,1,icon_30276,alliance_gift_new_name_61,61,43200
62,Atlas/UI_Item,,alliance_gift_key3,1000,1,2,405271008,1,icon_30443,alliance_gift_new_name_62,62,43200
63,Atlas/UI_Item,,alliance_gift_key3,150,1,2,405271005,1,icon_30275,alliance_gift_new_name_59,59,43200
64,Atlas/UI_Item,,alliance_gift_key3,300,1,2,405271006,1,icon_30275,alliance_gift_new_name_60,60,43200
65,Atlas/UI_Item,,alliance_gift_key3,500,1,2,405271007,1,icon_30275,alliance_gift_new_name_61,61,43200
66,Atlas/UI_Item,,alliance_gift_key3,1000,1,2,405271008,1,icon_30276,alliance_gift_new_name_62,62,43200
101,Atlas/UI_Item,,alliance_gift_desc_101,5,1,1,-1,-1,icon_30032,alliance_gift_name_101,93,43200
102,Atlas/UI_Item,,alliance_gift_desc_101,5,1,1,-1,-1,icon_30032,alliance_gift_name_101,93,43200
103,Atlas/UI_Item,,alliance_gift_desc_101,5,1,1,-1,-1,icon_30032,alliance_gift_name_101,93,43200
104,Atlas/UI_Item,,mist_gift_desc_104,5,1,1,405271013,-1,icon_30274,alliance_gift_name_102,93,43200
105,Atlas/UI_Item,,mist_gift_desc_104,5,1,1,405271014,-1,icon_30275,alliance_gift_name_103,93,43200
106,Atlas/UI_Item,,mist_gift_desc_104,5,1,1,405271015,-1,icon_30276,alliance_gift_name_104,93,43200
