id,exp,reward_id
1,10000,1361
2,150000,1362
3,250000,1363
4,450000,1364
5,900000,1365
6,1300000,1366
7,2200000,1367
8,3500000,1368
9,4400000,1369
10,6500000,1370
11,7800000,1371
12,9400000,1372
13,11300000,1373
14,13600000,1374
15,16300000,1375
16,17900000,1376
17,19700000,1377
18,21700000,1378
19,23900000,1379
20,26300000,1380
21,28900000,1381
22,31800000,1382
23,35000000,1383
24,38500000,1384
25,42400000,1385
26,48800000,1386
27,56100000,1387
28,64500000,1388
29,74200000,1389
30,85300000,1390
31,98100000,1391
32,112800000,1392
33,129700000,1393
34,149200000,1394
35,171600000,1395
36,197300000,1396
37,226900000,1397
38,260900000,1398
39,300000000,1399
40,345000000,3240
41,396800000,3241
42,456300000,3242
43,524700000,3243
44,603400000,3244
45,693900000,3245
46,798000000,3246
47,917700000,3247
48,1055400000,3248
49,1213700000,3249
50,1395800000,3250
51,1395800000,3250
