id,allianceRewardList,isSLG,mapName,mapType,personalRewardList,alliance_reward_id,Infinite_monster_group,kill_hp,level_num,level_type,map_name_dec,map_stage_id,personal_reward_id,region_id,res_banner
1001,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,101,-1,10,1,UI_Alliance_raid_4,-1,35001,1,banner_bg01
1002,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,102,-1,15,1,UI_Alliance_raid_4,-1,35001,2,banner_bg01
1003,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,103,-1,20,1,UI_Alliance_raid_4,-1,35001,3,banner_bg01
1008,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,104,-1,25,1,UI_Alliance_raid_4,-1,35001,4,banner_bg01
1009,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,105,-1,30,1,UI_Alliance_raid_4,-1,35001,5,banner_bg01
1004,<ERROR:TargetInvocationException>,false,hero_name_60215,Elite,<ERROR:TargetInvocationException>,35104,106,1440000,1,2,hero_name_60215,-1,35001,1,banner_bg01
1005,<ERROR:TargetInvocationException>,false,hero_name_60051,Elite,<ERROR:TargetInvocationException>,35105,107,2400000,1,2,hero_name_60051,-1,35001,2,banner_bg01
1006,<ERROR:TargetInvocationException>,false,hero_name_60050,Elite,<ERROR:TargetInvocationException>,35105,108,2400000,1,2,hero_name_60050,-1,35001,3,banner_bg01
1010,<ERROR:TargetInvocationException>,false,hero_name_60184,Elite,<ERROR:TargetInvocationException>,35106,109,2880000,1,2,hero_name_60184,-1,35001,4,banner_bg01
1011,<ERROR:TargetInvocationException>,false,hero_name_60188,Elite,<ERROR:TargetInvocationException>,35106,110,2880000,1,2,hero_name_60188,-1,35001,5,banner_bg01
1007,<ERROR:TargetInvocationException>,false,hero_name_60046,Boss,<ERROR:TargetInvocationException>,35107,111,5200000,1,3,hero_name_60046,-1,35001,6,banner_bg01
2001,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,201,-1,10,1,UI_Alliance_raid_4,-1,35002,1,banner_bg01
2002,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,202,-1,15,1,UI_Alliance_raid_4,-1,35002,2,banner_bg01
2003,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,203,-1,20,1,UI_Alliance_raid_4,-1,35002,3,banner_bg01
2008,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,204,-1,25,1,UI_Alliance_raid_4,-1,35002,4,banner_bg01
2009,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,205,-1,30,1,UI_Alliance_raid_4,-1,35002,5,banner_bg01
2004,<ERROR:TargetInvocationException>,false,hero_name_60215,Elite,<ERROR:TargetInvocationException>,35114,206,3120000,1,2,hero_name_60215,-1,35002,1,banner_bg01
2005,<ERROR:TargetInvocationException>,false,hero_name_60051,Elite,<ERROR:TargetInvocationException>,35115,207,4640000,1,2,hero_name_60051,-1,35002,2,banner_bg01
2006,<ERROR:TargetInvocationException>,false,hero_name_60050,Elite,<ERROR:TargetInvocationException>,35115,208,4640000,1,2,hero_name_60050,-1,35002,3,banner_bg01
2010,<ERROR:TargetInvocationException>,false,hero_name_60184,Elite,<ERROR:TargetInvocationException>,35116,209,5280000,1,2,hero_name_60184,-1,35002,4,banner_bg01
2011,<ERROR:TargetInvocationException>,false,hero_name_60188,Elite,<ERROR:TargetInvocationException>,35116,210,5280000,1,2,hero_name_60188,-1,35002,5,banner_bg01
2007,<ERROR:TargetInvocationException>,false,hero_name_60046,Boss,<ERROR:TargetInvocationException>,35117,211,7600000,1,3,hero_name_60046,-1,35002,6,banner_bg01
3001,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,301,-1,10,1,UI_Alliance_raid_4,-1,35003,1,banner_bg01
3002,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,302,-1,15,1,UI_Alliance_raid_4,-1,35003,2,banner_bg01
3003,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,303,-1,20,1,UI_Alliance_raid_4,-1,35003,3,banner_bg01
3008,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,304,-1,25,1,UI_Alliance_raid_4,-1,35003,4,banner_bg01
3009,<ERROR:TargetInvocationException>,false,UI_Alliance_raid_4,Normal,<ERROR:TargetInvocationException>,-1,305,-1,30,1,UI_Alliance_raid_4,-1,35003,5,banner_bg01
3004,<ERROR:TargetInvocationException>,false,hero_name_60215,Elite,<ERROR:TargetInvocationException>,35124,306,4560000,1,2,hero_name_60215,-1,35003,1,banner_bg01
3005,<ERROR:TargetInvocationException>,false,hero_name_60051,Elite,<ERROR:TargetInvocationException>,35125,307,6880000,1,2,hero_name_60051,-1,35003,2,banner_bg01
3006,<ERROR:TargetInvocationException>,false,hero_name_60050,Elite,<ERROR:TargetInvocationException>,35125,308,6880000,1,2,hero_name_60050,-1,35003,3,banner_bg01
3010,<ERROR:TargetInvocationException>,false,hero_name_60184,Elite,<ERROR:TargetInvocationException>,35126,309,7680000,1,2,hero_name_60184,-1,35003,4,banner_bg01
3011,<ERROR:TargetInvocationException>,false,hero_name_60188,Elite,<ERROR:TargetInvocationException>,35126,310,7680000,1,2,hero_name_60188,-1,35003,5,banner_bg01
