id,condition_refresh,last_time,rare,relevance_task,type,weight_refresh
1,1|1,-1,4,10301,1,0
2,1|1,-1,4,10302,1,0
3,1|1,-1,4,10303,1,0
4,1|1,-1,4,10304,1,0
5,1|1,-1,4,10305,1,0
6,1|1,-1,4,10306,1,0
7,1|1,-1,4,10307,1,0
8,1|1,-1,4,10308,1,0
9,1|1,-1,4,10309,1,0
10,1|1,-1,4,10310,1,0
11,1|1,-1,4,10311,1,0
12,1|1,-1,4,10312,1,0
13,1|1,-1,4,10313,1,0
14,1|1,-1,4,10314,1,0
15,1|1,-1,4,10315,1,0
16,1|1,-1,4,10316,1,0
17,1|1,-1,4,10317,1,0
18,1|1,-1,4,10318,1,0
19,1|1,-1,4,10319,1,0
20,1|1,-1,4,10320,1,0
51,1|1,-1,5,10351,1,0
52,1|1,-1,5,10352,1,0
53,1|1,-1,5,10353,1,0
54,1|1,-1,5,10354,1,0
55,1|1,-1,5,10355,1,0
56,1|1,-1,5,10356,1,0
57,1|1,-1,5,10357,1,0
58,1|1,-1,5,10358,1,0
59,1|1,-1,5,10359,1,0
60,1|1,-1,5,10360,1,0
61,1|1,-1,5,10361,1,0
62,1|1,-1,5,10362,1,0
63,1|1,-1,5,10363,1,0
64,1|1,-1,5,10364,1,0
65,1|1,-1,5,10365,1,0
66,1|1,-1,5,10366,1,0
67,1|1,-1,5,10367,1,0
68,1|1,-1,5,10368,1,0
69,1|1,-1,5,10369,1,0
70,1|1,-1,5,10370,1,0
101,1|1,1440,3,10001,2,15
102,1|1,1440,3,10002,2,0
103,1|1,1440,3,10003,2,15
104,1|1,1440,3,10004,2,15
105,1|1,1440,3,10005,2,15
106,1|1,1440,3,10006,2,15
107,1|1,1440,3,10007,2,15
108,1|1,1440,3,10008,2,15
109,1|1,1440,3,10009,2,15
110,1|1,1440,3,10010,2,15
111,1|1,1440,3,10011,2,15
112,1|1,1440,3,10012,2,15
113,1|1,1440,3,10013,2,15
114,1|1,1440,3,10014,2,15
115,1|1,1440,3,10015,2,15
116,1|1,1440,3,10016,2,15
117,1|1,1440,3,10017,2,15
118,1|1,1440,3,10018,2,15
119,1|1,1440,3,10019,2,15
120,1|1,1440,3,10020,2,0
201,1|1,1440,4,10101,2,0
202,1|1,1440,4,10102,2,15
203,1|1,1440,4,10103,2,10
204,1|1,1440,4,10104,2,10
205,1|1,1440,4,10105,2,10
206,1|1,1440,4,10106,2,10
207,1|1,1440,4,10107,2,10
208,1|1,1440,4,10108,2,10
209,1|1,1440,4,10109,2,10
210,1|1,1440,4,10110,2,10
211,1|1,1440,4,10111,2,10
212,1|1,1440,4,10112,2,10
213,1|1,1440,4,10113,2,10
214,1|1,1440,4,10114,2,0
215,1|1,1440,4,10115,2,10
216,1|1,1440,4,10116,2,10
217,1|1,1440,4,10117,2,10
218,1|1,1440,4,10118,2,10
219,1|1,1440,4,10119,2,10
220,1|1,1440,4,10120,2,0
221,1|1,1440,4,10542,2,0
222,1|1,1440,4,10543,2,12
223,1|1,1440,4,10544,2,12
224,1|1,1440,4,10545,2,0
225,1|1,1440,4,10546,2,0
