id,isMilestone,para,reward,reward_group,rewardAlliance,rewardPlayer,scoreAlliance,scorePlayer,type
101,false,140,,1,0,0,0,0,100
201,false,141,,1,0,0,0,0,201
202,false,142,,1,0,0,0,0,202
203,false,143,,1,0,0,0,0,203
301,true,150|60,[18021|18001],1,18021,18001,150,60,300
302,true,300|120,[18022|18002],1,18022,18002,300,120,300
303,true,450|180,[18023|18003],1,18023,18003,450,180,300
304,true,600|240,[18024|18004],1,18024,18004,600,240,300
305,true,750|300,[18025|18005],1,18025,18005,750,300,300
306,true,1500|420,[18026|18006],1,18026,18006,1500,420,300
307,true,2250|540,[18027|18007],1,18027,18007,2250,540,300
308,true,3000|660,[18028|18008],1,18028,18008,3000,660,300
309,true,3750|780,[18029|18009],1,18029,18009,3750,780,300
310,true,4500|900,[18030|18010],1,18030,18010,4500,900,300
311,true,6300|1080,[18031|18011],1,18031,18011,6300,1080,300
312,true,8100|1260,[18032|18012],1,18032,18012,8100,1260,300
313,true,9900|1440,[18033|18013],1,18033,18013,9900,1440,300
314,true,11700|1620,[18034|18014],1,18034,18014,11700,1620,300
315,true,13500|1800,[18035|18015],1,18035,18015,13500,1800,300
316,true,16800|2040,[18036|18016],1,18036,18016,16800,2040,300
317,true,20100|2280,[18037|18017],1,18037,18017,20100,2280,300
318,true,23400|2520,[18038|18018],1,18038,18018,23400,2520,300
319,true,26700|2760,[18039|18019],1,18039,18019,26700,2760,300
320,true,30000|3000,[18040|18020],1,18040,18020,30000,3000,300
10101,false,144,,2,0,0,0,0,100
10201,false,145,,2,0,0,0,0,201
10202,false,146,,2,0,0,0,0,202
10203,false,147,,2,0,0,0,0,203
10301,true,150|60,[18061|18041],2,18061,18041,150,60,300
10302,true,300|120,[18062|18042],2,18062,18042,300,120,300
10303,true,450|180,[18063|18043],2,18063,18043,450,180,300
10304,true,600|240,[18064|18044],2,18064,18044,600,240,300
10305,true,750|300,[18065|18045],2,18065,18045,750,300,300
10306,true,1500|420,[18066|18046],2,18066,18046,1500,420,300
10307,true,2250|540,[18067|18047],2,18067,18047,2250,540,300
10308,true,3000|660,[18068|18048],2,18068,18048,3000,660,300
10309,true,3750|780,[18069|18049],2,18069,18049,3750,780,300
10310,true,4500|900,[18070|18050],2,18070,18050,4500,900,300
10311,true,6300|1080,[18071|18051],2,18071,18051,6300,1080,300
10312,true,8100|1260,[18072|18052],2,18072,18052,8100,1260,300
10313,true,9900|1440,[18073|18053],2,18073,18053,9900,1440,300
10314,true,11700|1620,[18074|18054],2,18074,18054,11700,1620,300
10315,true,13500|1800,[18075|18055],2,18075,18055,13500,1800,300
10316,true,16800|2040,[18076|18056],2,18076,18056,16800,2040,300
10317,true,20100|2280,[18077|18057],2,18077,18057,20100,2280,300
10318,true,23400|2520,[18078|18058],2,18078,18058,23400,2520,300
10319,true,26700|2760,[18079|18059],2,18079,18059,26700,2760,300
10320,true,30000|3000,[18080|18060],2,18080,18060,30000,3000,300
20101,false,154,,3,0,0,0,0,100
20201,false,155,,3,0,0,0,0,201
20202,false,156,,3,0,0,0,0,202
20203,false,157,,3,0,0,0,0,203
20301,true,150|60,[18121|18101],3,18121,18101,150,60,300
20302,true,300|120,[18122|18102],3,18122,18102,300,120,300
20303,true,450|180,[18123|18103],3,18123,18103,450,180,300
20304,true,600|240,[18124|18104],3,18124,18104,600,240,300
20305,true,750|300,[18125|18105],3,18125,18105,750,300,300
20306,true,1500|420,[18126|18106],3,18126,18106,1500,420,300
20307,true,2250|540,[18127|18107],3,18127,18107,2250,540,300
20308,true,3000|660,[18128|18108],3,18128,18108,3000,660,300
20309,true,3750|780,[18129|18109],3,18129,18109,3750,780,300
20310,true,4500|900,[18130|18110],3,18130,18110,4500,900,300
20311,true,6300|1080,[18131|18111],3,18131,18111,6300,1080,300
20312,true,8100|1260,[18132|18112],3,18132,18112,8100,1260,300
20313,true,9900|1440,[18133|18113],3,18133,18113,9900,1440,300
20314,true,11700|1620,[18134|18114],3,18134,18114,11700,1620,300
20315,true,13500|1800,[18135|18115],3,18135,18115,13500,1800,300
20316,true,16800|2040,[18136|18116],3,18136,18116,16800,2040,300
20317,true,20100|2280,[18137|18117],3,18137,18117,20100,2280,300
20318,true,23400|2520,[18138|18118],3,18138,18118,23400,2520,300
20319,true,26700|2760,[18139|18119],3,18139,18119,26700,2760,300
20320,true,30000|3000,[18140|18120],3,18140,18120,30000,3000,300
30101,false,154,,4,0,0,0,0,100
30201,false,155,,4,0,0,0,0,201
30202,false,156,,4,0,0,0,0,202
30203,false,157,,4,0,0,0,0,203
30301,true,150|60,[18161|18141],4,18161,18141,150,60,300
30302,true,300|120,[18162|18142],4,18162,18142,300,120,300
30303,true,450|180,[18163|18143],4,18163,18143,450,180,300
30304,true,600|240,[18164|18144],4,18164,18144,600,240,300
30305,true,750|300,[18165|18145],4,18165,18145,750,300,300
30306,true,1500|420,[18166|18146],4,18166,18146,1500,420,300
30307,true,2250|540,[18167|18147],4,18167,18147,2250,540,300
30308,true,3000|660,[18168|18148],4,18168,18148,3000,660,300
30309,true,3750|780,[18169|18149],4,18169,18149,3750,780,300
30310,true,4500|900,[18170|18150],4,18170,18150,4500,900,300
30311,true,6300|1080,[18171|18151],4,18171,18151,6300,1080,300
30312,true,8100|1260,[18172|18152],4,18172,18152,8100,1260,300
30313,true,9900|1440,[18173|18153],4,18173,18153,9900,1440,300
30314,true,11700|1620,[18174|18154],4,18174,18154,11700,1620,300
30315,true,13500|1800,[18175|18155],4,18175,18155,13500,1800,300
30316,true,16800|2040,[18176|18156],4,18176,18156,16800,2040,300
30317,true,20100|2280,[18177|18157],4,18177,18157,20100,2280,300
