id,boss_level,buffDescList,difficulty_name,elite_level,monster_level,raid_buffs,raid_buffs_dec,raid_difficulty
1,1007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[1004|1005|1006|1010|1011],[1001|1002|1003|1008|1009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],1
2,2007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[2004|2005|2006|2010|2011],[2001|2002|2003|2008|2009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],2
3,3007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[3004|3005|3006|3010|3011],[3001|3002|3003|3008|3009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],3
4,4007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[4004|4005|4006|4010|4011],[4001|4002|4003|4008|4009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],4
5,5007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[5004|5005|5006|5010|5011],[5001|5002|5003|5008|5009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],5
6,6007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[6004|6005|6006|6010|6011],[6001|6002|6003|6008|6009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],6
7,7007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[7004|7005|7006|7010|7011],[7001|7002|7003|7008|7009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],7
8,8007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[8004|8005|8006|8010|8011],[8001|8002|8003|8008|8009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],8
9,9007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[9004|9005|9006|9010|9011],[9001|9002|9003|9008|9009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],9
10,10007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[10004|10005|10006|10010|10011],[10001|10002|10003|10008|10009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],10
