id,icon,record_key,record_type,recordType
1,icon_guild_attack,alliance_record_1,1,WarHistory
2,icon_guild_attack,alliance_record_2,1,WarHistory
3,icon_guild_defense,alliance_record_3,1,WarHistory
4,icon_guild_defense,alliance_record_4,1,WarHistory
5,icon_guild_quit,alliance_record_5,2,MemberHistory
6,icon_guild_newMember,alliance_record_6,2,MemberHistory
7,icon_guild_newMember,alliance_record_7,2,MemberHistory
8,icon_guild_quit,alliance_record_8,2,MemberHistory
9,icon_guild_promotion,alliance_record_9,2,MemberHistory
10,icon_guild_demoted,alliance_record_10,2,MemberHistory
11,icon_guild_attack,UI_Alliance_raid_24,3,Raid
12,icon_guild_attack,UI_Alliance_raid_25,3,Raid
13,icon_guild_newMember,gvg_log_1,4,Gvg
14,icon_guild_newMember,gvg_log_2,4,Gvg
15,icon_guild_quit,gvg_log_3,4,Gvg
16,icon_guild_quit,alliance_record_14,2,MemberHistory
17,icon_guild_record_1,alliance_record_17,5,5
18,icon_guild_record_1,alliance_record_18,5,5
19,icon_guild_record_2,alliance_record_19,5,5
20,icon_guild_record_2,alliance_record_20,5,5
21,icon_guild_record_3,alliance_record_21,5,5
22,icon_guild_record_3,alliance_record_22,5,5
23,icon_guild_promotion,alliance_fort_1008,6,6
24,icon_guild_promotion,alliance_fort_1009,6,6
25,icon_guild_demoted,alliance_fort_1010,7,7
26,icon_guild_promotion,alliance_fort_1041,6,6
27,,fort_raid_league_desc_56,8,8
28,icon_guild_attack,activity_ui_alliance_raid_24,9,9
29,icon_guild_attack,activity_ui_alliance_raid_25,9,9
30,icon_shield_DragonTraining_01,bossdrop_hookfang_record_hunt,10,10
31,icon_drago_DragonTraining_01,bossdrop_hookfang_record_discover,10,10
33,icon_guild_record_2,alliance_record_33,5,5
34,icon_guild_promotion,alliance_record_34,6,6
