id,donateNum,donateType,upgradeCondition,buff,buff_show,condition,effect_para,effect_type,effectParams,fightforce,group_id,level,max_level,res_need,res_num,techpoint_cost
10101,[1|1],[1|12],[],-1,alliance_tech_showdesc_101,,[3],1,[3],10000,101,1,5,[1|12],[1|1],4500
10102,[1|1],[1|13],[],-1,alliance_tech_showdesc_101,,[6],1,[6],30000,101,2,5,[1|13],[1|1],8100
10103,[1|1],[1|12],[],-1,alliance_tech_showdesc_101,,[9],1,[9],60000,101,3,5,[1|12],[1|1],12600
10104,[1|1],[1|13],[],-1,alliance_tech_showdesc_101,,[12],1,[12],100000,101,4,5,[1|13],[1|1],18000
10105,[1|1],[1|12],[],-1,alliance_tech_showdesc_101,,[15],1,[15],150000,101,5,5,[1|12],[1|1],24300
50101,[1|1],[1|13],[10101],-1,alliance_tech_showdesc_501,[10101],,-1,[],80000,501,1,1,[1|13],[1|1],4500
10201,[1|1],[1|13],[50101],-1,alliance_tech_showdesc_102,[50101],[1200115|60],2,[1200115|60],10000,102,1,5,[1|13],[1|1],12600
10202,[1|1],[1|12],[],-1,alliance_tech_showdesc_102,,[1200115|120],2,[1200115|120],30000,102,2,5,[1|12],[1|1],18900
10203,[1|1],[1|13],[],-1,alliance_tech_showdesc_102,,[1200115|180],2,[1200115|180],60000,102,3,5,[1|13],[1|1],25200
10204,[1|1],[1|12],[],-1,alliance_tech_showdesc_102,,[1200115|240],2,[1200115|240],100000,102,4,5,[1|12],[1|1],31500
10205,[1|1],[1|13],[],-1,alliance_tech_showdesc_102,,[1200115|300],2,[1200115|300],150000,102,5,5,[1|13],[1|1],37800
10301,[1|1],[1|12],[50101],-1,alliance_tech_showdesc_103,[50101],[1200116|60],2,[1200116|60],10000,103,1,5,[1|12],[1|1],12600
10302,[1|1],[1|13],[],-1,alliance_tech_showdesc_103,,[1200116|120],2,[1200116|120],30000,103,2,5,[1|13],[1|1],18900
10303,[1|1],[1|12],[],-1,alliance_tech_showdesc_103,,[1200116|180],2,[1200116|180],60000,103,3,5,[1|12],[1|1],25200
10304,[1|1],[1|13],[],-1,alliance_tech_showdesc_103,,[1200116|240],2,[1200116|240],100000,103,4,5,[1|13],[1|1],31500
10305,[1|1],[1|12],[],-1,alliance_tech_showdesc_103,,[1200116|300],2,[1200116|300],150000,103,5,5,[1|12],[1|1],37800
10401,[1|1],[1|13],[10203],-1,alliance_tech_showdesc_104,[10203],[3103|60],2,[3103|60],10000,104,1,5,[1|13],[1|1],18900
10402,[1|1],[1|12],[],-1,alliance_tech_showdesc_104,,[3103|120],2,[3103|120],30000,104,2,5,[1|12],[1|1],28350
10403,[1|1],[1|13],[],-1,alliance_tech_showdesc_104,,[3103|180],2,[3103|180],60000,104,3,5,[1|13],[1|1],37800
10404,[1|1],[1|12],[],-1,alliance_tech_showdesc_104,,[3103|240],2,[3103|240],100000,104,4,5,[1|12],[1|1],47250
10405,[1|1],[1|13],[],-1,alliance_tech_showdesc_104,,[3103|300],2,[3103|300],150000,104,5,5,[1|13],[1|1],56700
10501,[1|1],[1|12],[10203|10303],-1,alliance_tech_showdesc_105,[10203|10303],[5103|60],2,[5103|60],10000,105,1,5,[1|12],[1|1],18900
10502,[1|1],[1|13],[],-1,alliance_tech_showdesc_105,,[5103|120],2,[5103|120],30000,105,2,5,[1|13],[1|1],28350
10503,[1|1],[1|12],[],-1,alliance_tech_showdesc_105,,[5103|180],2,[5103|180],60000,105,3,5,[1|12],[1|1],37800
10504,[1|1],[1|13],[],-1,alliance_tech_showdesc_105,,[5103|240],2,[5103|240],100000,105,4,5,[1|13],[1|1],47250
10505,[1|1],[1|12],[],-1,alliance_tech_showdesc_105,,[5103|300],2,[5103|300],150000,105,5,5,[1|12],[1|1],56700
10601,[1|1],[1|13],[10303],-1,alliance_tech_showdesc_106,[10303],[4103|60],2,[4103|60],10000,106,1,5,[1|13],[1|1],18900
10602,[1|1],[1|12],[],-1,alliance_tech_showdesc_106,,[4103|120],2,[4103|120],30000,106,2,5,[1|12],[1|1],28350
10603,[1|1],[1|13],[],-1,alliance_tech_showdesc_106,,[4103|180],2,[4103|180],60000,106,3,5,[1|13],[1|1],37800
10604,[1|1],[1|12],[],-1,alliance_tech_showdesc_106,,[4103|240],2,[4103|240],100000,106,4,5,[1|12],[1|1],47250
10605,[1|1],[1|13],[],-1,alliance_tech_showdesc_106,,[4103|300],2,[4103|300],150000,106,5,5,[1|13],[1|1],56700
40101,[1|1],[1|12],[10403|10503|10603],-1,alliance_tech_showdesc_401,[10403|10503|10603],[1090|1],2,[1090|1],60000,401,1,1,[1|12],[1|1],37800
50201,[1|1],[1|13],[40101],-1,alliance_tech_showdesc_502,[40101],,-1,[],80000,502,1,1,[1|13],[1|1],37800
10701,[1|1],[1|13],[50201],-1,alliance_tech_showdesc_107,[50201],[3104|60],2,[3104|60],10000,107,1,5,[1|13],[1|1],18900
10702,[1|1],[1|12],[],-1,alliance_tech_showdesc_107,,[3104|120],2,[3104|120],30000,107,2,5,[1|12],[1|1],28350
10703,[1|1],[1|13],[],-1,alliance_tech_showdesc_107,,[3104|180],2,[3104|180],60000,107,3,5,[1|13],[1|1],37800
