id,showLineGroupIds,desc,f_point,ini_type,itemPos,line_type,name,open_time,page,pic,point_type,position
101,[],alliance_tech_desc_101,,0,"(1, 2)",,alliance_tech_name_101,0,1,tech_2022,1,[1|2]
501,[101],alliance_tech_desc_501,101,0,"(2, 2)",,alliance_tech_name_501,0,1,tech_717,1,[2|2]
102,[501],alliance_tech_desc_102,501,0,"(3, 1)",,alliance_tech_name_102,0,1,tech_2023,1,[3|1]
103,[501],alliance_tech_desc_103,501,0,"(3, 3)",,alliance_tech_name_103,0,1,tech_2024,1,[3|3]
104,[102],alliance_tech_desc_104,102,0,"(4, 1)",,alliance_tech_name_104,0,1,tech_2008,1,[4|1]
105,[102|103],alliance_tech_desc_105,102|103,0,"(4, 2)",,alliance_tech_name_105,0,1,tech_2004,1,[4|2]
106,[103],alliance_tech_desc_106,103,0,"(4, 3)",,alliance_tech_name_106,0,1,tech_2006,1,[4|3]
401,[104|105|106],alliance_tech_desc_401,104|105|106,0,"(5, 2)",,alliance_tech_name_401,0,1,tech_1205,1,[5|2]
502,[401],alliance_tech_desc_502,401,0,"(6, 2)",,alliance_tech_name_502,0,1,tech_718,1,[6|2]
107,[502],alliance_tech_desc_107,502,0,"(7, 1)",,alliance_tech_name_107,0,1,tech_2018,1,[7|1]
108,[502],alliance_tech_desc_108,502,0,"(7, 2)",,alliance_tech_name_108,0,1,tech_2016,1,[7|2]
109,[502],alliance_tech_desc_109,502,0,"(7, 3)",,alliance_tech_name_109,0,1,tech_2017,1,[7|3]
110,[107],alliance_tech_desc_110,107,0,"(8, 1)",,alliance_tech_name_110,0,1,tech_2019,1,[8|1]
111,[108],alliance_tech_desc_111,108,0,"(8, 2)",,alliance_tech_name_111,0,1,tech_2020,1,[8|2]
112,[109],alliance_tech_desc_112,109,0,"(8, 3)",,alliance_tech_name_112,0,1,tech_2021,1,[8|3]
113,[110|111|112],alliance_tech_desc_113,110|111|112,0,"(9, 2)",,alliance_tech_name_113,0,1,tech_2022,1,[9|2]
503,[113],alliance_tech_desc_503,113,0,"(10, 2)",,alliance_tech_name_503,0,1,tech_719,1,[10|2]
114,[503],alliance_tech_desc_114,503,0,"(11, 1)",,alliance_tech_name_114,0,1,tech_2023,1,[11|1]
115,[503],alliance_tech_desc_115,503,0,"(11, 3)",,alliance_tech_name_115,0,1,tech_2024,1,[11|3]
116,[114],alliance_tech_desc_116,114,0,"(12, 1)",,alliance_tech_name_116,0,1,tech_2008,1,[12|1]
117,[114|115],alliance_tech_desc_117,114|115,0,"(12, 2)",,alliance_tech_name_117,0,1,tech_2004,1,[12|2]
118,[115],alliance_tech_desc_118,115,0,"(12, 3)",,alliance_tech_name_118,0,1,tech_2006,1,[12|3]
402,[116|117|118],alliance_tech_desc_401,116|117|118,0,"(13, 2)",,alliance_tech_name_401,0,1,tech_1205,1,[13|2]
504,[402],alliance_tech_desc_504,402,0,"(14, 2)",,alliance_tech_name_504,0,1,tech_721,1,[14|2]
119,[504],alliance_tech_desc_119,504,0,"(15, 1)",,alliance_tech_name_119,0,1,tech_2018,1,[15|1]
120,[504],alliance_tech_desc_120,504,0,"(15, 2)",,alliance_tech_name_120,0,1,tech_2016,1,[15|2]
121,[504],alliance_tech_desc_121,504,0,"(15, 3)",,alliance_tech_name_121,0,1,tech_2017,1,[15|3]
122,[119],alliance_tech_desc_122,119,0,"(16, 1)",,alliance_tech_name_122,0,1,tech_2019,1,[16|1]
123,[120],alliance_tech_desc_123,120,0,"(16, 2)",,alliance_tech_name_123,0,1,tech_2020,1,[16|2]
124,[121],alliance_tech_desc_124,121,0,"(16, 3)",,alliance_tech_name_124,0,1,tech_2021,1,[16|3]
125,[122|123|124],alliance_tech_desc_125,122|123|124,0,"(17, 2)",,alliance_tech_name_125,0,1,tech_2022,1,[17|2]
505,[125],alliance_tech_desc_505,125,0,"(18, 2)",,alliance_tech_name_505,0,1,tech_720,1,[18|2]
126,[505],alliance_tech_desc_126,505,0,"(19, 1)",,alliance_tech_name_126,0,1,tech_2023,1,[19|1]
127,[505],alliance_tech_desc_127,505,0,"(19, 3)",,alliance_tech_name_127,0,1,tech_2024,1,[19|3]
128,[126],alliance_tech_desc_128,126,0,"(20, 1)",,alliance_tech_name_128,0,1,tech_2008,1,[20|1]
129,[126|127],alliance_tech_desc_129,126|127,0,"(20, 2)",,alliance_tech_name_129,0,1,tech_2004,1,[20|2]
130,[127],alliance_tech_desc_130,127,0,"(20, 3)",,alliance_tech_name_130,0,1,tech_2006,1,[20|3]
403,[128|129|130],alliance_tech_desc_401,128|129|130,0,"(21, 2)",,alliance_tech_name_401,0,1,tech_1205,1,[21|2]
131,[403],alliance_tech_desc_131,403,0,"(22, 1)",,alliance_tech_name_131,0,1,tech_2018,1,[22|1]
132,[403],alliance_tech_desc_132,403,0,"(22, 2)",,alliance_tech_name_132,0,1,tech_2016,1,[22|2]
133,[403],alliance_tech_desc_133,403,0,"(22, 3)",,alliance_tech_name_133,0,1,tech_2017,1,[22|3]
134,[131],alliance_tech_desc_134,131,0,"(23, 1)",,alliance_tech_name_134,0,1,tech_2019,1,[23|1]
135,[132],alliance_tech_desc_135,132,0,"(23, 2)",,alliance_tech_name_135,0,1,tech_2020,1,[23|2]
136,[133],alliance_tech_desc_136,133,0,"(23, 3)",,alliance_tech_name_136,0,1,tech_2021,1,[23|3]
137,[134|135|136],alliance_tech_desc_137,134|135|136,0,"(24, 2)",,alliance_tech_name_137,0,1,icon_10001,1,[24|2]
201,[],alliance_tech_desc_201,,0,"(1, 4)",,alliance_tech_name_201,0,1,tech_1001,2,[1|4]
202,[201],alliance_tech_desc_202,201,0,"(3, 4)",,alliance_tech_name_202,0,1,tech_2014,2,[3|4]
203,[202],alliance_tech_desc_203,202,0,"(4, 4)",,alliance_tech_name_203,0,1,tech_1002,2,[4|4]
