id,alliancepoint,hit_type,hit_type_range,level_min,res_need,res_to_alliancepoint,res_to_techpoint,resNeedArr,techpoint,type
1001,10,1|2|5,60|30|10,1,[999|2|10],0,0,[999|2|10],10,1
1010,10,1|2|5,60|30|10,10,[999|2|10],0,0,[999|2|10],10,1
1020,10,1|2|5,60|30|10,20,[999|2|10],0,0,[999|2|10],10,1
1030,20,1|2|5,60|30|10,30,[999|2|10],0,0,[999|2|10],10,1
1040,30,1|2|5,60|30|10,40,[999|2|10],0,0,[999|2|10],10,1
1050,40,1|2|5,60|30|10,50,[999|2|10],0,0,[999|2|10],10,1
1060,50,1|2|5,60|30|10,60,[999|2|10],0,0,[999|2|10],10,1
1070,60,1|2|5,60|30|10,70,[999|2|10],0,0,[999|2|10],10,1
1080,70,1|2|5,60|30|10,80,[999|2|10],0,0,[999|2|10],10,1
1090,80,1|2|5,60|30|10,90,[999|2|10],0,0,[999|2|10],10,1
1100,80,1|2|5,60|30|10,100,[999|2|10],0,0,[999|2|10],10,1
11001,10,1|2|5,60|30|10,1,[999|3|1],0,0,[999|3|1],10,11
11002,10,1|2|5,60|30|10,2,[999|3|1],0,0,[999|3|1],10,11
11003,10,1|2|5,60|30|10,3,[999|3|1],0,0,[999|3|1],10,11
11004,10,1|2|5,60|30|10,4,[999|3|1],0,0,[999|3|1],10,11
11005,10,1|2|5,60|30|10,5,[999|3|1],0,0,[999|3|1],10,11
11006,10,1|2|5,60|30|10,6,[999|3|1],0,0,[999|3|1],10,11
11007,10,1|2|5,60|30|10,7,[999|3|1],0,0,[999|3|1],10,11
11008,10,1|2|5,60|30|10,8,[999|3|1],0,0,[999|3|1],10,11
11009,10,1|2|5,60|30|10,9,[999|3|1],0,0,[999|3|1],10,11
11010,10,1|2|5,60|30|10,10,[999|3|1],0,0,[999|3|1],10,11
11011,10,1|2|5,60|30|10,11,[999|3|2],0,0,[999|3|2],10,11
11012,10,1|2|5,60|30|10,12,[999|3|3],0,0,[999|3|3],10,11
11013,10,1|2|5,60|30|10,13,[999|3|7],0,0,[999|3|7],10,11
11014,10,1|2|5,60|30|10,14,[999|3|8],0,0,[999|3|8],10,11
11015,10,1|2|5,60|30|10,15,[999|3|11],0,0,[999|3|11],10,11
11016,10,1|2|5,60|30|10,16,[999|3|13],0,0,[999|3|13],10,11
11017,10,1|2|5,60|30|10,17,[999|3|17],0,0,[999|3|17],10,11
11018,10,1|2|5,60|30|10,18,[999|3|19],0,0,[999|3|19],10,11
11019,10,1|2|5,60|30|10,19,[999|3|23],0,0,[999|3|23],10,11
11020,10,1|2|5,60|30|10,20,[999|3|27],0,0,[999|3|27],10,11
11021,10,1|2|5,60|30|10,21,[999|3|36],0,0,[999|3|36],10,11
11022,10,1|2|5,60|30|10,22,[999|3|45],0,0,[999|3|45],10,11
11023,10,1|2|5,60|30|10,23,[999|3|69],0,0,[999|3|69],10,11
11024,10,1|2|5,60|30|10,24,[999|3|82],0,0,[999|3|82],10,11
11025,10,1|2|5,60|30|10,25,[999|3|101],0,0,[999|3|101],10,11
11026,10,1|2|5,60|30|10,26,[999|3|116],0,0,[999|3|116],10,11
11027,10,1|2|5,60|30|10,27,[999|3|138],0,0,[999|3|138],10,11
11028,10,1|2|5,60|30|10,28,[999|3|155],0,0,[999|3|155],10,11
11029,10,1|2|5,60|30|10,29,[999|3|187],0,0,[999|3|187],10,11
11030,20,1|2|5,60|30|10,30,[999|3|206],0,0,[999|3|206],10,11
11031,20,1|2|5,60|30|10,31,[999|3|249],0,0,[999|3|249],10,11
11032,20,1|2|5,60|30|10,32,[999|3|293],0,0,[999|3|293],10,11
11033,20,1|2|5,60|30|10,33,[999|3|354],0,0,[999|3|354],10,11
11034,20,1|2|5,60|30|10,34,[999|3|403],0,0,[999|3|403],10,11
11035,20,1|2|5,60|30|10,35,[999|3|485],0,0,[999|3|485],10,11
11036,20,1|2|5,60|30|10,36,[999|3|540],0,0,[999|3|540],10,11
11037,20,1|2|5,60|30|10,37,[999|3|622],0,0,[999|3|622],10,11
11038,20,1|2|5,60|30|10,38,[999|3|683],0,0,[999|3|683],10,11
11039,20,1|2|5,60|30|10,39,[999|3|793],0,0,[999|3|793],10,11
11040,30,1|2|5,60|30|10,40,[999|3|861],0,0,[999|3|861],10,11
11041,30,1|2|5,60|30|10,41,[999|3|1004],0,0,[999|3|1004],10,11
11042,30,1|2|5,60|30|10,42,[999|3|1153],0,0,[999|3|1153],10,11
11043,30,1|2|5,60|30|10,43,[999|3|1354],0,0,[999|3|1354],10,11
11044,30,1|2|5,60|30|10,44,[999|3|1516],0,0,[999|3|1516],10,11
11045,30,1|2|5,60|30|10,45,[999|3|1773],0,0,[999|3|1773],10,11
11046,30,1|2|5,60|30|10,46,[999|3|1951],0,0,[999|3|1951],10,11
11047,30,1|2|5,60|30|10,47,[999|3|2207],0,0,[999|3|2207],10,11
11048,30,1|2|5,60|30|10,48,[999|3|2400],0,0,[999|3|2400],10,11
11049,30,1|2|5,60|30|10,49,[999|3|2683],0,0,[999|3|2683],10,11
11050,40,1|2|5,60|30|10,50,[999|3|2890],0,0,[999|3|2890],10,11
11051,40,1|2|5,60|30|10,51,[999|3|3202],0,0,[999|3|3202],10,11
11052,40,1|2|5,60|30|10,52,[999|3|3425],0,0,[999|3|3425],10,11
11053,40,1|2|5,60|30|10,53,[999|3|3824],0,0,[999|3|3824],10,11
11054,40,1|2|5,60|30|10,54,[999|3|4067],0,0,[999|3|4067],10,11
11055,40,1|2|5,60|30|10,55,[999|3|4442],0,0,[999|3|4442],10,11
11056,40,1|2|5,60|30|10,56,[999|3|4701],0,0,[999|3|4701],10,11
11057,40,1|2|5,60|30|10,57,[999|3|5109],0,0,[999|3|5109],10,11
11058,40,1|2|5,60|30|10,58,[999|3|5385],0,0,[999|3|5385],10,11
11059,40,1|2|5,60|30|10,59,[999|3|5825],0,0,[999|3|5825],10,11
11060,50,1|2|5,60|30|10,60,[999|3|6119],0,0,[999|3|6119],10,11
11061,50,1|2|5,60|30|10,61,[999|3|6422],0,0,[999|3|6422],10,11
11062,50,1|2|5,60|30|10,62,[999|3|6422],0,0,[999|3|6422],10,11
11063,50,1|2|5,60|30|10,63,[999|3|6591],0,0,[999|3|6591],10,11
11064,50,1|2|5,60|30|10,64,[999|3|6591],0,0,[999|3|6591],10,11
