id,para,reward_id,segment,stage_first_number,stage_last_number,type
5001,,33001,0,0,0,5
1001,[1],33002,0,1,0,1
1002,[2],33003,0,2,0,1
4001,[1],33004,0,1,0,4
4002,[3],33005,0,3,0,4
4003,[5],33006,0,5,0,4
2101,[1|1|1],33007,1,1,1,2
2102,[1|2|2],33008,1,2,2,2
2103,[1|3|3],33009,1,3,3,2
2104,[1|4|10],33010,1,4,10,2
2105,[1|11|20],33011,1,11,20,2
2106,[1|21|40],33012,1,21,40,2
2107,[1|41|60],33013,1,41,60,2
2108,[1|61|80],33014,1,61,80,2
2109,[1|81|100],33015,1,81,100,2
2110,[1|101|130],33016,1,101,130,2
2111,[1|131|160],33017,1,131,160,2
2112,[1|161|-1],33018,1,161,-1,2
2201,[2|1|1],33019,2,1,1,2
2202,[2|2|2],33020,2,2,2,2
2203,[2|3|3],33021,2,3,3,2
2204,[2|4|10],33022,2,4,10,2
2205,[2|11|20],33023,2,11,20,2
2206,[2|21|40],33024,2,21,40,2
2207,[2|41|60],33025,2,41,60,2
2208,[2|61|80],33026,2,61,80,2
2209,[2|81|100],33027,2,81,100,2
2210,[2|101|130],33028,2,101,130,2
2211,[2|131|160],33029,2,131,160,2
2212,[2|161|-1],33030,2,161,-1,2
2301,[3|1|1],33031,3,1,1,2
2302,[3|2|2],33032,3,2,2,2
2303,[3|3|3],33033,3,3,3,2
2304,[3|4|10],33034,3,4,10,2
2305,[3|11|20],33035,3,11,20,2
2306,[3|21|40],33036,3,21,40,2
2307,[3|41|60],33037,3,41,60,2
2308,[3|61|80],33038,3,61,80,2
2309,[3|81|100],33039,3,81,100,2
2310,[3|101|130],33040,3,101,130,2
2311,[3|131|160],33041,3,131,160,2
2312,[3|161|-1],33042,3,161,-1,2
2401,[4|1|1],33043,4,1,1,2
2402,[4|2|2],33044,4,2,2,2
2403,[4|3|3],33045,4,3,3,2
2404,[4|4|10],33046,4,4,10,2
2405,[4|11|20],33047,4,11,20,2
2406,[4|21|40],33048,4,21,40,2
2407,[4|41|60],33049,4,41,60,2
2408,[4|61|80],33050,4,61,80,2
2409,[4|81|100],33051,4,81,100,2
2410,[4|101|130],33052,4,101,130,2
2411,[4|131|160],33053,4,131,160,2
2412,[4|161|-1],33054,4,161,-1,2
2501,[5|1|1],33043,5,1,1,2
2502,[5|2|2],33044,5,2,2,2
2503,[5|3|3],33045,5,3,3,2
2504,[5|4|10],33046,5,4,10,2
2505,[5|11|20],33047,5,11,20,2
2506,[5|21|40],33048,5,21,40,2
2507,[5|41|60],33049,5,41,60,2
2508,[5|61|80],33050,5,61,80,2
2509,[5|81|100],33051,5,81,100,2
2510,[5|101|130],33052,5,101,130,2
2511,[5|131|160],33053,5,131,160,2
2512,[5|161|-1],33054,5,161,-1,2
2601,[6|1|1],33043,6,1,1,2
2602,[6|2|2],33044,6,2,2,2
2603,[6|3|3],33045,6,3,3,2
2604,[6|4|10],33046,6,4,10,2
2605,[6|11|20],33047,6,11,20,2
2606,[6|21|40],33048,6,21,40,2
2607,[6|41|60],33049,6,41,60,2
2608,[6|61|80],33050,6,61,80,2
2609,[6|81|100],33051,6,81,100,2
2610,[6|101|130],33052,6,101,130,2
2611,[6|131|160],33053,6,131,160,2
2612,[6|161|-1],33054,6,161,-1,2
3001,[1|1],33055,0,1,1,3
3002,[2|2],33056,0,2,2,3
3003,[3|3],33057,0,3,3,3
3004,[4|5],33058,0,4,5,3
3005,[6|10],33059,0,6,10,3
