id,FragmentId,_fragmentId,artifact_skill_attr_type,desc,fragment_formula,fragment_num,name,quality,repeat_get,show_picture,type,version
30001,303001,303001,3,artifact_desc_30001,[303001],10,artifact_name_30001,2,303001,Artifact_30001,2,-1
30002,303002,303002,3,artifact_desc_30002,[303002],10,artifact_name_30002,2,303002,Artifact_30002,1,-1
30003,303003,303003,3,artifact_desc_30003,[303003],10,artifact_name_30003,2,303003,Artifact_30003,2,-1
40001,304001,304001,4,artifact_desc_40001,[304001],10,artifact_name_40001,3,304001,Artifact_40001,1,-1
40002,304002,304002,4,artifact_desc_40002,[304002],10,artifact_name_40002,3,304002,Artifact_40002,1,-1
40003,304003,304003,4,artifact_desc_40003,[304003],10,artifact_name_40003,3,304003,Artifact_40003,2,-1
40004,304004,304004,4,artifact_desc_40004,[304004],10,artifact_name_40004,3,304004,Artifact_40004,3,-1
40005,304005,304005,4,artifact_desc_40005,[304005],10,artifact_name_40005,3,304005,Artifact_40005,2,-1
40006,304006,304006,4,artifact_desc_40006,[304006],10,artifact_name_40006,3,304006,Artifact_40006,1,-1
40007,304007,304007,4,artifact_desc_40007,[304007],10,artifact_name_40007,3,304007,Artifact_40007,3,-1
50001,305001,305001,5,artifact_desc_50001,[305001],10,artifact_name_50001,4,305001,Artifact_50001,1,-1
50002,305002,305002,5,artifact_desc_50002,[305002],10,artifact_name_50002,4,305002,Artifact_50002,1,-1
50003,305003,305003,5,artifact_desc_50003,[305003],10,artifact_name_50003,4,305003,Artifact_50003,2,-1
50004,305004,305004,5,artifact_desc_50004,[305004],10,artifact_name_50004,4,305004,Artifact_50004,2,-1
50005,305005,305005,5,artifact_desc_50005,[305005],10,artifact_name_50005,4,305005,Artifact_50005,3,-1
50006,305006,305006,5,artifact_desc_50006,[305006],10,artifact_name_50006,4,305006,Artifact_50006,3,-1
50007,305007,305007,5,artifact_desc_50007,[305007],10,artifact_name_50007,4,305007,Artifact_50007,3,-1
50008,305008,305008,5,artifact_desc_50008,[305008],10,artifact_name_50008,4,305008,Artifact_50008,1,-1
50009,305009,305009,5,artifact_desc_50009,[305009],10,artifact_name_50009,4,305009,Artifact_50009,2,-1
50010,305010,305010,5,artifact_desc_50010,[305010],10,artifact_name_50010,4,305010,Artifact_50010,2,-1
50011,305011,305011,5,artifact_desc_50011,[305011],10,artifact_name_50011,4,305011,Artifact_50011,1,-1
50012,305012,305012,5,artifact_desc_50012,[305012],10,artifact_name_50012,4,305012,Artifact_50012,3,-1
50013,305013,305013,5,artifact_desc_50013,[305013],10,artifact_name_50013,4,305013,Artifact_50013,2,-1
