id,attr_1,attr_2,attr_3,attr_4,level,type
3001,3|90,4|900,10|10000,,1,3
3002,3|140,4|1400,10|10000,,2,3
3003,3|190,4|1850,10|10000,,3,3
3004,3|235,4|2300,10|10000,,4,3
3005,3|285,4|2750,10|10000,,5,3
3006,3|330,4|3250,10|10000,,6,3
3007,3|380,4|3700,10|10000,,7,3
3008,3|425,4|4150,10|10000,,8,3
3009,3|475,4|4600,10|10000,,9,3
3010,3|520,4|5050,10|10000,,10,3
3011,3|665,4|6500,10|10000,,11,3
3012,3|805,4|7900,10|10000,,12,3
3013,3|950,4|9300,10|10000,,13,3
3014,3|1090,4|10700,10|10000,,14,3
3015,3|1235,4|12100,10|10000,,15,3
3016,3|1375,4|13550,10|10000,,16,3
3017,3|1520,4|14950,10|10000,,17,3
3018,3|1660,4|16350,10|10000,,18,3
3019,3|1805,4|17750,10|10000,,19,3
3020,3|1945,4|19150,10|10000,,20,3
3021,3|2520,4|24750,10|10000,,21,3
3022,3|3095,4|30300,10|10000,,22,3
3023,3|3670,4|35850,10|10000,,23,3
3024,3|4245,4|41450,10|10000,,24,3
3025,3|4820,4|47000,10|10000,,25,3
3026,3|5395,4|52550,10|10000,,26,3
3027,3|5970,4|58150,10|10000,,27,3
3028,3|6545,4|63700,10|10000,,28,3
3029,3|7120,4|69250,10|10000,,29,3
3030,3|7695,4|74800,10|10000,,30,3
3031,3|9460,4|92700,10|10000,,31,3
3032,3|11220,4|110550,10|10000,,32,3
3033,3|12985,4|128400,10|10000,,33,3
3034,3|14745,4|146250,10|10000,,34,3
3035,3|16510,4|164100,10|10000,,35,3
3036,3|18270,4|181950,10|10000,,36,3
3037,3|20035,4|199800,10|10000,,37,3
3038,3|21795,4|217650,10|10000,,38,3
3039,3|23560,4|235500,10|10000,,39,3
3040,3|25320,4|253350,10|10000,,40,3
4001,3|90,4|900,10|10000,,1,4
4002,3|140,4|1400,10|10000,,2,4
4003,3|190,4|1850,10|10000,,3,4
4004,3|235,4|2300,10|10000,,4,4
4005,3|285,4|2750,10|10000,,5,4
4006,3|330,4|3250,10|10000,,6,4
4007,3|380,4|3700,10|10000,,7,4
4008,3|425,4|4150,10|10000,,8,4
4009,3|475,4|4600,10|10000,,9,4
4010,3|520,4|5050,10|10000,,10,4
4011,3|665,4|6500,10|10000,,11,4
4012,3|805,4|7900,10|10000,,12,4
4013,3|950,4|9300,10|10000,,13,4
4014,3|1090,4|10700,10|10000,,14,4
4015,3|1235,4|12100,10|10000,,15,4
4016,3|1375,4|13550,10|10000,,16,4
4017,3|1520,4|14950,10|10000,,17,4
4018,3|1660,4|16350,10|10000,,18,4
4019,3|1805,4|17750,10|10000,,19,4
4020,3|1945,4|19150,10|10000,,20,4
4021,3|2520,4|24750,10|10000,,21,4
4022,3|3095,4|30300,10|10000,,22,4
4023,3|3670,4|35850,10|10000,,23,4
4024,3|4245,4|41450,10|10000,,24,4
4025,3|4820,4|47000,10|10000,,25,4
4026,3|5395,4|52550,10|10000,,26,4
4027,3|5970,4|58150,10|10000,,27,4
4028,3|6545,4|63700,10|10000,,28,4
4029,3|7120,4|69250,10|10000,,29,4
4030,3|7695,4|74800,10|10000,,30,4
4031,3|9460,4|92700,10|10000,,31,4
4032,3|11220,4|110550,10|10000,,32,4
4033,3|12985,4|128400,10|10000,,33,4
4034,3|14745,4|146250,10|10000,,34,4
4035,3|16510,4|164100,10|10000,,35,4
4036,3|18270,4|181950,10|10000,,36,4
4037,3|20035,4|199800,10|10000,,37,4
4038,3|21795,4|217650,10|10000,,38,4
4039,3|23560,4|235500,10|10000,,39,4
4040,3|25320,4|253350,10|10000,,40,4
5001,3|90,4|900,10|10000,,1,5
5002,3|140,4|1400,10|10000,,2,5
5003,3|190,4|1850,10|10000,,3,5
5004,3|235,4|2300,10|10000,,4,5
5005,3|285,4|2750,10|10000,,5,5
5006,3|330,4|3250,10|10000,,6,5
5007,3|380,4|3700,10|10000,,7,5
5008,3|425,4|4150,10|10000,,8,5
5009,3|475,4|4600,10|10000,,9,5
5010,3|520,4|5050,10|10000,,10,5
5011,3|665,4|6500,10|10000,,11,5
5012,3|805,4|7900,10|10000,,12,5
5013,3|950,4|9300,10|10000,,13,5
5014,3|1090,4|10700,10|10000,,14,5
5015,3|1235,4|12100,10|10000,,15,5
5016,3|1375,4|13550,10|10000,,16,5
5017,3|1520,4|14950,10|10000,,17,5
5018,3|1660,4|16350,10|10000,,18,5
5019,3|1805,4|17750,10|10000,,19,5
5020,3|1945,4|19150,10|10000,,20,5
5021,3|2520,4|24750,10|10000,,21,5
5022,3|3095,4|30300,10|10000,,22,5
5023,3|3670,4|35850,10|10000,,23,5
5024,3|4245,4|41450,10|10000,,24,5
5025,3|4820,4|47000,10|10000,,25,5
5026,3|5395,4|52550,10|10000,,26,5
5027,3|5970,4|58150,10|10000,,27,5
5028,3|6545,4|63700,10|10000,,28,5
5029,3|7120,4|69250,10|10000,,29,5
5030,3|7695,4|74800,10|10000,,30,5
5031,3|9460,4|92700,10|10000,,31,5
5032,3|11220,4|110550,10|10000,,32,5
5033,3|12985,4|128400,10|10000,,33,5
5034,3|14745,4|146250,10|10000,,34,5
5035,3|16510,4|164100,10|10000,,35,5
5036,3|18270,4|181950,10|10000,,36,5
5037,3|20035,4|199800,10|10000,,37,5
5038,3|21795,4|217650,10|10000,,38,5
5039,3|23560,4|235500,10|10000,,39,5
5040,3|25320,4|253350,10|10000,,40,5
