id,newFightAttrs,SkillId,SkillId2,artifact_id,attribute,fightforce,level,level_2,need_wear,new_fight_attr,originID,originID_2,skill_desc,skill_desc_parameter,skill_icon,skill_name,star,star_up_cost
3000100,{20005:340|20006:2300},23001001,-1,30001,"3|340,4|2300",4000,1,-1,1,[20005|340|20006|2300],23001001,-1,[hero_skill_desc_23001001],[2|5|4|20],,hero_skill_name_23001001,0,
3000101,{20005:356|20006:2400},23001001,-1,30001,"3|356,4|2400",4400,1,-1,1,[20005|356|20006|2400],23001001,-1,[hero_skill_desc_23001001],[2|5|4|20],,hero_skill_name_23001001,1,[303001|2]
3000102,{20005:372|20006:2500},23001001,-1,30001,"3|372,4|2500",4800,1,-1,1,[20005|372|20006|2500],23001001,-1,[hero_skill_desc_23001001],[2|5|4|20],,hero_skill_name_23001001,2,[303001|2]
3000103,{20005:388|20006:2600},23001001,-1,30001,"3|388,4|2600",5200,1,-1,1,[20005|388|20006|2600],23001001,-1,[hero_skill_desc_23001001],[2|5|4|20],,hero_skill_name_23001001,3,[303001|2]
3000104,{20005:404|20006:2700},23001001,-1,30001,"3|404,4|2700",5600,1,-1,1,[20005|404|20006|2700],23001001,-1,[hero_skill_desc_23001001],[2|5|4|20],,hero_skill_name_23001001,4,[303001|2]
3000105,{20005:420|20006:2800},23001011,-1,30001,"3|420,4|2800",6000,2,-1,1,[20005|420|20006|2800],23001001,-1,[hero_skill_desc_23001001],[2|5.5|4|20],,hero_skill_name_23001001,5,[303001|2]
3000106,{20005:440|20006:2940},23001011,-1,30001,"3|440,4|2940",6500,2,-1,1,[20005|440|20006|2940],23001001,-1,[hero_skill_desc_23001001],[2|5.5|4|20],,hero_skill_name_23001001,6,[303001|4]
3000107,{20005:460|20006:3080},23001011,-1,30001,"3|460,4|3080",7000,2,-1,1,[20005|460|20006|3080],23001001,-1,[hero_skill_desc_23001001],[2|5.5|4|20],,hero_skill_name_23001001,7,[303001|4]
3000108,{20005:480|20006:3220},23001011,-1,30001,"3|480,4|3220",7500,2,-1,1,[20005|480|20006|3220],23001001,-1,[hero_skill_desc_23001001],[2|5.5|4|20],,hero_skill_name_23001001,8,[303001|4]
3000109,{20005:500|20006:3360},23001011,-1,30001,"3|500,4|3360",8000,2,-1,1,[20005|500|20006|3360],23001001,-1,[hero_skill_desc_23001001],[2|5.5|4|20],,hero_skill_name_23001001,9,[303001|4]
3000110,{20005:520|20006:3500},23001021,-1,30001,"3|520,4|3500",8500,3,-1,1,[20005|520|20006|3500],23001001,-1,[hero_skill_desc_23001001],[2|6|4|20],,hero_skill_name_23001001,10,[303001|4]
3000111,{20005:546|20006:3660},23001021,-1,30001,"3|546,4|3660",9200,3,-1,1,[20005|546|20006|3660],23001001,-1,[hero_skill_desc_23001001],[2|6|4|20],,hero_skill_name_23001001,11,[303001|6]
3000112,{20005:572|20006:3820},23001021,-1,30001,"3|572,4|3820",9900,3,-1,1,[20005|572|20006|3820],23001001,-1,[hero_skill_desc_23001001],[2|6|4|20],,hero_skill_name_23001001,12,[303001|6]
3000113,{20005:598|20006:3980},23001021,-1,30001,"3|598,4|3980",10600,3,-1,1,[20005|598|20006|3980],23001001,-1,[hero_skill_desc_23001001],[2|6|4|20],,hero_skill_name_23001001,13,[303001|6]
3000114,{20005:624|20006:4140},23001021,-1,30001,"3|624,4|4140",11300,3,-1,1,[20005|624|20006|4140],23001001,-1,[hero_skill_desc_23001001],[2|6|4|20],,hero_skill_name_23001001,14,[303001|6]
3000115,{20005:650|20006:4300},23001031,-1,30001,"3|650,4|4300",12000,4,-1,1,[20005|650|20006|4300],23001001,-1,[hero_skill_desc_23001001|hero_skill_desc_23001001_1],[2|6.5|4|20|2|40],,hero_skill_name_23001001,15,[303001|6]
3000116,{20005:682|20006:4520},23001031,-1,30001,"3|682,4|4520",12800,4,-1,1,[20005|682|20006|4520],23001001,-1,[hero_skill_desc_23001001|hero_skill_desc_23001001_1],[2|6.5|4|20|2|40],,hero_skill_name_23001001,16,[303001|8]
3000117,{20005:714|20006:4740},23001031,-1,30001,"3|714,4|4740",13600,4,-1,1,[20005|714|20006|4740],23001001,-1,[hero_skill_desc_23001001|hero_skill_desc_23001001_1],[2|6.5|4|20|2|40],,hero_skill_name_23001001,17,[303001|8]
3000118,{20005:746|20006:4960},23001031,-1,30001,"3|746,4|4960",14400,4,-1,1,[20005|746|20006|4960],23001001,-1,[hero_skill_desc_23001001|hero_skill_desc_23001001_1],[2|6.5|4|20|2|40],,hero_skill_name_23001001,18,[303001|8]
3000119,{20005:778|20006:5180},23001031,-1,30001,"3|778,4|5180",15200,4,-1,1,[20005|778|20006|5180],23001001,-1,[hero_skill_desc_23001001|hero_skill_desc_23001001_1],[2|6.5|4|20|2|40],,hero_skill_name_23001001,19,[303001|8]
3000120,{20005:810|20006:5400},23001041,-1,30001,"3|810,4|5400",16000,5,-1,1,[20005|810|20006|5400],23001001,-1,[hero_skill_desc_23001001|hero_skill_desc_23001001_1],[2|7|4|20|2|40],,hero_skill_name_23001001,20,[303001|8]
