id,alliance_tech,attribute_Id,diy_show,effect_march_type,effect_side,fight_force_ratio,fight_force_type,fight_type,fightType,icon,icon_big,max,name,power_ratio_hero,power_ratio_troop,report_show,team_show,type
1,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_1,0,0,-1,-1,1
2,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_2,0,0,-1,-1,1
3,-1,-1,1,-1,-1,-1,,,[],attr_01,,-1,attribute_name_103,0,0,-1,-1,1
4,-1,-1,1,-1,-1,-1,,,[],attr_02,,-1,attribute_name_104,0,0,-1,-1,1
5,-1,-1,-1,-1,-1,-1,,,[],attr_speed,,-1,attribute_name_5,0,0,-1,-1,1
6,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_6,0,0,-1,-1,2
7,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_7,0,0,-1,-1,2
8,-1,-1,-1,-1,-1,-1,,,[],attr_crit,,-1,attribute_name_8,0,0,-1,1,2
9,-1,-1,-1,-1,-1,-1,,,[],attr_riot,,-1,attribute_name_9,0,0,-1,1,2
10,-1,-1,-1,-1,-1,-1,,,[],attr_critical-damage,,-1,attribute_name_10,0,0,-1,-1,2
11,-1,-1,-1,-1,-1,-1,,,[],attr_damage-reduction,,-1,attribute_name_11,0,0,-1,-1,2
12,-1,-1,-1,-1,-1,-1,,,[],attr_hit,,-1,attribute_name_12,0,0,-1,1,2
13,-1,-1,-1,-1,-1,-1,,,[],attr_dodge,,-1,attribute_name_13,0,0,-1,1,2
14,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_14,0,0,-1,-1,1
15,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_15,0,0,-1,-1,2
16,-1,-1,-1,-1,-1,-1,,,[],attr_parry,,-1,attribute_name_16,0,0,-1,-1,2
17,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_17,0,0,-1,-1,2
18,-1,-1,1,-1,-1,-1,,,[],attr_damage,,-1,attribute_name_18,0,0,1,1,2
19,-1,-1,1,-1,-1,-1,,,[],attr_damage-reduction,,-1,attribute_name_19,0,0,1,1,2
20,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_20,0,0,-1,1,2
21,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_21,0,0,-1,1,2
22,1,-1,-1,-1,-1,-1,,,[],attr_defence,,-1,attribute_name_22,0,0,1,-1,1
23,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_23,0,0,-1,-1,1
24,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_24,0,0,-1,-1,1
25,-1,-1,-1,-1,-1,-1,,,[],attr_damage,,-1,attribute_name_25,0,0,-1,1,2
26,-1,-1,-1,-1,-1,-1,,,[],attr_damage-reduction,,-1,attribute_name_26,0,0,-1,1,2
27,-1,-1,-1,-1,-1,-1,,,[],tech_2029,,-1,attribute_name_27,0,0,-1,-1,2
28,-1,-1,-1,-1,-1,-1,,,[],tech_2032,,-1,attribute_name_28,0,0,-1,-1,2
29,-1,-1,-1,-1,-1,-1,,,[],tech_2028,,-1,attribute_name_29,0,0,-1,-1,2
30,-1,-1,-1,-1,-1,-1,,,[],tech_2031,,-1,attribute_name_30,0,0,-1,-1,2
31,-1,-1,-1,-1,-1,-1,,,[],tech_2027,,-1,attribute_name_31,0,0,-1,-1,2
32,-1,-1,-1,-1,-1,-1,,,[],tech_2030,,-1,attribute_name_32,0,0,-1,-1,2
33,-1,-1,-1,-1,-1,-1,,,[],attr_healing-rate,,-1,attribute_name_33,0,0,-1,1,2
34,-1,-1,1,-1,-1,-1,,,[],attr_be-healing-rate,,-1,attribute_name_34,0,0,-1,1,2
35,-1,-1,-1,-1,-1,-1,,,[],attr_damage,,-1,attribute_name_37,0,0,1,-1,2
36,-1,-1,-1,-1,-1,-1,,,[],attr_damage-reduction,,-1,attribute_name_38,0,0,1,-1,2
37,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_37,0,0,-1,-1,2
38,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_38,0,0,-1,-1,2
39,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_39,0,0,-1,-1,2
40,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_40,0,0,-1,-1,2
41,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_41,0,0,-1,-1,2
42,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_42,0,0,-1,-1,2
43,-1,-1,-1,-1,-1,-1,,,[],icon_Decorationslv,,-1,attribute_name_43,0,0,-1,-1,1
44,1,-1,-1,-1,-1,-1,,,[],attr_damage-reduction,,-1,attribute_name_44,0,0,-1,-1,2
45,-1,-1,-1,-1,-1,-1,,,[],attr_damage,,-1,attribute_name_45,0,0,1,-1,2
46,-1,-1,-1,-1,-1,-1,,,[],attr_damage-reduction,,-1,attribute_name_46,0,0,-1,-1,2
47,-1,-1,-1,-1,-1,-1,,,[],attr_damage,,-1,attribute_name_47,0,0,-1,-1,2
48,-1,-1,-1,-1,-1,-1,,,[],attr_damage-reduction,,-1,attribute_name_48,0,0,1,-1,2
49,-1,-1,-1,-1,-1,-1,,,[],attr_damage,,-1,attribute_name_49,0,0,-1,-1,2
50,-1,-1,-1,-1,-1,-1,,,[],attr_damage-reduction,,-1,attribute_name_50,0,0,-1,-1,2
51,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_51,0,0,-1,-1,2
52,-1,-1,-1,-1,-1,-1,,,[],tech_2003,,-1,attribute_name_52,0,0,-1,-1,2
53,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_53,0,0,-1,-1,2
54,-1,-1,-1,-1,-1,-1,,,[],tech_2003,,-1,attribute_name_54,0,0,-1,-1,2
55,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_55,0,0,-1,-1,2
56,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_56,0,0,-1,-1,2
57,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_57,0,0,-1,-1,1
58,-1,-1,1,-1,-1,-1,,,[],attr_01,,-1,attribute_name_58,0,0,-1,-1,1
59,-1,-1,1,-1,-1,-1,,,[],attr_02,,-1,attribute_name_59,0,0,-1,-1,1
60,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_60,0,0,-1,-1,2
61,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_61,0,0,-1,-1,2
62,-1,-1,1,-1,-1,-1,,,[],attr_01,,-1,attribute_name_62,0,0,1,-1,2
63,-1,-1,1,-1,-1,-1,,,[],attr_02,,-1,attribute_name_63,0,0,1,-1,2
64,-1,-1,-1,-1,-1,-1,,,[],attr_antidefence,,-1,attribute_name_64,0,0,1,-1,1
65,-1,-1,1,-1,-1,-1,,,[],attr_01,,-1,attribute_name_165,0,0,-1,-1,1
66,-1,-1,1,-1,-1,-1,,,[],attr_02,,-1,attribute_name_166,0,0,-1,-1,1
67,-1,-1,-1,-1,-1,-1,,,[],,,-1,attribute_name_67,0,0,-1,-1,2
68,-1,-1,-1,-1,-1,-1,,,[],attr_damage,,-1,attribute_name_68,0,0,-1,-1,2
69,-1,-1,-1,-1,-1,-1,,,[],attr_damage-reduction,,-1,attribute_name_69,0,0,-1,-1,2
71,-1,-1,-1,-1,-1,-1,,,[],,,-1,,0,0,-1,-1,-1
72,-1,-1,-1,-1,-1,-1,,,[],attr_crit,,-1,attribute_name_8,0,0,-1,-1,2
73,-1,-1,-1,-1,-1,-1,,,[],attr_riot,,-1,attribute_name_9,0,0,-1,-1,2
