id,activity_id,exp,icon,level,phase,reward1,reward2,reward3,show_lv_reward1,show_reward
1011,144,2,UI/ItemIcon/icon_battlepass_score,0,1,-1,-1,-1,0,0
1012,144,2,UI/ItemIcon/icon_battlepass_score,1,1,4501,4541,-1,1,0
1013,144,2,UI/ItemIcon/icon_battlepass_score,2,1,4502,4542,4581,0,0
1014,144,2,UI/ItemIcon/icon_battlepass_score,3,1,4503,4543,-1,1,0
1015,144,2,UI/ItemIcon/icon_battlepass_score,4,1,4504,4544,4582,1,0
1016,144,2,UI/ItemIcon/icon_battlepass_score,5,1,4505,4545,-1,0,0
1017,144,2,UI/ItemIcon/icon_battlepass_score,6,1,4506,4546,4583,1,0
1018,144,2,UI/ItemIcon/icon_battlepass_score,7,1,4507,4547,4584,1,0
1019,144,2,UI/ItemIcon/icon_battlepass_score,8,1,4508,4548,-1,0,0
1020,144,2,UI/ItemIcon/icon_battlepass_score,9,1,4509,4549,4585,0,0
1021,144,2,UI/ItemIcon/icon_battlepass_score,10,1,4510,4550,-1,0,0
1022,144,2,UI/ItemIcon/icon_battlepass_score,11,1,4511,4551,4586,0,0
1023,144,2,UI/ItemIcon/icon_battlepass_score,12,1,4512,4552,-1,0,0
1024,144,2,UI/ItemIcon/icon_battlepass_score,13,1,4513,4553,4587,0,0
1025,144,2,UI/ItemIcon/icon_battlepass_score,14,1,4514,4554,-1,0,0
1026,144,2,UI/ItemIcon/icon_battlepass_score,15,1,4515,4555,4588,0,0
1027,144,2,UI/ItemIcon/icon_battlepass_score,16,1,4516,4556,-1,0,0
1028,144,2,UI/ItemIcon/icon_battlepass_score,17,1,4517,4557,-1,0,0
1029,144,2,UI/ItemIcon/icon_battlepass_score,18,1,4518,4558,4589,1,0
1030,144,2,UI/ItemIcon/icon_battlepass_score,19,1,4519,4559,4590,0,0
1031,144,2,UI/ItemIcon/icon_battlepass_score,20,1,4520,4560,-1,0,0
2011,145,2,UI/ItemIcon/icon_battlepass_score,0,1,-1,-1,-1,0,0
2012,145,2,UI/ItemIcon/icon_battlepass_score,1,1,4801,4901,4851,1,0
2013,145,2,UI/ItemIcon/icon_battlepass_score,2,1,4802,4902,4852,1,0
2014,145,2,UI/ItemIcon/icon_battlepass_score,3,1,4803,4903,4853,0,0
2015,145,2,UI/ItemIcon/icon_battlepass_score,4,1,4804,4904,4854,0,0
2016,145,2,UI/ItemIcon/icon_battlepass_score,5,1,4805,4905,4855,0,0
2017,145,2,UI/ItemIcon/icon_battlepass_score,6,1,4806,4906,4856,0,0
2018,145,2,UI/ItemIcon/icon_battlepass_score,7,1,4807,4907,4857,0,0
2019,145,2,UI/ItemIcon/icon_battlepass_score,8,1,4808,4908,4858,0,0
2020,145,2,UI/ItemIcon/icon_battlepass_score,9,1,4809,4909,4859,0,0
2021,145,2,UI/ItemIcon/icon_battlepass_score,10,1,4810,4910,4860,0,0
2022,145,2,UI/ItemIcon/icon_battlepass_score,11,1,4811,4911,4861,1,0
2023,145,2,UI/ItemIcon/icon_battlepass_score,12,1,4812,4912,4862,1,0
2024,145,2,UI/ItemIcon/icon_battlepass_score,13,1,4813,4913,4863,1,0
2025,145,2,UI/ItemIcon/icon_battlepass_score,14,1,4814,4914,4864,0,0
2026,145,2,UI/ItemIcon/icon_battlepass_score,15,1,4815,4915,4865,0,0
2027,145,2,UI/ItemIcon/icon_battlepass_score,16,1,4816,4916,4866,0,0
2028,145,2,UI/ItemIcon/icon_battlepass_score,17,1,4817,4917,4867,0,0
2029,145,2,UI/ItemIcon/icon_battlepass_score,18,1,4818,4918,4868,0,0
2030,145,2,UI/ItemIcon/icon_battlepass_score,19,1,4819,4919,4869,0,0
2031,145,2,UI/ItemIcon/icon_battlepass_score,20,1,4820,4920,4870,0,0
2032,145,2,UI/ItemIcon/icon_battlepass_score,21,1,4821,4921,4871,0,0
2033,145,2,UI/ItemIcon/icon_battlepass_score,22,1,4822,4922,4872,0,0
2034,145,2,UI/ItemIcon/icon_battlepass_score,23,1,4823,4923,4873,0,0
2035,145,2,UI/ItemIcon/icon_battlepass_score,24,1,4824,4924,4874,0,0
2036,145,2,UI/ItemIcon/icon_battlepass_score,25,1,4825,4925,4875,0,0
2037,145,2,UI/ItemIcon/icon_battlepass_score,26,1,4826,4926,4876,0,0
2038,145,2,UI/ItemIcon/icon_battlepass_score,27,1,4827,4927,4877,0,0
2039,145,2,UI/ItemIcon/icon_battlepass_score,28,1,4828,4928,4878,0,0
2040,145,2,UI/ItemIcon/icon_battlepass_score,29,1,4829,4929,4879,0,0
2041,145,2,UI/ItemIcon/icon_battlepass_score,30,1,4830,4930,4880,1,0
2042,145,2,UI/ItemIcon/icon_battlepass_score,31,1,4831,4931,4881,1,0
2043,145,2,UI/ItemIcon/icon_battlepass_score,32,1,4832,4932,4882,1,0
2044,145,2,UI/ItemIcon/icon_battlepass_score,33,1,4833,4933,4883,1,0
2045,145,2,UI/ItemIcon/icon_battlepass_score,34,1,4834,4934,4884,0,0
2046,145,2,UI/ItemIcon/icon_battlepass_score,35,1,4835,4935,4885,0,0
2047,145,2,UI/ItemIcon/icon_battlepass_score,36,1,4836,4936,4886,0,0
2048,145,2,UI/ItemIcon/icon_battlepass_score,37,1,4837,4937,4887,0,0
2049,145,2,UI/ItemIcon/icon_battlepass_score,38,1,4838,4938,4888,0,0
2050,145,2,UI/ItemIcon/icon_battlepass_score,39,1,4839,4939,4889,0,0
2051,145,2,UI/ItemIcon/icon_battlepass_score,40,1,4840,4940,4890,0,0
2052,145,2,UI/ItemIcon/icon_battlepass_score,41,1,4841,4941,4891,0,0
2053,145,2,UI/ItemIcon/icon_battlepass_score,42,1,4842,4942,4892,0,0
2054,145,2,UI/ItemIcon/icon_battlepass_score,43,1,4843,4943,4893,0,0
2055,145,2,UI/ItemIcon/icon_battlepass_score,44,1,4844,4944,4894,0,0
2056,145,2,UI/ItemIcon/icon_battlepass_score,45,1,4845,4945,4895,0,0
2057,145,2,UI/ItemIcon/icon_battlepass_score,46,1,4846,4946,4896,0,0
2058,145,2,UI/ItemIcon/icon_battlepass_score,47,1,4847,4947,4897,0,0
2059,145,2,UI/ItemIcon/icon_battlepass_score,48,1,4848,4948,4898,0,0
2060,145,2,UI/ItemIcon/icon_battlepass_score,49,1,4849,4949,4899,0,0
2061,145,2,UI/ItemIcon/icon_battlepass_score,50,1,4850,4950,4900,0,0
3011,200,2,UI/ItemIcon/icon_battlepass_score,0,1,-1,-1,-1,0,0
3012,200,2,UI/ItemIcon/icon_battlepass_score,1,1,450001,450041,-1,1,0
3013,200,2,UI/ItemIcon/icon_battlepass_score,2,1,450002,450042,450081,0,0
3014,200,2,UI/ItemIcon/icon_battlepass_score,3,1,450003,450043,-1,1,0
3015,200,2,UI/ItemIcon/icon_battlepass_score,4,1,450004,450044,450082,1,0
3016,200,2,UI/ItemIcon/icon_battlepass_score,5,1,450005,450045,-1,0,0
3017,200,2,UI/ItemIcon/icon_battlepass_score,6,1,450006,450046,450083,1,0
3018,200,2,UI/ItemIcon/icon_battlepass_score,7,1,450007,450047,450084,1,0
3019,200,2,UI/ItemIcon/icon_battlepass_score,8,1,450008,450048,-1,0,0
3020,200,2,UI/ItemIcon/icon_battlepass_score,9,1,450009,450049,450085,0,0
3021,200,2,UI/ItemIcon/icon_battlepass_score,10,1,450010,450050,-1,0,0
3022,200,2,UI/ItemIcon/icon_battlepass_score,11,1,450011,450051,450086,0,0
3023,200,2,UI/ItemIcon/icon_battlepass_score,12,1,450012,450052,-1,0,0
3024,200,2,UI/ItemIcon/icon_battlepass_score,13,1,450013,450053,450087,0,0
3025,200,2,UI/ItemIcon/icon_battlepass_score,14,1,450014,450054,-1,0,0
