id,bounty_refresh_quality,prestige,reward,task_max_num,task_num,task_recover_num,task_recover_time,tips
1,[10000|0|0|0|0],1,-1,1,0,1,28800,
2,[9000|1000|0|0|0],3,27902,6,3,3,28800,"world_levelup_tips1|10,world_levelup_tips2|10"
3,[8000|1500|500|0|0],4,27903,8,4,4,28800,"world_levelup_tips1|10,world_levelup_tips2|10"
4,[7000|2000|1000|0|0],8,27904,10,5,5,28800,"world_levelup_tips1|10,world_levelup_tips2|10"
5,[6300|2500|1200|0|0],15,27905,12,6,6,28800,"world_levelup_tips1|10,world_levelup_tips2|10"
6,[5200|2800|1500|500|0],25,27906,14,7,7,28800,"world_levelup_tips1|10,world_levelup_tips2|10"
7,[4600|3000|1700|700|0],40,27907,14,7,7,28800,"world_levelup_tips1|10,world_levelup_tips2|10"
8,[3900|3200|2000|900|0],60,27908,16,8,8,28800,"world_levelup_tips1|10,world_levelup_tips2|10"
9,[3000|3500|2200|900|400],80,27909,18,8,8,28800,
10,[2100|3800|2500|1100|500],100,27910,20,8,8,28800,
11,[1600|4000|2700|1100|600],150,27911,22,8,8,28800,
12,[800|4200|3000|1300|700],200,27912,24,8,8,28800,
13,[200|4500|3200|1300|800],250,27913,26,8,8,28800,
14,[0|4100|3500|1500|900],300,27914,28,8,8,28800,
15,[0|3800|3700|1500|1000],400,27915,30,8,8,28800,
16,[0|3200|4000|1700|1100],500,27916,32,8,8,28800,
17,[0|2900|4200|1700|1200],600,27917,34,8,8,28800,
18,[0|2300|4500|1900|1300],700,27918,36,8,8,28800,
19,[0|2000|4700|1900|1400],800,27919,38,8,8,28800,
20,[0|1400|5000|2100|1500],999,27920,40,8,8,28800,
21,[0|1400|5000|2100|1500],999999,-1,40,8,8,28800,
22,[0|1400|5000|2100|1500],999999,-1,40,8,8,28800,
23,[0|1400|5000|2100|1500],999999,-1,40,8,8,28800,
24,[0|1400|5000|2100|1500],999999,-1,40,8,8,28800,
25,[0|1400|5000|2100|1500],999999,-1,40,8,8,28800,
26,[0|1400|5000|2100|1500],999999,-1,40,8,8,28800,
27,[0|1400|5000|2100|1500],999999,-1,40,8,8,28800,
28,[0|1400|5000|2100|1500],999999,-1,40,8,8,28800,
29,[0|1400|5000|2100|1500],999999,-1,40,8,8,28800,
30,[0|1400|5000|2100|1500],999999,-1,40,8,8,28800,
