id,can_refresh_condition,can_refresh_level,cost_energy,icon,is_boss,is_hide_name,itemId,level,main_bounty_accept,mainBountyConditionDic,name_desc,name_desc_parameter,parameter,pre_level,prestige_reward,quality,reward,special_type,task_desc,task_quality,time,type
1,,,5,icon_treeMan,-1,-1,200001,-1,"1|0,2|12",{1:0|2:12},UI_Bounty_009,[1],200001|31031,999,1,-1,29101,-1,bounty_task_desc_06,6,-1,1
2,,,5,icon_treeMan,-1,-1,200002,-1,"1|0,2|12",{1:0|2:12},UI_Bounty_009,[2],200002|31031,1,1,-1,29102,-1,bounty_task_desc_06,6,-1,1
3,,,5,icon_treeMan,-1,-1,200003,-1,"1|0,2|12",{1:0|2:12},UI_Bounty_009,[3],200003|31031,2,1,-1,29103,-1,bounty_task_desc_06,6,-1,1
4,,,5,icon_treeMan,-1,-1,200004,-1,"1|0,2|12",{1:0|2:12},UI_Bounty_009,[4],200004|31031,3,1,-1,29104,-1,bounty_task_desc_06,6,-1,1
5,,,5,icon_treeMan,-1,-1,200005,-1,"1|0,2|12",{1:0|2:12},UI_Bounty_009,[5],200005|31031,4,1,-1,29105,-1,bounty_task_desc_06,6,-1,1
6,,,5,icon_treeMan,-1,-1,200006,-1,"1|1,2|13",{1:1|2:13},UI_Bounty_009,[6],200006|31031,5,1,-1,29106,-1,bounty_task_desc_06,6,-1,1
7,,,5,icon_treeMan,-1,-1,200007,-1,"1|1,2|13",{1:1|2:13},UI_Bounty_009,[7],200007|31031,6,1,-1,29107,-1,bounty_task_desc_06,6,-1,1
8,,,5,icon_treeMan,-1,-1,200008,-1,"1|1,2|13",{1:1|2:13},UI_Bounty_009,[8],200008|31031,7,1,-1,29108,-1,bounty_task_desc_06,6,-1,1
9,,,5,icon_treeMan,-1,-1,200009,-1,"1|1,2|13",{1:1|2:13},UI_Bounty_009,[9],200009|31031,8,1,-1,29109,-1,bounty_task_desc_06,6,-1,1
10,,,5,icon_treeMan,-1,-1,200010,-1,"1|1,2|13",{1:1|2:13},UI_Bounty_009,[10],200010|31031,9,1,-1,29110,-1,bounty_task_desc_06,6,-1,1
11,,,5,icon_treeMan,-1,-1,200011,-1,"1|2,2|14",{1:2|2:14},UI_Bounty_009,[11],200011|31031,10,1,-1,29111,-1,bounty_task_desc_06,6,-1,1
12,,,5,icon_treeMan,-1,-1,200012,-1,"1|2,2|14",{1:2|2:14},UI_Bounty_009,[12],200012|31031,11,1,-1,29112,-1,bounty_task_desc_06,6,-1,1
13,,,5,icon_treeMan,-1,-1,200013,-1,"1|2,2|14",{1:2|2:14},UI_Bounty_009,[13],200013|31031,12,1,-1,29113,-1,bounty_task_desc_06,6,-1,1
14,,,5,icon_treeMan,-1,-1,200014,-1,"1|2,2|14",{1:2|2:14},UI_Bounty_009,[14],200014|31031,13,1,-1,29114,-1,bounty_task_desc_06,6,-1,1
15,,,5,icon_treeMan,-1,-1,200015,-1,"1|2,2|14",{1:2|2:14},UI_Bounty_009,[15],200015|31031,14,1,-1,29115,-1,bounty_task_desc_06,6,-1,1
16,,,5,icon_treeMan,-1,-1,200016,-1,"1|3,2|15",{1:3|2:15},UI_Bounty_009,[16],200016|31031,15,1,-1,29116,-1,bounty_task_desc_06,6,-1,1
17,,,5,icon_treeMan,-1,-1,200017,-1,"1|3,2|15",{1:3|2:15},UI_Bounty_009,[17],200017|31031,16,1,-1,29117,-1,bounty_task_desc_06,6,-1,1
18,,,5,icon_treeMan,-1,-1,200018,-1,"1|3,2|15",{1:3|2:15},UI_Bounty_009,[18],200018|31031,17,1,-1,29118,-1,bounty_task_desc_06,6,-1,1
19,,,5,icon_treeMan,-1,-1,200019,-1,"1|3,2|15",{1:3|2:15},UI_Bounty_009,[19],200019|31031,18,1,-1,29119,-1,bounty_task_desc_06,6,-1,1
20,,,5,icon_treeMan,-1,-1,200020,-1,"1|3,2|15",{1:3|2:15},UI_Bounty_009,[20],200020|31031,19,1,-1,29120,-1,bounty_task_desc_06,6,-1,1
21,,,5,icon_superboss,-1,-1,200021,-1,"1|4,2|16",{1:4|2:16},UI_Bounty_009,[21],200021|31011,20,1,-1,29121,-1,bounty_task_desc_06,6,-1,1
