id,bounty_lv,fun_desc,fun_icon,fun_icon_atlas,go_scene,guide_id,is_go,red_mark,scene,tb_path,type
1,1,,,,-1,-1,-1,-1,,Top/Function_Activity/Scroll View/Viewport/More/Activity_Event,2
2,1,,,,-1,-1,-1,-1,,Top/Function_Activity/Scroll View/Viewport/More/Activity_Deals,2
3,1,,,,-1,-1,-1,-1,,Top/Function_Activity/Scroll View/Viewport/More/Activity_TimeLimit,2
4,1,,,,-1,-1,-1,-1,,Top/Function_Activity/Scroll View/Viewport/More/Activity_FirstPay,2
5,1,,,,-1,-1,-1,-1,,Top/Function_Activity/Scroll View/Viewport/More/Activity_RecommendPay,2
6,1,,,,-1,-1,-1,-1,,Top/Function_Activity/Scroll View/Viewport/More/Activity_Festival,2
7,1,,,,-1,-1,-1,-1,,Top/Function_Activity/Scroll View/Viewport/More/Activity_Adjust,2
8,1,,,,-1,-1,-1,-1,,Top/Function_Activity/Scroll View/Viewport/More/bountyRally,2
9,1,,,,-1,-1,-1,-1,,Top/Function_Activity/Scroll View/Viewport/More/Activity_RateMe,2
10,1,,,,-1,-1,-1,-1,,Bot/Function_BotR/AllianceArea,2
11,1,,,,-1,-1,-1,-1,,Bot/Function_BotR/Activity_Mail,2
12,1,,,,-1,-1,-1,-1,,Bot/Function_BotR/Entra_Bag,2
13,1,,,,-1,-1,-1,-1,,Bot/Panel/TaskChapterArea,2
14,1,,,,-1,-1,-1,-1,,Bot/Function_BotL/worldTransportObj,3
15,4,,,,-1,-1,-1,1,,Bot/Function_BotL/searchObj,3
16,6,,,,-1,-1,-1,-1,,Bot/Function_BotL/miniMap,3
17,6,,,,-1,-1,-1,-1,,positionBtn,3
18,999,,,,-1,-1,-1,-1,,TaskSub,3
19,4,bounty_fun_des_19,jump_1,Atlas/UI_Function,2,11301,1,2,1|2,1,1
20,8,bounty_fun_des_20,icon_mining,Atlas/UI_Function,2,11302,1,2,1|2,2,1
21,6,bounty_fun_des_21,icon_guild_rally,Atlas/UI_SYS_Alliance_V2,2,11304,1,2,1|2,3,1
