id,act,actionType_1,actionType_2,actionType_3,actionType_4,actionTypeIndex,actParams_1,actParams_2,actParams_3,actParams_4,addConditions,avatar,cantDispel,damageNumType,desc,dispel_type,enhance_actParams_1,enhance_actParams_2,enhance_actParams_3,enhance_actParams_4,fx,fx_line,fx_news,icon,ignore_blackscreen,level_enhance,mat,maxLevel,name,overwrite,releaseProbability_enhance,ShowWord,special_hit_effect,type,TypeList,TypePos,updateTime,upgradeDataDic,viewValueList,viewValues
1,,30,54,-1,-1,{30:0|54:1},10000,6006|9999,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
2,,71,-1,-1,-1,{71:0},31|32|33|34,,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,3,0,-1,,[2],[2],{2:0},100,{1:BuffUpgradeData},[],
3,,5,31,11,-1,{5:0|31:1|11:2},31002|2|1000|1000|1|100,1|1|1,2,,,-1,-1,-1,,,,,,,,,,,-1,0,,20,,1,0,-1,,[2],[2],{2:0},1000,{1:BuffUpgradeData},[],
4,,5,31,11,-1,{5:0|31:1|11:2},31001|2|1000|1000|1|100,1|1|1,2,,,-1,-1,-1,,,,,,,,,,,-1,0,,20,,1,0,-1,,[2],[2],{2:0},1000,{1:BuffUpgradeData},[],
5,,5,31,11,-1,{5:0|31:1|11:2},31002|2|1000|1000|1|100,1|1|1,2,,,-1,-1,-1,,,,,,,,,,,-1,0,,20,,1,0,-1,,[2],[2],{2:0},1000,{1:BuffUpgradeData},[],
6,,5,31,11,-1,{5:0|31:1|11:2},31001|2|1000|1000|1|100,1|1|1,2,,,-1,-1,-1,,,,,,,,,,,-1,0,,20,,1,0,-1,,[2],[2],{2:0},1000,{1:BuffUpgradeData},[],
100,,3,-1,-1,-1,{3:0},,,,,,-1,-1,-1,,,,,,,,,,,-1,0,Material/fx_Spine_Mabi,-1,,-1,0,-1,,[1|3],[1|3],{1:0|3:1},-1,{1:BuffUpgradeData},[],
102,,3,30,27,-1,{3:0|30:1|27:2},,-10000,0,,,-1,-1,-1,,,,,,,Effect/Battle/CommonEffect/Fx_IceFrozen_01,,[100002],,-1,0,,-1,,-1,0,-1,,[1|7],[1|7],{1:0|7:1},-1,{1:BuffUpgradeData},[],
103,,1,-1,-1,-1,{1:0},1|3|-2000,,,,,-1,-1,-1,,,,,,,Effect/Battle/CommonEffect/Fx_ZhouShang_01,,[100003],,-1,0,,5,,1,0,-1,,[1|301|203],[1|301|203],{1:0|301:1|203:2},-1,{1:BuffUpgradeData},[],
104,,20,-1,-1,-1,{20:0},1|3|204,,,,,-1,-1,-1,,,,,,,,,,3001,-1,0,,3,,1,0,-1,,[1|104],[1|104],{1:0|104:1},-1,{1:BuffUpgradeData},[],
204,,20,7,-1,-1,{20:0|7:1},2|0|100,104|0,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,1,,[1|204],[1|204],{1:0|204:1},600,{1:BuffUpgradeData},[],
304,,7,-1,-1,-1,{7:0},204|0,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
201,,-1,-1,-1,-1,{},,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,1,elc_hit,[1|201],[1|201],{1:0|201:1},-1,{1:BuffUpgradeData},[],
301,,4,3,23,-1,{4:0|3:1|23:2},1|400|250|1,,0|201|0|350|2|0|0|0,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,3,0,-1,,[2|201],[2|201],{2:0|201:1},500,{1:BuffUpgradeData},[],
401,,24,-1,-1,-1,{24:0},,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2|201],[2|201],{2:0|201:1},-1,{1:BuffUpgradeData},[],
501,,3,27,-1,-1,{3:0|27:1},,0,,,,-1,-1,-1,,[1],,,,,,,[100002],,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
502,,52,19,-1,-1,{52:0|19:1},300,0|1|2,,,,-1,-1,-1,,,,,,,,,[301],,-1,0,,-1,,-1,0,-1,,[1|12],[1|12],{1:0|12:1},-1,{1:BuffUpgradeData},[],
503,,48,-1,-1,-1,{48:0},"5|-300,6|-10000",,,,,-1,-1,-1,,,,,,,,,[100011],,-1,0,,-1,,-1,0,-1,,[1|301],[1|301],{1:0|301:1},-1,{1:BuffUpgradeData},[],
10104,,30,-1,-1,-1,{30:0},2500,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[0|30],[0|30],{0:0|30:1},-1,{1:BuffUpgradeData},[],
10204,,48,-1,-1,-1,{48:0},103|1000,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,6,,1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
10304,,48,-1,-1,-1,{48:0},8|1500,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
10114,,30,-1,-1,-1,{30:0},3500,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[0|30],[0|30],{0:0|30:1},-1,{1:BuffUpgradeData},[],
10214,,48,-1,-1,-1,{48:0},103|2000,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,6,,1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
10314,,48,-1,-1,-1,{48:0},8|2500,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
10414,,9,-1,-1,-1,{9:0},1|1|4|1500|5000,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[0|4],[0|4],{0:0|4:1},-1,{1:BuffUpgradeData},[],
10513,,48,-1,-1,-1,{48:0},103|1500,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
10514,,48,-1,-1,-1,{48:0},34|-4400,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[1|301],[1|301],{1:0|301:1},-1,{1:BuffUpgradeData},[],
10614,,28,-1,-1,-1,{28:0},6000|1000|1000|1000|5000|-1|0|8000|1,,,,,-1,1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[0|4],[0|4],{0:0|4:1},500,{1:BuffUpgradeData},[],
10701,,48,-1,-1,-1,{48:0},18|1000,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
10801,,48,-1,-1,-1,{48:0},19|1000,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
30001,,48,-1,-1,-1,{48:0},5|-100,,,,,-1,-1,-1,,,,,,,,,[100011],,-1,0,,-1,,-1,0,-1,,[1|301],[1|301],{1:0|301:1},-1,{1:BuffUpgradeData},[],
30002,,48,16,-1,-1,{48:0|16:1},"6|3000,15|1500",3000,,,,-1,-1,-1,,,,,,,Effect/Battle/Magus_Skill2_Buff,,[1002811],,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
30003,,9,-1,-1,-1,{9:0},1|1|3|20000|5000,,,,,-1,-1,-1,,,,,,,Effect/Battle/SecretKeeper_Skill0,,[1001801],,-1,0,,-1,,-1,0,-1,,[0|4],[0|4],{0:0|4:1},-1,{1:BuffUpgradeData},[],
30004,,1,-1,-1,-1,{1:0},1|3|-3000,,,,,-1,-1,-1,,,,,,,Effect/Battle/CommonEffect/Fx_ZhouShang_01,,[100003],,-1,0,,5,,1,0,-1,,[1|201|301],[1|201|301],{1:0|201:1|301:2},1000,{1:BuffUpgradeData},[],
30005,,3,27,-1,-1,{3:0|27:1},,0,,,,-1,-1,-1,,,,,,,,,[100002],,-1,0,,-1,,-1,0,-1,,[1|7],[1|7],{1:0|7:1},-1,{1:BuffUpgradeData},[],
30006,,3,27,-1,-1,{3:0|27:1},,0,,,,-1,-1,-1,,,,,,,,,[100002],,-1,0,,-1,,-1,0,-1,,[1|7],[1|7],{1:0|7:1},-1,{1:BuffUpgradeData},[],
30010,,48,-1,-1,-1,{48:0},5|100,,,,,-1,-1,-1,,,,,,,,,[100009],,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
30012,,1,-1,-1,-1,{1:0},1|3|-3000,,,,,-1,-1,-1,,,,,,,Effect/Battle/CommonEffect/Fx_ZhouShang_01,,[100003],,-1,0,,5,,1,0,-1,,[1|201|301],[1|201|301],{1:0|201:1|301:2},1000,{1:BuffUpgradeData},[],
30007,repel,3,4,-1,-1,{3:0|4:1},,2|1000|200,,,,-1,-1,-1,,,,,,,,,,,1,0,,-1,,-1,0,-1,,[1|8],[1|8],{1:0|8:1},-1,{1:BuffUpgradeData},[],
30013,,30,-1,-1,-1,{30:0},-1000,,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[1|301],[1|301],{1:0|301:1},-1,{1:BuffUpgradeData},[],
30014,,30,-1,-1,-1,{30:0},-1500,,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[1|301],[1|301],{1:0|301:1},-1,{1:BuffUpgradeData},[],
40001,,48,-1,-1,-1,{48:0},71|5000,,,,,-1,1,-1,,,,,,,,,[100009],,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
3000601,,48,-1,-1,-1,{48:0},13|4000,,,,,-1,1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
3000602,,6,7,-1,-1,{6:0|7:1},0|10023|-12000,10023|0,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
3000603,,15,-1,-1,-1,{15:0},1|0|0|71|0|1500|1500|0,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
3001101,stun,3,-1,-1,-1,{3:0},,,,,,-1,-1,-1,,,,,,,Effect/Battle/CommonEffect/Fx_XuanYun_Buff,,[100001],,-1,0,,-1,,-1,0,-1,,[1|3],[1|3],{1:0|3:1},-1,{1:BuffUpgradeData},[],
3001201,,30,-1,-1,-1,{30:0},-300,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,5,,1,0,-1,,[1],[1],{1:0},-1,{1:BuffUpgradeData},[],
3001301,,10,-1,-1,-1,{10:0},3|7|8|9|12|15|16|17|18|204,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
3001302,,10,14,30,-1,{10:0|14:1|30:2},3|7|8|9|12|15|16|17|18|204,30013132|1,2500,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
3001303,,10,14,30,-1,{10:0|14:1|30:2},3|7|8|9|12|15|16|17|18|204,30013132|1,2500,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
3001304,,10,14,30,-1,{10:0|14:1|30:2},3|7|8|9|12|15|16|17|18|204,"30013132|1,30013201|1",2500,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
