id,iconAtlas,iconBigAtlas,broadcast,buff_type,desc,effect_condition,effect_name,effect_pos,effect_scale,icon,icon_atlas,icon_big,icon_big_atlas,isShow,maxNum,name,overwrite,property_type,property_value,time_para,time_type
40001,Atlas/UI_Common,Atlas/UI_Professional,-1,3,buff_global_desc_40001,,,,-1,icon_FarmerSkill_buff,,icon_ProfessionalCompetition_9,Atlas/UI_Professional,true,1,buff_name_desc_40001,1,[1117|1118|19|1022],[1000|1000|1000|3000],1800,-1
40002,Atlas/UI_Common,Atlas/UI_Professional,-1,3,buff_global_desc_40002,,,,-1,icon_FarmerSkill_buff001,,icon_ProfessionalCompetition_11,Atlas/UI_Professional,true,1,buff_name_desc_40002,1,[18],[500],-1,-1
40003,Atlas/UI_Common,Atlas/UI_Professional,-1,3,buff_global_desc_40003,,,,-1,icon_FarmerSkill_buff002,,icon_ProfessionalCompetition_12,Atlas/UI_Professional,true,1,buff_name_desc_40003,1,[19],[500],-1,-1
1,Atlas/UI_Common,Atlas/UI_Item,-1,1,,,,,-1,,,icon_30056,Atlas/UI_Item,true,1,,1,,,14400,-1
2,Atlas/UI_Common,Atlas/UI_Item,-1,1,,,,,-1,,,icon_30056,Atlas/UI_Item,true,1,,1,,,28800,-1
3,Atlas/UI_Common,Atlas/UI_Item,-1,1,,,,,-1,,,icon_30056,Atlas/UI_Item,true,1,,1,,,86400,-1
4,Atlas/UI_Common,Atlas/UI_Item,-1,2,buff_global_desc_4,,,,-1,worldmap_hudun,,icon_70009,Atlas/UI_Item,true,1,,1,,,600,-1
5,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1042],[1],,-1
6,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1045],[200],,-1
7,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1034],[3000],,-1
8,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1042],[1],,-1
11,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_21,,,,-1,worldmap_buff_1002,,icon_70004,Atlas/UI_Item,true,1,goods_name_11270001,1,[1034],[3000],86400,-1
12,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_25,,,,-1,worldmap_buff_1005,,icon_70006,Atlas/UI_Item,true,1,goods_name_11270001,1,[1016],[3000],86400,-1
13,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_23,,,,-1,worldmap_buff_1004,,icon_70002,Atlas/UI_Item,true,1,goods_name_11270001,1,[1002|1001],[3000|3000],86400,-1
14,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_22,,,,-1,worldmap_buff_1003,,icon_70005,Atlas/UI_Item,true,1,goods_name_11270001,1,[1033],[3000],86400,-1
17,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_27,,,,-1,worldmap_buff_1002,,icon_70004,Atlas/UI_Item,true,1,goods_name_11270001,1,[1016|1034|1033],[1000|1000|1000],86400,-1
21,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_21,,,,-1,worldmap_buff_1002,,icon_70004,Atlas/UI_Item,true,1,goods_name_11270001,1,[1034],[3000],86400,-1
22,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_22,,,,-1,worldmap_buff_1003,,icon_70005,Atlas/UI_Item,true,1,goods_name_11270001,1,[1033],[3000],86400,-1
23,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_23,,,,-1,worldmap_buff_1004,,icon_70002,Atlas/UI_Item,true,1,goods_name_11270001,1,[1002|1001],[3000|3000],86400,-1
24,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_24,,,,-1,worldmap_buff_1004,,icon_70002,Atlas/UI_Item,true,1,goods_name_11270001,1,,,86400,-1
25,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_25,,,,-1,worldmap_buff_1005,,icon_70006,Atlas/UI_Item,true,1,goods_name_11270001,1,[1016],[3000],86400,-1
26,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_26,,,,-1,worldmap_buff_1004,,icon_70002,Atlas/UI_Item,true,1,goods_name_11270001,1,[1002|1001],[20000|3000],86400,-1
27,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_27,,,,-1,worldmap_buff_1002,,icon_70004,Atlas/UI_Item,true,1,goods_name_11270001,1,[1016|1034|1033],[1000|1000|1000],86400,-1
100,Atlas/UI_Common,Atlas/UI_Item,-1,4,buff_global_desc_100,,,,-1,worldmap_buff_100,,icon_70010,Atlas/UI_Item,true,1,,1,,,1800,-1
101,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_101,,,,-1,worldmap_buff_101,,icon_70011,Atlas/UI_Item,true,40,,2,[1073],[-200],600,-1
