id,isNormalAtk,adjustAttr,AdjustAttrs,adjustExtraBullet,AdjustExtraBulletParameters,adjustFinalEffect,AdjustParameters,adjustType,adjustTypearameter,atker_buffs,atkerBuffsList,before_buffs,buffList,buffs,bullet_replace,bullet_reply,bulletTraceID,damageNumType,decFilter,decLimit,decOnCreation,decParamList,decParams,decSide,decTime,decTragetLimit,decType,delayTime,dmg_atk_type,dmg_enhance,dmgFilter,effectAudio,effectFX,effectFX_new,effectFXTime,effetFXBindPos,gatherDmg,haveAdjustFinalEffect,heal_enhance,hpPercentDmg,hpPercentDmg_enhance,hpPercentHeal,hpPercentHeal_enhance,IsFollowtarget,judgeFX,judgeFX_time,launch_offset,LaunchOffset,lifeTime,mark,markDic,offsetAngle,phone_shake,rounds,size_change,skillDamageType,special_bullet,specialBullet,speed,TargetFilteringParams,TargetFilteringRules,update_at_once,upgradeDataDic
11,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[1],[1],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,[10000|0|4|10000|1],,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
12,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[2],[2],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
13,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[3],[3],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
14,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[4],[4],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
15,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[5],[5],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
16,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[6],[6],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
31,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,60246401,-1,-1,0,-1,[100],[100],-1,0,-1,2,0,-1,0,1,attack,,[101],-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3000,[1],{1:0},0,-1,-1,,1,,[],600,[],,-1,
32,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,60246401,-1,-1,0,-1,[200],[200],-1,0,-1,2,0,-1,0,1,attack,,[101],-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3000,[1],{1:0},0,-1,-1,,1,,[],600,[],,-1,
33,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,60246401,-1,-1,0,-1,[100],[100],-1,0,-1,2,0,-1,0,1,attack,,[101],-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3000,[1],{1:0},0,-1,-1,,1,,[],600,[],,-1,
34,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,60246401,-1,-1,0,-1,[100],[100],-1,0,-1,2,0,-1,0,1,attack,,[101],-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3000,[1],{1:0},0,-1,-1,,1,,[],600,[],,-1,
