id,bulletAfterimageTime,bulletFaceRule,bulletType,curveID,curveName,curveType,followBulletPos,fx,scale,skin_FX
101,-1,-1,-1,-1,,-1,-1,,-1,
30001,-1,-1,-1,-1,,-1,0,Effect/Battle/Archer_SF_Skill_2,-1,
30004,-1,-1,-1,-1,,-1,0,Effect/Battle/Fx_FireMage_Skill2_01,75,
30011,-1,-1,-1,-1,,-1,0,Effect/Battle/AstrologyScholar_Skill0,75,
30012,-1,-1,-1,-1,,-1,0,Effect/Battle/Fx_FireMage_Skill2_01_jt,120,
40011,-1,-1,-1,-1,,-1,0,Effect/Battle/Vx_fazhen01blue_JY,-1,
40012,-1,-1,-1,-1,,-1,0,Effect/Battle/Vx_fazhen02blue_JY,-1,
40013,-1,-1,-1,-1,,-1,0,Effect/Battle/Vx_fazhen03blue_JY,-1,
40021,-1,-1,-1,-1,,-1,0,Effect/Battle/Vx_fazhen01red_JY,-1,
40022,-1,-1,-1,-1,,-1,0,Effect/Battle/Vx_fazhen02red_JY,-1,
40023,-1,-1,-1,-1,,-1,0,Effect/Battle/Vx_fazhen03red_JY,-1,
40031,-1,-1,-1,-1,,-1,0,Effect/Battle/Vx_fazhen01green_JY,-1,
40032,-1,-1,-1,-1,,-1,0,Effect/Battle/Vx_fazhen02green_JY,-1,
40033,-1,-1,-1,-1,,-1,0,Effect/Battle/Vx_fazhen03green_JY,-1,
100201,-1,-1,-1,5,Archer,-1,0,Effect/Battle/Archer_Attack_Fly,-1,
100301,-1,-1,-1,-1,,-1,0,Effect/Battle/SecretKeeper_Skill1_1,-1,
2000004,-1,-1,-1,-1,,-1,0,Effect/Battle/Boss/Fx_ssyz,-1,
10001101,-1,-1,-1,-1,,-1,0,Effect/Battle/Humam_SF_Skill_2_Fly,-1,
10002001,-1,-1,-1,5,Archer,-1,0,Effect/Battle/Archer_Attack_Fly,-1,
10002101,-1,-1,-1,-1,,-1,0,Effect/Battle/Archer_Skill01_Fly,-1,
10002201,-1,-1,-1,-1,,-1,0,Effect/Battle/Archer_SF_Skill_2,-1,
10003001,-1,-1,-1,6,Trade,-1,0,Effect/Battle/Healing_Attack_Fly,-1,
10004201,-1,-1,-1,-1,,-1,0,Effect/Battle/Knight_Skill2_Dilie,-1,
10005001,-1,-1,-1,-1,,-1,0,Effect/Battle/Dance_Attack_Fly,-1,
10006001,-1,-1,-1,-1,,-1,0,Effect/Battle/ice_mage_Attack_Fly,-1,
10006101,-1,-1,-1,-1,,-1,0,Effect/Battle/ice_mage_Skill_Fly,-1,
10006201,-1,-1,-1,-1,,-1,0,Effect/Battle/ice_mage_SF_Skill_2,-1,
10007002,-1,-1,-1,6,Trade,-1,0,Effect/Battle/Trade_Fly_Attack,-1,
10007203,-1,-1,-1,-1,,-1,0,Effect/Battle/Trade_Skill02,-1,
10007101,-1,-1,-1,6,Trade,-1,0,Effect/Battle/Trade_Fly_Poison,-1,
