id,bindType,bind,crit,CritLayer,hasCrit,layer,lifetime,Max_Overlay,needPlayer,normal,offset,offsetArr,offsetArrSLG,Overlay_offset,overlayOffsetArr,player,sign,slg_crit,slg_normal,slg_offset,type
0,AvatarHead,2,UI/Combat/Critic,2,true,0,600,6,true,UI/Combat/Damage,"0|0,20|20",[[0|0]|[20|20]],[[0|0]|[50|50]],"0|0,30|30",[[0|0]|[30|30]],UI/Combat/Damage_red,1,UI/Combat/SLG_Critic,UI/Combat/SLG_Damage,"0|0,50|50",3
1,AvatarHead,2,,-1,false,0,600,6,false,UI/Combat/Shock,"0|0,20|20",[[0|0]|[20|20]],[[0|0]|[50|50]],"0|0,30|30",[[0|0]|[30|30]],,1,,,"0|0,50|50",1
2,AvatarHead,2,UI/Combat/Critic_skill,2,true,1,600,6,false,UI/Combat/Damage_maoxian,"0|0,20|20",[[0|0]|[20|20]],[[0|0]|[60|60]],"0|0,30|30",[[0|0]|[30|30]],,1,UI/Combat/SlG_Critic_skill,UI/Combat/SLG_EffectDamageUI3,"0|0,60|60",3
3,AvatarHead,2,UI/Combat/Critic_skill,2,true,1,600,6,false,UI/Combat/Damage_maoxian,"0|0,20|20",[[0|0]|[20|20]],[[0|0]|[60|60]],"0|0,30|30",[[0|0]|[30|30]],,1,UI/Combat/SlG_Critic_skill,UI/Combat/SLG_EffectDamageUI3,"0|0,60|60",3
4,AvatarHead,2,UI/Combat/Critic_skill,2,true,1,600,6,false,UI/Combat/Damage_maoxian,"0|0,20|20",[[0|0]|[20|20]],[[0|0]|[60|60]],"0|0,30|30",[[0|0]|[30|30]],,1,UI/Combat/SlG_Critic_skill,UI/Combat/SLG_EffectDamageUI3,"0|0,60|60",3
5,AvatarHead,2,UI/Combat/Critic_skill,2,true,1,600,6,false,UI/Combat/EffectDamageUI5,"0|0,20|20",[[0|0]|[20|20]],[[0|0]|[60|60]],"0|0,30|30",[[0|0]|[30|30]],,1,UI/Combat/SlG_Critic_skill,UI/Combat/SLG_EffectDamageUI3,"0|0,60|60",3
6,AvatarHead,2,UI/Combat/Critic_skill,2,true,1,600,6,false,UI/Combat/EffectDamageUI6,"0|0,20|20",[[0|0]|[20|20]],[[0|0]|[60|60]],"0|0,30|30",[[0|0]|[30|30]],,1,UI/Combat/SlG_Critic_skill,UI/Combat/SLG_EffectDamageUI3,"0|0,60|60",3
101,AvatarChest,1,,-1,false,1,600,3,false,UI/Combat/Healing,"0|0,0|0",[[0|0]|[0|0]],[[0|0]|[0|0]],"0|0,10|10",[[0|0]|[10|10]],,1,,UI/Combat/SLG_Healing,"0|0,0|0",3
102,AvatarChest,1,,-1,false,0,600,3,false,UI/Combat/Damage_Miss,"0|0,20|20",[[0|0]|[20|20]],[[0|0]|[50|50]],"0|0,10|10",[[0|0]|[10|10]],,-1,,,"0|0,50|50",2
103,AvatarHead,2,,-1,false,0,600,6,false,UI/Combat/SkillCast,"0|0,20|20",[[0|0]|[20|20]],[[0|0]|[50|50]],"0|0,30|30",[[0|0]|[30|30]],,-1,,,"0|0,50|50",1
104,AvatarChest,1,,-1,false,1,600,3,false,UI/Combat/Shield,"0|0,0|0",[[0|0]|[0|0]],[[0|0]|[0|0]],"0|0,10|10",[[0|0]|[10|10]],,1,,,"0|0,0|0",3
201,AvatarHead,2,,-1,false,0,600,6,false,UI/Combat/Effect_Shock,"0|0,20|20",[[0|0]|[20|20]],[[0|0]|[50|50]],"0|0,30|30",[[0|0]|[30|30]],,-1,,,"0|0,50|50",1
301,AvatarHead,2,,-1,false,1,600,8,false,Avatar/DropItem/DropResource_get,"0|0,40|40",[[0|0]|[40|40]],[[0|0]|[0|0]],"0|0,40|40",[[0|0]|[40|40]],,1,,,"0|0,0|0",1
401,AvatarHead,2,,2,false,0,600,6,false,UI/Combat/Damage_401,"0|0,20|20",[[0|0]|[20|20]],[[0|0]|[50|50]],"0|0,30|30",[[0|0]|[30|30]],,1,,,"0|0,50|50",3
