id,activity_group,Atlas,hero_id,icon,location,name_key,raid_id,show_best,showBest,stage_id
101,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,1,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10001
102,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,2,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10002
103,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,3,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10003
104,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,4,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10004
105,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,5,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10005
106,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,6,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10006
107,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,7,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10007
108,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,8,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10008
109,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,9,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10009
110,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,10,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10010
111,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,11,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10011
112,190,Atlas/UI_Hero_Head,10023,Head_10007,5,new_card_raid_name_1,12,[10017|10020|10022|10028|10023|10034],[10017|10020|10022|10028|10023|10034],10012
