id,quality,reward_resource
101,1,1310000
102,1,1310000
103,1,1310000
104,1,1310000
105,1,1310000
201,2,1310100
202,2,1310100
203,2,1310100
204,2,1310100
205,2,1310100
301,3,1310200
302,3,1310200
303,3,1310200
304,3,1310200
305,3,1310200
401,4,1310300
402,4,1310300
403,4,1310300
404,4,1310300
405,4,1310300
501,5,1310400
502,5,1310400
503,5,1310400
504,5,1310400
505,5,1310400
601,6,1310500
602,6,1310500
603,6,1310500
604,6,1310500
605,6,1310500
1001,1,-1
1002,2,-1
1003,3,-1
1004,4,-1
1005,5,-1
1006,6,-1
1101,1,1310000
1102,1,1310000
1103,1,1310000
1104,1,1310000
1105,1,1310000
1201,2,1310100
1202,2,1310100
1203,2,1310100
1204,2,1310100
1205,2,1310100
1301,3,1310200
1302,3,1310200
1303,3,1310200
1304,3,1310200
1305,3,1310200
1401,4,1310300
1402,4,1310300
1403,4,1310300
1404,4,1310300
1405,4,1310300
1501,5,1310400
1502,5,1310400
1503,5,1310400
1504,5,1310400
1505,5,1310400
1601,6,1310500
1602,6,1310500
1603,6,1310500
1604,6,1310500
1605,6,1310500
2101,1,1310000
2102,1,1310000
2103,1,1310000
2104,1,1310000
2105,1,1310000
2201,2,1310100
2202,2,1310100
2203,2,1310100
2204,2,1310100
2205,2,1310100
2301,3,1310200
2302,3,1310200
2303,3,1310200
2304,3,1310200
2305,3,1310200
2401,4,1310300
2402,4,1310300
2403,4,1310300
2404,4,1310300
2405,4,1310300
2501,5,1310400
2502,5,1310400
2503,5,1310400
2504,5,1310400
2505,5,1310400
2601,6,1310500
2602,6,1310500
2603,6,1310500
2604,6,1310500
2605,6,1310500
3101,1,1310000
3102,1,1310000
3103,1,1310000
3104,1,1310000
3105,1,1310000
3201,2,1310100
3202,2,1310100
3203,2,1310100
3204,2,1310100
3205,2,1310100
3301,3,1310200
3302,3,1310200
3303,3,1310200
3304,3,1310200
3305,3,1310200
3401,4,1310300
3402,4,1310300
3403,4,1310300
3404,4,1310300
3405,4,1310300
3501,5,1310400
3502,5,1310400
3503,5,1310400
3504,5,1310400
3505,5,1310400
3601,6,1310500
3602,6,1310500
3603,6,1310500
3604,6,1310500
3605,6,1310500
4101,1,1310000
4102,1,1310000
4103,1,1310000
4104,1,1310000
4105,1,1310000
4201,2,1310100
4202,2,1310100
4203,2,1310100
4204,2,1310100
4205,2,1310100
4301,3,1310200
4302,3,1310200
4303,3,1310200
4304,3,1310200
4305,3,1310200
4401,4,1310300
4402,4,1310300
4403,4,1310300
4404,4,1310300
4405,4,1310300
4501,5,1310400
4502,5,1310400
4503,5,1310400
4504,5,1310400
4505,5,1310400
4601,6,1310500
4602,6,1310500
4603,6,1310500
4604,6,1310500
4605,6,1310500
5101,1,1310000
5102,1,1310000
5103,1,1310000
5104,1,1310000
5105,1,1310000
5201,2,1310100
5202,2,1310100
5203,2,1310100
5204,2,1310100
5205,2,1310100
5301,3,1310200
5302,3,1310200
5303,3,1310200
5304,3,1310200
5305,3,1310200
5401,4,1310300
5402,4,1310300
5403,4,1310300
5404,4,1310300
5405,4,1310300
5501,5,1310400
5502,5,1310400
5503,5,1310400
5504,5,1310400
5505,5,1310400
5601,6,1310500
5602,6,1310500
5603,6,1310500
5604,6,1310500
5605,6,1310500
6101,1,1310000
6102,1,1310000
6103,1,1310000
6104,1,1310000
6105,1,1310000
6201,2,1310100
6202,2,1310100
6203,2,1310100
6204,2,1310100
6205,2,1310100
6301,3,1310200
6302,3,1310200
6303,3,1310200
6304,3,1310200
6305,3,1310200
6401,4,1310300
6402,4,1310300
6403,4,1310300
6404,4,1310300
6405,4,1310300
6501,5,1310400
6502,5,1310400
6503,5,1310400
6504,5,1310400
6505,5,1310400
6601,6,1310500
6602,6,1310500
6603,6,1310500
6604,6,1310500
6605,6,1310500
7101,1,1310000
7102,1,1310000
7103,1,1310000
7104,1,1310000
7105,1,1310000
7201,2,1310100
7202,2,1310100
7203,2,1310100
7204,2,1310100
7205,2,1310100
7301,3,1310200
7302,3,1310200
7303,3,1310200
7304,3,1310200
7305,3,1310200
7401,4,1310300
7402,4,1310300
7403,4,1310300
7404,4,1310300
7405,4,1310300
7501,5,1310400
7502,5,1310400
7503,5,1310400
7504,5,1310400
7505,5,1310400
7601,6,1310500
7602,6,1310500
7603,6,1310500
7604,6,1310500
7605,6,1310500
8101,1,1310000
8102,1,1310000
8103,1,1310000
8104,1,1310000
8105,1,1310000
8201,2,1310100
8202,2,1310100
8203,2,1310100
8204,2,1310100
8205,2,1310100
8301,3,1310200
8302,3,1310200
8303,3,1310200
8304,3,1310200
8305,3,1310200
8401,4,1310300
8402,4,1310300
8403,4,1310300
8404,4,1310300
8405,4,1310300
8501,5,1310400
8502,5,1310400
8503,5,1310400
8504,5,1310400
8505,5,1310400
8601,6,1310500
8602,6,1310500
8603,6,1310500
8604,6,1310500
8605,6,1310500
100101,1,1310000
100102,1,1310000
100103,1,1310000
100104,1,1310000
100105,1,1310000
100201,2,1310100
100202,2,1310100
100203,2,1310100
100204,2,1310100
100205,2,1310100
100301,3,1310200
100302,3,1310200
100303,3,1310200
100304,3,1310200
100305,3,1310200
100401,4,1310300
100402,4,1310300
100403,4,1310300
100404,4,1310300
100405,4,1310300
100501,5,1310400
100502,5,1310400
100503,5,1310400
100504,5,1310400
100505,5,1310400
100601,6,1310500
100602,6,1310500
100603,6,1310500
100604,6,1310500
100605,6,1310500
