id,banner,carriage_plunder_resource,high_value_tips,icon,is_active,model,model_alliance,pillage_time,recovery_probability,resource_up_proportion,scale,team_num,time,time_down_proportion
1,,2500|2500,3,caravan_1001,0,Avatar/Army/Army_car_N,Avatar/Army/Army_box_N,2,0,0,75,0,12600,0
2,,2500|2500,3,caravan_1002,0,Avatar/Army/Army_car_R,Avatar/Army/Army_box_R,2,0,0,75,0,15120,0
3,,2500|2500,3,caravan_1003,0,Avatar/Army/Army_car_SR,Avatar/Army/Army_box_SR,2,0,0,75,0,16200,0
4,,2500|2500,6,caravan_1004,0,Avatar/Army/Army_car_SSR,Avatar/Army/Army_box_SSR,2,0,0,75,0,14040,0
5,,2500|2500,3,caravan_1005,0,Avatar/Army/Army_car_UR,Avatar/Army/Army_box_UR,2,0,0,120,0,14760,0
6,,1500|1500|1500,4,caravan_1007,1,Avatar/Army/Army_car_AR,Avatar/Army/Army_box_AR,3,2500,1000,120,4,21600,1000
11,,2500|2500,6,caravan_1008,0,Avatar/Army/Army_car_N_s1,Avatar/Army/Army_box_N,2,0,0,75,0,12600,0
12,,2500|2500,6,caravan_1009,0,Avatar/Army/Army_car_R_s1,Avatar/Army/Army_box_R,2,0,0,75,0,15120,0
13,,2500|2500,6,caravan_1010,0,Avatar/Army/Army_car_SR_s1,Avatar/Army/Army_box_SR,2,0,0,75,0,16200,0
14,,2500|2500,6,caravan_1011,0,Avatar/Army/Army_car_SSR_s1,Avatar/Army/Army_box_SSR,2,0,0,75,0,14040,0
15,,2500|2500,3,caravan_1012,0,Avatar/Army/Army_car_UR_s1,Avatar/Army/Army_box_UR,2,0,0,120,0,14760,0
16,,1500|1500|1500,4,caravan_1013,1,Avatar/Army/Army_car_AR_s1,Avatar/Army/Army_box_AR,3,2500,1000,120,4,21600,1000
21,,2500|2500,6,caravan_1014,0,Seasons/S2/Avatar/Army/Army_car_N_s2,Avatar/Army/Army_box_N,2,0,0,75,0,12600,0
22,,2500|2500,6,caravan_1015,0,Seasons/S2/Avatar/Army/Army_car_R_s2,Avatar/Army/Army_box_R,2,0,0,75,0,15120,0
23,,2500|2500,6,caravan_1016,0,Seasons/S2/Avatar/Army/Army_car_SR_s2,Avatar/Army/Army_box_SR,2,0,0,75,0,16200,0
24,,2500|2500,6,caravan_1017,0,Seasons/S2/Avatar/Army/Army_car_SSR_s2,Avatar/Army/Army_box_SSR,2,0,0,75,0,14040,0
25,,2500|2500,3,caravan_1018,0,Seasons/S2/Avatar/Army/Army_car_UR_s2,Avatar/Army/Army_box_UR,2,0,0,120,0,14760,0
26,,1500|1500|1500,4,caravan_1019,1,Seasons/S2/Avatar/Army/Army_car_AR_s2,Avatar/Army/Army_box_AR,3,2500,1000,120,4,21600,1000
31,,2500|2500,6,caravan_1020,0,Seasons/S3/Avatar/Army/Army_car_N_s3,Avatar/Army/Army_box_N,2,0,0,75,0,12600,0
32,,2500|2500,6,caravan_1021,0,Seasons/S3/Avatar/Army/Army_car_R_s3,Avatar/Army/Army_box_R,2,0,0,75,0,15120,0
33,,2500|2500,6,caravan_1022,0,Seasons/S3/Avatar/Army/Army_car_SR_s3,Avatar/Army/Army_box_SR,2,0,0,75,0,16200,0
34,,2500|2500,6,caravan_1023,0,Seasons/S3/Avatar/Army/Army_car_SSR_s3,Avatar/Army/Army_box_SSR,2,0,0,75,0,14040,0
35,,2500|2500,3,caravan_1024,0,Seasons/S3/Avatar/Army/Army_car_UR_s3,Avatar/Army/Army_box_UR,2,0,0,120,0,14760,0
36,,1500|1500|1500,4,caravan_1025,1,Seasons/S3/Avatar/Army/Army_car_AR_s3,Avatar/Army/Army_box_AR,3,2500,1000,120,4,21600,1000
41,,2500|2500,6,caravan_1008,0,Avatar/Army/Army_car_N_s1,Avatar/Army/Army_box_N,2,0,0,75,0,12600,0
42,,2500|2500,6,caravan_1009,0,Avatar/Army/Army_car_R_s1,Avatar/Army/Army_box_R,2,0,0,75,0,15120,0
43,,2500|2500,6,caravan_1010,0,Avatar/Army/Army_car_SR_s1,Avatar/Army/Army_box_SR,2,0,0,75,0,16200,0
44,,2500|2500,6,caravan_1011,0,Avatar/Army/Army_car_SSR_s1,Avatar/Army/Army_box_SSR,2,0,0,75,0,14040,0
45,,2500|2500,3,caravan_1012,0,Avatar/Army/Army_car_UR_s1,Avatar/Army/Army_box_UR,2,0,0,120,0,14760,0
46,,1500|1500|1500,4,caravan_1013,1,Avatar/Army/Army_car_AR_s1,Avatar/Army/Army_box_AR,3,2500,1000,120,4,21600,1000
51,,2500|2500,6,caravan_1014,0,Seasons/S2/Avatar/Army/Army_car_N_s2,Avatar/Army/Army_box_N,2,0,0,75,0,12600,0
52,,2500|2500,6,caravan_1015,0,Seasons/S2/Avatar/Army/Army_car_R_s2,Avatar/Army/Army_box_R,2,0,0,75,0,15120,0
53,,2500|2500,6,caravan_1016,0,Seasons/S2/Avatar/Army/Army_car_SR_s2,Avatar/Army/Army_box_SR,2,0,0,75,0,16200,0
54,,2500|2500,6,caravan_1017,0,Seasons/S2/Avatar/Army/Army_car_SSR_s2,Avatar/Army/Army_box_SSR,2,0,0,75,0,14040,0
55,,2500|2500,3,caravan_1018,0,Seasons/S2/Avatar/Army/Army_car_UR_s2,Avatar/Army/Army_box_UR,2,0,0,120,0,14760,0
56,,1500|1500|1500,4,caravan_1019,1,Seasons/S2/Avatar/Army/Army_car_AR_s2,Avatar/Army/Army_box_AR,3,2500,1000,120,4,21600,1000
61,,2500|2500,6,caravan_1020,0,Seasons/S3/Avatar/Army/Army_car_N_s3,Avatar/Army/Army_box_N,2,0,0,75,0,12600,0
62,,2500|2500,6,caravan_1021,0,Seasons/S3/Avatar/Army/Army_car_R_s3,Avatar/Army/Army_box_R,2,0,0,75,0,15120,0
63,,2500|2500,6,caravan_1022,0,Seasons/S3/Avatar/Army/Army_car_SR_s3,Avatar/Army/Army_box_SR,2,0,0,75,0,16200,0
64,,2500|2500,6,caravan_1023,0,Seasons/S3/Avatar/Army/Army_car_SSR_s3,Avatar/Army/Army_box_SSR,2,0,0,75,0,14040,0
65,,2500|2500,3,caravan_1024,0,Seasons/S3/Avatar/Army/Army_car_UR_s3,Avatar/Army/Army_box_UR,2,0,0,120,0,14760,0
66,,1500|1500|1500,4,caravan_1025,1,Seasons/S3/Avatar/Army/Army_car_AR_s3,Avatar/Army/Army_box_AR,3,2500,1000,120,4,21600,1000
71,,2500|2500,6,caravan_1026,0,Seasons/S4/Avatar/Army/Army_car_N_S4,Avatar/Army/Army_box_N,2,0,0,75,0,12600,0
72,,2500|2500,6,caravan_1027,0,Seasons/S4/Avatar/Army/Army_car_R_S4,Avatar/Army/Army_box_R,2,0,0,75,0,15120,0
73,,2500|2500,6,caravan_1028,0,Seasons/S4/Avatar/Army/Army_car_SR_S4,Avatar/Army/Army_box_SR,2,0,0,75,0,16200,0
74,,2500|2500,6,caravan_1029,0,Seasons/S4/Avatar/Army/Army_car_SSR_S4,Avatar/Army/Army_box_SSR,2,0,0,75,0,14040,0
75,,2500|2500,3,caravan_1030,0,Seasons/S4/Avatar/Army/Army_car_UR_S4,Avatar/Army/Army_box_UR,2,0,0,120,0,14760,0
76,,1500|1500|1500,4,caravan_1031,1,Seasons/S4/Avatar/Army/Army_car_AR_S4,Avatar/Army/Army_box_AR,3,2500,1000,120,4,21600,1000
1001,,2500|2500,6,caravan_1008,0,Avatar/Army/Army_car_N_s1,Avatar/Army/Army_box_N,2,0,0,75,0,12600,0
1002,,2500|2500,6,caravan_1009,0,Avatar/Army/Army_car_R_s1,Avatar/Army/Army_box_R,2,0,0,75,0,15120,0
1003,,2500|2500,6,caravan_1010,0,Avatar/Army/Army_car_SR_s1,Avatar/Army/Army_box_SR,2,0,0,75,0,16200,0
1004,,2500|2500,6,caravan_1011,0,Avatar/Army/Army_car_SSR_s1,Avatar/Army/Army_box_SSR,2,0,0,75,0,14040,0
1005,,2500|2500,3,caravan_1012,0,Avatar/Army/Army_car_UR_s1,Avatar/Army/Army_box_UR,2,0,0,120,0,14760,0
1006,,1500|1500|1500,4,caravan_1013,1,Avatar/Army/Army_car_AR_s1,Avatar/Army/Army_box_AR,3,2500,1000,120,4,21600,1000
