id,idle_reward,idle_reward_2,idle_scene_type,idle_time,idle_time_2,idle_time_max,need_level,pre_id,reward_ID,rewardIds,show_floor,show_unit_icon,stage,tower_type,type
1,1501,0,1,300,3600,480,1,-1,[24001],[24001],1,10006,1,1,1
2,1501,0,1,300,3600,480,1,1,[24002],[24002],2,10001,2,1,1
3,1501,0,1,300,3600,480,1,2,[24003],[24003],3,10002,3,1,1
4,1501,0,1,300,3600,480,1,3,[24004],[24004],4,10009,4,1,1
5,1501,0,1,300,3600,480,1,4,[24005],[24005],5,60017,5,1,2
6,1501,0,1,300,3600,480,1,5,[24006],[24006],6,10007,6,1,1
7,1501,0,1,300,3600,480,1,6,[24007],[24007],7,10005,7,1,1
8,1501,0,1,300,3600,480,1,7,[24008],[24008],8,10010,8,1,1
9,1501,0,1,300,3600,480,1,8,[24009],[24009],9,10003,9,1,1
10,1501,0,1,300,3600,480,1,9,[24010],[24010],10,60025,10,1,3
11,1501,0,1,300,3600,480,1,10,[24011],[24011],11,10011,11,1,1
12,1501,0,1,300,3600,480,1,11,[24012],[24012],12,10015,12,1,1
13,1501,0,1,300,3600,480,1,12,[24013],[24013],13,10004,13,1,1
14,1501,0,1,300,3600,480,1,13,[24014],[24014],14,10016,14,1,1
15,1501,0,1,300,3600,480,1,14,[24015],[24015],15,60039,15,1,2
16,1501,0,1,300,3600,480,1,15,[24016],[24016],16,10011,16,1,1
17,1501,0,1,300,3600,480,1,16,[24017],[24017],17,10014,17,1,1
18,1501,0,1,300,3600,480,1,17,[24018],[24018],18,10005,18,1,1
19,1501,0,1,300,3600,480,1,18,[24019],[24019],19,10003,19,1,1
20,1501,0,1,300,3600,480,1,19,[24020],[24020],20,60050,20,1,3
21,1501,0,2,300,3600,480,1,20,[24021],[24021],21,10004,21,1,1
22,1501,0,2,300,3600,480,1,21,[24022],[24022],22,10016,22,1,1
23,1501,0,2,300,3600,480,1,22,[24023],[24023],23,10015,23,1,1
24,1501,0,2,300,3600,480,1,23,[24024],[24024],24,10011,24,1,1
25,1501,0,2,300,3600,480,1,24,[24025],[24025],25,60026,25,1,2
26,1501,0,2,300,3600,480,1,25,[24026],[24026],26,10008,26,1,1
27,1501,0,2,300,3600,480,1,26,[24027],[24027],27,10018,27,1,1
28,1501,0,2,300,3600,480,1,27,[24028],[24028],28,10022,28,1,1
29,1501,0,2,300,3600,480,1,28,[24029],[24029],29,10021,29,1,1
30,1501,0,2,300,3600,480,1,29,[24030],[24030],30,10025,30,1,3
31,1501,0,2,300,3600,480,1,30,[24031],[24031],31,10026,31,1,1
32,1501,0,2,300,3600,480,1,31,[24032],[24032],32,10034,32,1,1
33,1501,0,2,300,3600,480,1,32,[24033],[24033],33,10022,33,1,1
34,1501,0,2,300,3600,480,1,33,[24034],[24034],34,10025,34,1,1
35,1501,0,2,300,3600,480,1,34,[24035],[24035],35,10026,35,1,2
36,1501,0,2,300,3600,480,1,35,[24036],[24036],36,10008,36,1,1
37,1501,0,2,300,3600,480,1,36,[24037],[24037],37,10018,37,1,1
38,1501,0,2,300,3600,480,1,37,[24038],[24038],38,10017,38,1,1
39,1501,0,2,300,3600,480,1,38,[24039],[24039],39,10021,39,1,1
40,1501,0,2,300,3600,480,1,39,[24040],[24040],40,60046,40,1,3
41,1501,0,3,300,3600,480,1,40,[24041],[24041],41,10026,41,1,1
42,1501,0,3,300,3600,480,1,41,[24042],[24042],42,10034,42,1,1
43,1501,0,3,300,3600,480,1,42,[24043],[24043],43,10012,43,1,1
44,1501,0,3,300,3600,480,1,43,[24044],[24044],44,10030,44,1,1
45,1501,0,3,300,3600,480,1,44,[24045],[24045],45,60145,45,1,2
46,1501,0,3,300,3600,480,1,45,[24046],[24046],46,10028,46,1,1
47,1501,0,3,300,3600,480,1,46,[24047],[24047],47,10018,47,1,1
48,1501,0,3,300,3600,480,1,47,[24048],[24048],48,10022,48,1,1
49,1501,0,3,300,3600,480,1,48,[24049],[24049],49,10021,49,1,1
50,1501,0,3,300,3600,480,1,49,[24050],[24050],50,70022,50,1,3
51,1501,0,3,300,3600,480,1,50,[24051],[24051],51,10026,51,1,1
52,1501,0,3,300,3600,480,1,51,[24052],[24052],52,10034,52,1,1
53,1501,0,3,300,3600,480,1,52,[24053],[24053],53,10025,53,1,1
54,1501,0,3,300,3600,480,1,53,[24054],[24054],54,10008,54,1,1
55,1501,0,3,300,3600,480,1,54,[24055],[24055],55,10027,55,1,2
56,1501,0,3,300,3600,480,1,55,[24056],[24056],56,10017,56,1,1
57,1501,0,3,300,3600,480,1,56,[24057],[24057],57,10012,57,1,1
58,1501,0,3,300,3600,480,1,57,[24058],[24058],58,10030,58,1,1
59,1501,0,3,300,3600,480,1,58,[24059],[24059],59,10028,59,1,1
60,1501,0,3,300,3600,480,1,59,[24060],[24060],60,10018,60,1,3
61,1501,0,1,300,3600,480,1,60,[24061],[24061],61,10025,61,1,1
62,1501,0,1,300,3600,480,1,61,[24062],[24062],62,10008,62,1,1
63,1501,0,1,300,3600,480,1,62,[24063],[24063],63,10017,63,1,1
64,1501,0,1,300,3600,480,1,63,[24064],[24064],64,10012,64,1,1
65,1501,0,1,300,3600,480,1,64,[24065],[24065],65,60098,65,1,2
66,1501,0,1,300,3600,480,1,65,[24066],[24066],66,10031,66,1,1
67,1501,0,1,300,3600,480,1,66,[24067],[24067],67,10028,67,1,1
68,1501,0,1,300,3600,480,1,67,[24068],[24068],68,10017,68,1,1
69,1501,0,1,300,3600,480,1,68,[24069],[24069],69,10025,69,1,1
70,1501,0,1,300,3600,480,1,69,[24070],[24070],70,60026,70,1,3
71,1501,0,1,300,3600,480,1,70,[24071],[24071],71,10022,71,1,1
72,1501,0,1,300,3600,480,1,71,[24072],[24072],72,10021,72,1,1
73,1501,0,1,300,3600,480,1,72,[24073],[24073],73,10026,73,1,1
74,1501,0,1,300,3600,480,1,73,[24074],[24074],74,10028,74,1,1
75,1501,0,1,300,3600,480,1,74,[24075],[24075],75,60092,75,1,2
76,1501,0,1,300,3600,480,1,75,[24076],[24076],76,10025,76,1,1
77,1501,0,1,300,3600,480,1,76,[24077],[24077],77,10012,77,1,1
78,1501,0,1,300,3600,480,1,77,[24078],[24078],78,10017,78,1,1
79,1501,0,1,300,3600,480,1,78,[24079],[24079],79,10012,79,1,1
80,1501,0,1,300,3600,480,1,79,[24080],[24080],80,10008,80,1,3
81,1501,0,2,300,3600,480,1,80,[24081],[24081],81,10030,81,1,1
82,1501,0,2,300,3600,480,1,81,[24082],[24082],82,10022,82,1,1
83,1501,0,2,300,3600,480,1,82,[24083],[24083],83,10024,83,1,1
84,1501,0,2,300,3600,480,1,83,[24084],[24084],84,10018,84,1,1
85,1501,0,2,300,3600,480,1,84,[24085],[24085],85,60096,85,1,2
86,1501,0,2,300,3600,480,1,85,[24086],[24086],86,10022,86,1,1
87,1501,0,2,300,3600,480,1,86,[24087],[24087],87,10030,87,1,1
88,1501,0,2,300,3600,480,1,87,[24088],[24088],88,10025,88,1,1
89,1501,0,2,300,3600,480,1,88,[24089],[24089],89,10017,89,1,1
90,1501,0,2,300,3600,480,1,89,[24090],[24090],90,71003,90,1,3
91,1501,0,2,300,3600,480,1,90,[24091],[24091],91,10025,91,1,1
92,1501,0,2,300,3600,480,1,91,[24092],[24092],92,10028,92,1,1
93,1501,0,2,300,3600,480,1,92,[24093],[24093],93,10017,93,1,1
94,1501,0,2,300,3600,480,1,93,[24094],[24094],94,10018,94,1,1
95,1501,0,2,300,3600,480,1,94,[24095],[24095],95,10020,95,1,2
96,1501,0,2,300,3600,480,1,95,[24096],[24096],96,10030,96,1,1
97,1501,0,2,300,3600,480,1,96,[24097],[24097],97,10028,97,1,1
98,1501,0,2,300,3600,480,1,97,[24098],[24098],98,10024,98,1,1
99,1501,0,2,300,3600,480,1,98,[24099],[24099],99,10012,99,1,1
100,1501,0,2,300,3600,480,1,99,[24100],[24100],100,10022,100,1,3
101,1501,0,3,300,3600,480,1,100,[24101],[24101],101,10025,101,1,1
102,1501,0,3,300,3600,480,1,101,[24102],[24102],102,10021,102,1,1
103,1501,0,3,300,3600,480,1,102,[24103],[24103],103,10026,103,1,1
104,1501,0,3,300,3600,480,1,103,[24104],[24104],104,10034,104,1,1
105,1501,0,3,300,3600,480,1,104,[24105],[24105],105,60145,105,1,2
106,1501,0,3,300,3600,480,1,105,[24106],[24106],106,10022,106,1,1
107,1501,0,3,300,3600,480,1,106,[24107],[24107],107,10021,107,1,1
108,1501,0,3,300,3600,480,1,107,[24108],[24108],108,10024,108,1,1
109,1501,0,3,300,3600,480,1,108,[24109],[24109],109,10018,109,1,1
110,1501,0,3,300,3600,480,1,109,[24110],[24110],110,60143,110,1,3
111,1501,0,3,300,3600,480,1,110,[24111],[24111],111,10027,111,1,1
112,1501,0,3,300,3600,480,1,111,[24112],[24112],112,10024,112,1,1
113,1501,0,3,300,3600,480,1,112,[24113],[24113],113,10023,113,1,1
114,1501,0,3,300,3600,480,1,113,[24114],[24114],114,10032,114,1,1
115,1501,0,3,300,3600,480,1,114,[24115],[24115],115,10017,115,1,2
116,1501,0,3,300,3600,480,1,115,[24116],[24116],116,10035,116,1,1
117,1501,0,3,300,3600,480,1,116,[24117],[24117],117,10031,117,1,1
118,1501,0,3,300,3600,480,1,117,[24118],[24118],118,10025,118,1,1
119,1501,0,3,300,3600,480,1,118,[24119],[24119],119,10019,119,1,1
120,1501,0,3,300,3600,480,1,119,[24120],[24120],120,10024,120,1,3
121,1501,0,1,300,3600,480,1,120,[24121],[24121],121,10022,121,1,1
122,1501,0,1,300,3600,480,1,121,[24122],[24122],122,10008,122,1,1
123,1501,0,1,300,3600,480,1,122,[24123],[24123],123,10023,123,1,1
124,1501,0,1,300,3600,480,1,123,[24124],[24124],124,10032,124,1,1
125,1501,0,1,300,3600,480,1,124,[24125],[24125],125,60120,125,1,2
126,1501,0,1,300,3600,480,1,125,[24126],[24126],126,10025,126,1,1
127,1501,0,1,300,3600,480,1,126,[24127],[24127],127,10008,127,1,1
128,1501,0,1,300,3600,480,1,127,[24128],[24128],128,10018,128,1,1
129,1501,0,1,300,3600,480,1,128,[24129],[24129],129,10012,129,1,1
130,1501,0,1,300,3600,480,1,129,[24130],[24130],130,60115,130,1,3
131,1501,0,1,300,3600,480,1,130,[24131],[24131],131,10028,131,1,1
132,1501,0,1,300,3600,480,1,131,[24132],[24132],132,10018,132,1,1
133,1501,0,1,300,3600,480,1,132,[24133],[24133],133,10012,133,1,1
134,1501,0,1,300,3600,480,1,133,[24134],[24134],134,10021,134,1,1
135,1501,0,1,300,3600,480,1,134,[24135],[24135],135,10032,135,1,2
136,1501,0,1,300,3600,480,1,135,[24136],[24136],136,10019,136,1,1
137,1501,0,1,300,3600,480,1,136,[24137],[24137],137,10020,137,1,1
138,1501,0,1,300,3600,480,1,137,[24138],[24138],138,10031,138,1,1
139,1501,0,1,300,3600,480,1,138,[24139],[24139],139,10027,139,1,1
140,1501,0,1,300,3600,480,1,139,[24140],[24140],140,10021,140,1,3
141,1501,0,2,300,3600,480,1,140,[24141],[24141],141,10032,141,1,1
142,1501,0,2,300,3600,480,1,141,[24142],[24142],142,10026,142,1,1
143,1501,0,2,300,3600,480,1,142,[24143],[24143],143,10034,143,1,1
144,1501,0,2,300,3600,480,1,143,[24144],[24144],144,10035,144,1,1
145,1501,0,2,300,3600,480,1,144,[24145],[24145],145,60038,145,1,2
146,1501,0,2,300,3600,480,1,145,[24146],[24146],146,10020,146,1,1
147,1501,0,2,300,3600,480,1,146,[24147],[24147],147,10017,147,1,1
148,1501,0,2,300,3600,480,1,147,[24148],[24148],148,10023,148,1,1
149,1501,0,2,300,3600,480,1,148,[24149],[24149],149,10030,149,1,1
150,1501,0,2,300,3600,480,1,149,[24150],[24150],150,60116,150,1,3
151,1501,0,2,300,3600,480,1,150,[24151],[24151],151,10025,151,1,1
152,1501,0,2,300,3600,480,1,151,[24152],[24152],152,10008,152,1,1
153,1501,0,2,300,3600,480,1,152,[24153],[24153],153,10017,153,1,1
154,1501,0,2,300,3600,480,1,153,[24154],[24154],154,10012,154,1,1
155,1501,0,2,300,3600,480,1,154,[24155],[24155],155,60098,155,1,2
156,1501,0,2,300,3600,480,1,155,[24156],[24156],156,10031,156,1,1
157,1501,0,2,300,3600,480,1,156,[24157],[24157],157,10028,157,1,1
158,1501,0,2,300,3600,480,1,157,[24158],[24158],158,10024,158,1,1
159,1501,0,2,300,3600,480,1,158,[24159],[24159],159,10025,159,1,1
160,1501,0,2,300,3600,480,1,159,[24160],[24160],160,60026,160,1,3
161,1501,0,3,300,3600,480,1,160,[24161],[24161],161,10026,161,1,1
162,1501,0,3,300,3600,480,1,161,[24162],[24162],162,10021,162,1,1
163,1501,0,3,300,3600,480,1,162,[24163],[24163],163,10026,163,1,1
164,1501,0,3,300,3600,480,1,163,[24164],[24164],164,10034,164,1,1
