id,emojiStr,emojiTxtStr,default_activated,goods_id,group,icon,index,name,repeat_reward,texture
1,"<sprite name=""chat_emoji_0"">",chat_emoji_0_name,1,-1,1,chat_emoji_0,0,chat_emoji_0_name,999|2|500,chat_emoji
2,"<sprite name=""chat_emoji_1"">",chat_emoji_1_name,1,-1,1,chat_emoji_1,1,chat_emoji_1_name,999|2|500,chat_emoji
3,"<sprite name=""chat_emoji_2"">",chat_emoji_2_name,1,-1,1,chat_emoji_2,2,chat_emoji_2_name,999|2|500,chat_emoji
4,"<sprite name=""chat_emoji_3"">",chat_emoji_3_name,1,-1,1,chat_emoji_3,3,chat_emoji_3_name,999|2|500,chat_emoji
5,"<sprite name=""chat_emoji_4"">",chat_emoji_4_name,1,-1,1,chat_emoji_4,4,chat_emoji_4_name,999|2|500,chat_emoji
6,"<sprite name=""chat_emoji_5"">",chat_emoji_5_name,1,-1,1,chat_emoji_5,5,chat_emoji_5_name,999|2|500,chat_emoji
7,"<sprite name=""chat_emoji_6"">",chat_emoji_6_name,1,-1,1,chat_emoji_6,6,chat_emoji_6_name,999|2|500,chat_emoji
8,"<sprite name=""chat_emoji_7"">",chat_emoji_7_name,1,-1,1,chat_emoji_7,7,chat_emoji_7_name,999|2|500,chat_emoji
9,"<sprite name=""chat_emoji_8"">",chat_emoji_8_name,1,-1,1,chat_emoji_8,8,chat_emoji_8_name,999|2|500,chat_emoji
10,"<sprite name=""chat_emoji_9"">",chat_emoji_9_name,1,-1,1,chat_emoji_9,9,chat_emoji_9_name,999|2|500,chat_emoji
11,"<sprite name=""chat_emoji_10"">",chat_emoji_10_name,1,-1,1,chat_emoji_10,10,chat_emoji_10_name,999|2|500,chat_emoji
12,"<sprite name=""chat_emoji_11"">",chat_emoji_11_name,1,-1,1,chat_emoji_11,11,chat_emoji_11_name,999|2|500,chat_emoji
13,"<sprite name=""chat_emoji_12"">",chat_emoji_12_name,1,-1,1,chat_emoji_12,12,chat_emoji_12_name,999|2|500,chat_emoji
14,"<sprite name=""chat_emoji_13"">",chat_emoji_13_name,1,-1,1,chat_emoji_13,13,chat_emoji_13_name,999|2|500,chat_emoji
15,"<sprite name=""chat_emoji_14"">",chat_emoji_14_name,1,-1,1,chat_emoji_14,14,chat_emoji_14_name,999|2|500,chat_emoji
16,"<sprite name=""chat_emoji_15"">",chat_emoji_15_name,1,-1,1,chat_emoji_15,15,chat_emoji_15_name,999|2|500,chat_emoji
17,"<sprite name=""chat_emoji_16"">",chat_emoji_16_name,1,-1,1,chat_emoji_16,16,chat_emoji_16_name,999|2|500,chat_emoji
18,"<sprite name=""chat_emoji_17"">",chat_emoji_17_name,1,-1,1,chat_emoji_17,17,chat_emoji_17_name,999|2|500,chat_emoji
19,"<sprite name=""chat_emoji_18"">",chat_emoji_18_name,1,-1,1,chat_emoji_18,18,chat_emoji_18_name,999|2|500,chat_emoji
20,"<sprite name=""chat_emoji_19"">",chat_emoji_19_name,1,-1,1,chat_emoji_19,19,chat_emoji_19_name,999|2|500,chat_emoji
21,"<sprite name=""chat_emoji_20"">",chat_emoji_20_name,1,-1,1,chat_emoji_20,20,chat_emoji_20_name,999|2|500,chat_emoji
22,"<sprite name=""chat_emoji_21"">",chat_emoji_21_name,1,-1,1,chat_emoji_21,21,chat_emoji_21_name,999|2|500,chat_emoji
23,"<sprite name=""chat_emoji_22"">",chat_emoji_22_name,1,-1,1,chat_emoji_22,22,chat_emoji_22_name,999|2|500,chat_emoji
24,"<sprite name=""chat_emoji_23"">",chat_emoji_23_name,1,-1,1,chat_emoji_23,23,chat_emoji_23_name,999|2|500,chat_emoji
25,"<sprite name=""chat_emoji_24"">",chat_emoji_24_name,1,-1,1,chat_emoji_24,24,chat_emoji_24_name,999|2|500,chat_emoji
26,"<sprite name=""chat_emoji_25"">",chat_emoji_25_name,1,-1,1,chat_emoji_25,25,chat_emoji_25_name,999|2|500,chat_emoji
27,"<sprite name=""chat_emoji_26"">",chat_emoji_26_name,1,-1,1,chat_emoji_26,26,chat_emoji_26_name,999|2|500,chat_emoji
28,"<sprite name=""chat_emoji_27"">",chat_emoji_27_name,1,-1,1,chat_emoji_27,27,chat_emoji_27_name,999|2|500,chat_emoji
29,"<sprite name=""chat_emoji_28"">",chat_emoji_28_name,1,-1,1,chat_emoji_28,28,chat_emoji_28_name,999|2|500,chat_emoji
30,"<sprite name=""chat_emoji_29"">",chat_emoji_29_name,1,-1,1,chat_emoji_29,29,chat_emoji_29_name,999|2|500,chat_emoji
31,"<sprite name=""chat_emoji_30"">",chat_emoji_30_name,1,-1,1,chat_emoji_30,30,chat_emoji_30_name,999|2|500,chat_emoji
32,"<sprite name=""chat_emoji_31"">",chat_emoji_31_name,1,-1,1,chat_emoji_31,31,chat_emoji_31_name,999|2|500,chat_emoji
33,"<sprite name=""chat_emoji_32"">",chat_emoji_32_name,1,-1,1,chat_emoji_32,32,chat_emoji_32_name,999|2|500,chat_emoji
34,"<sprite name=""chat_emoji_33"">",chat_emoji_33_name,1,-1,1,chat_emoji_33,33,chat_emoji_33_name,999|2|500,chat_emoji
35,"<sprite name=""chat_emoji_34"">",chat_emoji_34_name,1,-1,1,chat_emoji_34,34,chat_emoji_34_name,999|2|500,chat_emoji
36,"<sprite name=""chat_emoji_35"">",chat_emoji_35_name,1,-1,1,chat_emoji_35,35,chat_emoji_35_name,999|2|500,chat_emoji
37,"<sprite name=""chat_emoji_36"">",chat_emoji_36_name,1,-1,1,chat_emoji_36,36,chat_emoji_36_name,999|2|500,chat_emoji
38,"<sprite name=""chat_emoji_37"">",chat_emoji_37_name,1,-1,1,chat_emoji_37,37,chat_emoji_37_name,999|2|500,chat_emoji
39,"<sprite name=""chat_emoji_39"">",chat_emoji_39_name,1,-1,1,chat_emoji_39,38,chat_emoji_39_name,999|2|500,chat_emoji
40,"<sprite name=""chat_emoji_38"">",chat_emoji_38_name,1,-1,1,chat_emoji_38,39,chat_emoji_38_name,999|2|500,chat_emoji
41,"<sprite name=""chat_emoji_40"">",chat_emoji_40_name,1,-1,1,chat_emoji_40,40,chat_emoji_40_name,999|2|500,chat_emoji
42,"<sprite name=""chat_emoji_41"">",chat_emoji_41_name,1,-1,1,chat_emoji_41,41,chat_emoji_41_name,999|2|500,chat_emoji
43,"<sprite name=""chat_emoji_42"">",chat_emoji_42_name,1,-1,1,chat_emoji_42,42,chat_emoji_42_name,999|2|500,chat_emoji
44,"<sprite name=""chat_emoji_43"">",chat_emoji_43_name,1,-1,1,chat_emoji_43,43,chat_emoji_43_name,999|2|500,chat_emoji
