id,hero_lv,mine_lv,new_unlock_building,string_para1,string_para2,unlock_building,unlock_position,unlock_queue
1000,15,-1,,[1093|240000|1|1218|5|1],[1093|1000000|1|3|50|1|4|250|1|1218|5|1],,-1,
1001,15,-1,110,[1093|250000|1|1218|5|1],[1093|1000000|1|3|50|1|4|250|1|1218|5|1],110,-1,
1002,20,-1,130,[1093|255000|1|1218|5|1],[1093|1020000|1|3|100|1|4|500|1|1218|5|1],130,-1,
1003,25,-1,106,[1093|260000|1|1218|5|1],[1093|1040000|1|3|150|1|4|750|1|1218|5|1],106,4,
1004,30,-1,125|129,[1093|265000|1|1218|5|1],[1093|1060000|1|3|200|1|4|1000|1|1218|5|1],125|129,-1,
1005,35,-1,107|128,[1093|275000|1|1218|5|1],[1093|1100000|1|3|250|1|4|1250|1|1218|5|1],107|128,-1,
1006,40,-1,133|141,[1093|280000|1|1218|5|1],[1093|1120000|1|3|300|1|4|1500|1|1218|5|1],133|141,-1,
1007,45,-1,136|127|116,[1093|285000|1|1218|5|1],[1093|1140000|1|3|350|1|4|1750|1|1218|5|1],136|127|116,5,
1008,50,-1,118|126,[1093|290000|1|1218|5|1],[1093|1160000|1|3|400|1|4|2000|1|1218|5|1],118|126,-1,
1009,55,-1,122,[1093|300000|1|1218|5|1],[1093|1200000|1|3|450|1|4|2250|1|1218|5|1],,-1,
1010,60,-1,131,[1093|305000|1|1218|5|1],[1093|1220000|1|3|500|1|4|2500|1|1218|5|1],131,-1,
1011,65,-1,139,[1093|310000|1|1218|5|1],[1093|1240000|1|3|550|1|4|2750|1|1218|5|1],112|139,-1,
1012,70,-1,137|155,[1093|315000|1|1218|5|1],[1093|1260000|1|3|600|1|4|3540|1|1218|5|1],137|140,6,3
1013,75,-1,,[1093|320000|1|1218|5|1],[1093|1280000|1|3|650|1|4|3835|1|1218|5|1],119,-1,
1014,80,-1,123,[1093|330000|1|1218|5|1],[1093|1320000|1|3|700|1|4|4130|1|1218|5|1],,-1,
1015,90,-1,124,[1093|335000|1|1218|5|1],[1093|1340000|1|3|750|1|4|4425|1|1218|5|1],135,-1,
1016,95,-1,167,[1093|340000|1|1218|5|1],[1093|1360000|1|3|800|1|4|5440|1|1218|5|1],167,-1,
1017,100,-1,135,[1093|345000|1|1218|5|1],[1093|1380000|1|3|850|1|4|5780|1|1218|5|1],,-1,
1018,105,-1,,[1093|355000|1|1218|5|1],[1093|1420000|1|3|900|1|4|6120|1|1218|5|1],,-1,
1019,110,-1,,[1093|360000|1|1218|5|1],[1093|1440000|1|3|950|1|4|6460|1|1218|5|1],,-1,
1020,115,-1,,[1093|365000|1|1218|5|1],[1093|1460000|1|3|1000|1|4|7400|1|1218|5|1],,-1,
1021,120,-1,,[1093|375000|1|1218|5|1],[1093|1500000|1|3|1050|1|4|7770|1|1218|5|1],120,-1,
1022,125,-1,,[1093|405000|1|1218|5|1],[1093|1620000|1|3|1100|1|4|8140|1|1218|5|1],,-1,
1023,130,-1,,[1093|435000|1|1218|5|1],[1093|1740000|1|3|1150|1|4|8510|1|1218|5|1],121,-1,
1024,135,-1,,[1093|465000|1|1218|5|1],[1093|1860000|1|3|1200|1|4|9240|1|1218|5|1],145,-1,
1025,140,-1,145,[1093|495000|1|1218|5|1],[1093|1980000|1|3|1250|1|4|9625|1|1218|5|1],,-1,4
1026,145,-1,142|143|168,[1093|525000|1|1218|5|1],[1093|2100000|1|3|1300|1|4|10010|1|1218|5|1],142|143|168,-1,
1027,150,-1,,[1093|570000|1|1218|5|1],[1093|2280000|1|3|1350|1|4|10395|1|1218|5|1],122,-1,
1028,155,-1,,[1093|610000|1|1218|5|1],[1093|2440000|1|3|1400|1|4|11200|1|1218|5|1],,-1,
1029,160,-1,,[1093|640000|1|1218|5|1],[1093|2560000|1|3|1450|1|4|11600|1|1218|5|1],123,-1,
1030,170,-1,,[1093|670000|1|1218|5|1],[1093|2680000|1|3|1500|1|4|12000|1|1218|5|1],,-1,
1031,175,-1,,[1093|700000|1|1218|5|1],[1093|2800000|1|3|1550|1|4|12400|1|1218|5|1],124,-1,
1032,180,-1,,[1093|730000|1|1218|5|1],[1093|2920000|1|3|1600|1|4|13760|1|1218|5|1],,-1,
1033,185,-1,,[1093|770000|1|1218|5|1],[1093|3080000|1|3|1650|1|4|14190|1|1218|5|1],,-1,
1034,190,-1,,[1093|800000|1|1218|5|1],[1093|3200000|1|3|1700|1|4|14620|1|1218|5|1],,-1,
1035,195,-1,,[1093|830000|1|1218|5|1],[1093|3320000|1|3|1750|1|4|15050|1|1218|5|1],,-1,
1036,200,-1,,[1093|870000|1|1218|5|1],[1093|3480000|1|3|1800|1|4|16560|1|1218|5|1],,-1,
1037,205,-1,,[1093|900000|1|1218|5|1],[1093|3600000|1|3|1850|1|4|17020|1|1218|5|1],,-1,
1038,210,-1,,[1093|955000|1|1218|5|1],[1093|3820000|1|3|1900|1|4|17480|1|1218|5|1],,-1,
1039,215,-1,,[1093|980000|1|1218|5|1],[1093|3920000|1|3|1950|1|4|17940|1|1218|5|1],,-1,
1040,220,-1,,[1093|1005000|1|1218|7|1],[1093|4020000|1|3|2000|1|4|19000|1|1218|7|1],,-1,
1041,220,-1,,[1093|1005000|1|1218|7|1],[1093|4020000|1|3|2100|1|4|21000|1|1218|7|1],,-1,
1042,220,-1,,[1093|1005000|1|1218|7|1],[1093|4020000|1|3|2200|1|4|22000|1|1218|7|1],,-1,
1043,220,-1,,[1093|1005000|1|1218|7|1],[1093|4020000|1|3|2300|1|4|23000|1|1218|7|1],,-1,
1044,220,-1,,[1093|1005000|1|1218|7|1],[1093|4020000|1|3|2400|1|4|24000|1|1218|7|1],,-1,
1045,220,-1,,[1093|1005000|1|1218|8|1],[1093|4020000|1|3|2500|1|4|25000|1|1218|8|1],,-1,
1046,220,-1,,[1093|1005000|1|1218|8|1],[1093|4020000|1|3|2635|1|4|26350|1|1218|8|1],,-1,
1047,220,-1,,[1093|1005000|1|1218|8|1],[1093|4020000|1|3|2770|1|4|27700|1|1218|8|1],,-1,
1048,220,-1,,[1093|1005000|1|1218|8|1],[1093|4020000|1|3|2905|1|4|29050|1|1218|8|1],,-1,
1049,220,-1,,[1093|1005000|1|1218|8|1],[1093|4020000|1|3|3040|1|4|30400|1|1218|8|1],,-1,
1050,225,-1,,[1093|1005000|1|1218|9|1],[1093|4020000|1|3|3175|1|4|31750|1|1218|9|1],,-1,
1051,225,-1,,[1093|1005000|1|1218|9|1],[1093|4020000|1|3|3340|1|4|33400|1|1218|9|1],,-1,
1052,225,-1,,[1093|1005000|1|1218|9|1],[1093|4020000|1|3|3505|1|4|35050|1|1218|9|1],,-1,
1053,225,-1,,[1093|1005000|1|1218|9|1],[1093|4020000|1|3|3670|1|4|36700|1|1218|9|1],,-1,
1054,225,-1,,[1093|1005000|1|1218|9|1],[1093|4020000|1|3|3835|1|4|38350|1|1218|9|1],,-1,
1055,225,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|4000|1|4|40000|1|1218|13|1],,-1,
1056,225,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|4100|1|4|42000|1|1218|13|1],,-1,
1057,225,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|4200|1|4|44000|1|1218|13|1],,-1,
1058,225,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|4300|1|4|46000|1|1218|13|1],,-1,
1059,225,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|4400|1|4|48000|1|1218|13|1],,-1,
1060,230,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|4500|1|4|50000|1|1218|13|1],,-1,
1061,230,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|4600|1|4|52000|1|1218|13|1],,-1,
1062,230,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|4700|1|4|54000|1|1218|13|1],,-1,
1063,230,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|4800|1|4|56000|1|1218|13|1],,-1,
1064,230,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|4900|1|4|58000|1|1218|13|1],,-1,
1065,230,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|5000|1|4|60000|1|1218|13|1],,-1,
1066,230,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|5100|1|4|62000|1|1218|13|1],,-1,
1067,230,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|5200|1|4|64000|1|1218|13|1],,-1,
1068,230,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|5300|1|4|66000|1|1218|13|1],,-1,
1069,230,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|5400|1|4|68000|1|1218|13|1],,-1,
1070,235,-1,,[1093|1005000|1|1218|13|1],[1093|4020000|1|3|5500|1|4|70000|1|1218|13|1],,-1,
