id,attr,restore
1000,,100
1001,,100
1002,,100
1003,,100
1004,,100
1005,,100
1006,,100
1007,,100
1008,,100
1009,,100
1010,,100
1011,,100
1012,,100
1013,,100
1014,,100
1015,,100
1016,,100
1017,,100
1018,,100
1019,,100
1020,,100
1021,,100
1022,,100
1023,,100
1024,,100
1025,,100
1026,,100
1027,,100
1028,,100
1029,,100
1030,,100
1031,,100
1032,,100
1033,,100
1034,,100
1035,,100
1036,,100
1037,,100
1038,,100
1039,,100
1040,,100
2000,,100
2001,,100
2002,,100
2003,,100
2004,,100
2005,,100
2006,,100
2007,,100
2008,,100
2009,,100
2010,,100
2011,,100
2012,,100
2013,,100
2014,,100
2015,,100
2016,,100
2017,,100
2018,,100
2019,,100
2020,,100
2021,,100
2022,,100
2023,,100
2024,,100
2025,,100
2026,,100
2027,,100
2028,,100
2029,,100
2030,,100
2031,,100
2032,,100
2033,,100
2034,,100
2035,,100
2036,,100
2037,,100
2038,,100
2039,,100
2040,,100
