id,cost,costs,item,out_put_num,type
1001,[999|4|1000],[[999|4|1000]],101,1,1
1002,[999|4|2000],[[999|4|2000]],101,2,1
1003,[999|4|2000],[[999|4|2000]],101,2,1
1004,[999|4|3000],[[999|4|3000]],101,3,1
1005,[999|4|3000],[[999|4|3000]],101,3,1
1006,[999|4|4000],[[999|4|4000]],101,4,1
1007,[999|4|4000],[[999|4|4000]],101,4,1
1008,[999|4|5000],[[999|4|5000]],101,5,1
1009,[999|4|5000],[[999|4|5000]],101,5,1
1010,[999|4|6000],[[999|4|6000]],101,6,1
2001,[999|5|1000],[[999|5|1000]],102,1,2
2002,[999|5|2000],[[999|5|2000]],102,2,2
2003,[999|5|2000],[[999|5|2000]],102,2,2
2004,[999|5|3000],[[999|5|3000]],102,3,2
2005,[999|5|3000],[[999|5|3000]],102,3,2
2006,[999|5|4000],[[999|5|4000]],102,4,2
2007,[999|5|4000],[[999|5|4000]],102,4,2
2008,[999|5|5000],[[999|5|5000]],102,5,2
2009,[999|5|5000],[[999|5|5000]],102,5,2
2010,[999|5|6000],[[999|5|6000]],102,6,2
