id,iconAtlas,area,atlas,attibute,attrs,desc,drop_exist_time,fight,fly_bag,fun_offset,funOffset,head,icon,icon_big_scale,is_show,lvup_num,maxlv,model,name,quality,res_offset,resoffset,reward,size,suit_id
10001,Atlas/Building_DIY,[1|1],,[3|10],[[3|10]],citybuilding_DIY_des_10001,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10001,zsw_10001,120,1,410295001,13,Building/Building_DIY/Building_diy_10001,citybuilding_DIY_name_10001,3,[0|0.2],"(0.0, 0.2)",,"(1, 1)",1
10002,Atlas/Building_DIY,[2|2],,[4|100],[[4|100]],citybuilding_DIY_des_10002,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10002,zsw_10002,120,1,410295001,13,Building/Building_DIY/Building_diy_10002,citybuilding_DIY_name_10002,3,[0|0.7],"(0.0, 0.7)",,"(2, 2)",1
10003,Atlas/Building_DIY,[1|1],,[3|10],[[3|10]],citybuilding_DIY_des_10003,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10003,zsw_10003,120,1,410295001,13,Building/Building_DIY/Building_diy_10003,citybuilding_DIY_name_10003,3,[0|0.4],"(0.0, 0.4)",,"(1, 1)",1
10004,Atlas/Building_DIY,[1|1],,[4|100],[[4|100]],citybuilding_DIY_des_10004,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10004,zsw_10004,120,1,410295001,13,Building/Building_DIY/Building_diy_10004,citybuilding_DIY_name_10004,3,[0|0.2],"(0.0, 0.2)",,"(1, 1)",1
10005,Atlas/Building_DIY,[1|1],,[3|10],[[3|10]],citybuilding_DIY_des_10005,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10005,zsw_10005,120,1,410295001,13,Building/Building_DIY/Building_diy_10005,citybuilding_DIY_name_10005,3,[0|0.2],"(0.0, 0.2)",,"(1, 1)",1
10006,Atlas/Building_DIY,[1|1],,[4|100],[[4|100]],citybuilding_DIY_des_10006,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10006,zsw_10006,120,1,410295001,13,Building/Building_DIY/Building_diy_10006,citybuilding_DIY_name_10006,3,[0|0.2],"(0.0, 0.2)",,"(1, 1)",1
10007,Atlas/Building_DIY,[1|1],,[3|10],[[3|10]],citybuilding_DIY_des_10007,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10007,zsw_10007,120,1,410295001,13,Building/Building_DIY/Building_diy_10007,citybuilding_DIY_name_10007,3,[0|-0.5],"(0.0, -0.5)",,"(1, 1)",1
10008,Atlas/Building_DIY,[1|1],,[4|100],[[4|100]],citybuilding_DIY_des_10008,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10008,zsw_10008,120,1,410295001,13,Building/Building_DIY/Building_diy_10008,citybuilding_DIY_name_10008,3,[0|0.2],"(0.0, 0.2)",,"(1, 1)",1
10009,Atlas/Building_DIY,[1|1],,[10104|150],[[10104|150]],citybuilding_DIY_des_10009,4000,1200,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10009,zsw_10009,120,1,410295002,13,Building/Building_DIY/Building_diy_10009,citybuilding_DIY_name_10009,4,[0|0.2],"(0.0, 0.2)",,"(1, 1)",1
10010,Atlas/Building_DIY,[1|1],,[4|500],[[4|500]],citybuilding_DIY_des_10010,4000,1200,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10010,zsw_10010,120,1,410295002,13,Building/Building_DIY/Building_diy_10010,citybuilding_DIY_name_10010,4,[0|0.5],"(0.0, 0.5)",,"(1, 1)",1
10011,Atlas/Building_DIY,[1|1],,[4|100],[[4|100]],citybuilding_DIY_des_10011,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10011,zsw_10011,120,1,410295001,13,Building/Building_DIY/Building_diy_10011,citybuilding_DIY_name_10011,3,[0|0.2],"(0.0, 0.2)",,"(1, 1)",1
10022,Atlas/Building_DIY,[1|1],,[34|500],[[34|500]],citybuilding_DIY_des_10022,4000,6000,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10022,zsw_10022,120,1,410295003,13,Building/Building_DIY/Building_diy_10022,citybuilding_DIY_name_10022,5,[0|0.2],"(0.0, 0.2)",,"(1, 1)",1
502403,Atlas/Building_DIY,[2|2],,,[],citybuilding_DIY_des_502403,4000,-1,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_502403,zsw_502403,120,1,-1,1,Building/Building_DIY/Building_diy_502403,citybuilding_DIY_name_502403,4,[0|0],"(0.0, 0.0)",,"(2, 2)",1
10012,Atlas/Building_DIY,[1|1],,[4|500],[[4|500]],citybuilding_DIY_des_10012,4000,1200,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10012,zsw_10012,120,1,410295002,13,Building/Building_DIY/Building_diy_10012,citybuilding_DIY_name_10012,4,[0|0.4],"(0.0, 0.4)",,"(1, 1)",2
10013,Atlas/Building_DIY,[1|1],,[3|50],[[3|50]],citybuilding_DIY_des_10013,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10013,zsw_10013,120,1,410295001,13,Building/Building_DIY/Building_diy_10013,citybuilding_DIY_name_10013,3,[0|0.2],"(0.0, 0.2)",,"(1, 1)",2
10014,Atlas/Building_DIY,[1|1],,[5104|300],[[5104|300]],citybuilding_DIY_des_10014,4000,1200,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10014,zsw_10014,120,1,410295002,13,Building/Building_DIY/Building_diy_10014,citybuilding_DIY_name_10014,4,[0|0.2],"(0.0, 0.2)",,"(1, 1)",2
10015,Atlas/Building_DIY,[1|1],,[4|500],[[4|500]],citybuilding_DIY_des_10015,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10015,zsw_10015,120,1,410295001,13,Building/Building_DIY/Building_diy_10015,citybuilding_DIY_name_10015,3,[0|0.2],"(0.0, 0.2)",,"(1, 1)",2
10016,Atlas/Building_DIY,[1|1],,[3|10],[[3|10]],citybuilding_DIY_des_10016,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10016,zsw_10016,120,1,410295001,13,Building/Building_DIY/Building_diy_10016,citybuilding_DIY_name_10016,3,[0|0.2],"(0.0, 0.2)",,"(1, 1)",2
10017,Atlas/Building_DIY,[1|1],,[4|100],[[4|100]],citybuilding_DIY_des_10017,4000,240,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10017,zsw_10017,120,1,410295001,13,Building/Building_DIY/Building_diy_10017,citybuilding_DIY_name_10017,3,[0|0.5],"(0.0, 0.5)",,"(1, 1)",2
10018,Atlas/Building_DIY,[1|1],,[3|50],[[3|50]],citybuilding_DIY_des_10018,4000,1200,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10018,zsw_10018,120,1,410295002,13,Building/Building_DIY/Building_diy_10018,citybuilding_DIY_name_10018,4,[0|0.2],"(0.0, 0.2)",,"(1, 1)",2
10019,Atlas/Building_DIY,[1|1],,[1022|200],[[1022|200]],citybuilding_DIY_des_10019,4000,1200,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10019,zsw_10019,120,1,410295002,13,Building/Building_DIY/Building_diy_10019,citybuilding_DIY_name_10019,4,[0|0.2],"(0.0, 0.2)",,"(1, 1)",2
10020,Atlas/Building_DIY,[1|1],,[5103|300],[[5103|300]],citybuilding_DIY_des_10020,4000,1200,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10020,zsw_10020,120,1,410295002,13,Building/Building_DIY/Building_diy_10020,citybuilding_DIY_name_10020,4,[0|0.2],"(0.0, 0.2)",,"(1, 1)",2
10021,Atlas/Building_DIY,[1|1],,[4|500],[[4|500]],citybuilding_DIY_des_10021,4000,1200,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10021,zsw_10021,120,1,410295002,13,Building/Building_DIY/Building_diy_10021,citybuilding_DIY_name_10021,4,[0|0.2],"(0.0, 0.2)",,"(1, 1)",2
10023,Atlas/Building_DIY,[1|1],,[4|500],[[4|500]],citybuilding_DIY_des_10021,4000,1200,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10021,zsw_10021,120,0,410295002,13,Building/Building_DIY/Building_diy_10021,citybuilding_DIY_name_10021,4,[0|0.2],"(0.0, 0.2)",,"(1, 1)",2
10024,Atlas/Building_DIY,[1|1],,[4|500],[[4|500]],citybuilding_DIY_des_10021,4000,1200,1,[0|-300],"(0.0, -3.0, 0.0)",zsw_10021,zsw_10021,120,0,410295002,13,Building/Building_DIY/Building_diy_10021,citybuilding_DIY_name_10021,4,[0|0.2],"(0.0, 0.2)",,"(1, 1)",2
