id,alliance_attrs,attrs,cost_resource,desc_para,Descs,display,fight,group_id,level,property_alliance,property_num,reward,score,total_num
1000101,[],[[3|10]],,,[],Building/Building_DIY/Building_diy_10001,240,10001,1,,[3|10],,6,1
1000102,[],[[3|15]],,,[],Building/Building_DIY/Building_diy_10001,480,10001,2,,[3|15],,12,2
1000103,[],[[3|20]],,,[],Building/Building_DIY/Building_diy_10001,960,10001,3,,[3|20],,24,4
1000104,[],[[3|25]],,,[],Building/Building_DIY/Building_diy_10001,1680,10001,4,,[3|25],,42,7
1000105,[],[[3|30]],,,[],Building/Building_DIY/Building_diy_10001,2640,10001,5,,[3|30],,66,11
1000106,[],[[3|35]],,,[],Building/Building_DIY/Building_diy_10001,3600,10001,6,,[3|35],,90,15
1000107,[],[[3|40]],,,[],Building/Building_DIY/Building_diy_10001,4800,10001,7,,[3|40],,120,20
1000108,[],[[3|45]],,,[],Building/Building_DIY/Building_diy_10001,6000,10001,8,,[3|45],,150,25
1000109,[],[[3|50]],,,[],Building/Building_DIY/Building_diy_10001,7200,10001,9,,[3|50],,180,30
1000110,[],[[3|55]],,,[],Building/Building_DIY/Building_diy_10001,8400,10001,10,,[3|55],,210,35
1000111,[],[[3|60]],,,[],Building/Building_DIY/Building_diy_10001,9600,10001,11,,[3|60],,240,40
1000112,[],[[3|65]],,,[],Building/Building_DIY/Building_diy_10001,10800,10001,12,,[3|65],,270,45
1000113,[],[[3|70]],,,[],Building/Building_DIY/Building_diy_10001,12000,10001,13,,[3|70],,300,50
1000201,[],[[4|100]],,,[],Building/Building_DIY/Building_diy_10002,240,10002,1,,[4|100],,6,1
1000202,[],[[4|150]],,,[],Building/Building_DIY/Building_diy_10002,480,10002,2,,[4|150],,12,2
1000203,[],[[4|200]],,,[],Building/Building_DIY/Building_diy_10002,960,10002,3,,[4|200],,24,4
1000204,[],[[4|250]],,,[],Building/Building_DIY/Building_diy_10002,1680,10002,4,,[4|250],,42,7
1000205,[],[[4|300]],,,[],Building/Building_DIY/Building_diy_10002,2640,10002,5,,[4|300],,66,11
1000206,[],[[4|350]],,,[],Building/Building_DIY/Building_diy_10002,3600,10002,6,,[4|350],,90,15
1000207,[],[[4|400]],,,[],Building/Building_DIY/Building_diy_10002,4800,10002,7,,[4|400],,120,20
1000208,[],[[4|450]],,,[],Building/Building_DIY/Building_diy_10002,6000,10002,8,,[4|450],,150,25
