id,desc,desc_parameter,group_id,level,skill,SkillParam
30850101,citybuilding_DIY_skill_1,1|40,308501,1,[1|21001001|1],[1|21001001|1]
30850102,citybuilding_DIY_skill_1,1|50,308501,2,[1|21001001|2],[1|21001001|2]
30850103,citybuilding_DIY_skill_1,1|60,308501,3,[1|21001001|3],[1|21001001|3]
30850104,citybuilding_DIY_skill_1,1|70,308501,4,[1|21001001|4],[1|21001001|4]
30850105,citybuilding_DIY_skill_1,1|80,308501,5,[1|21001001|5],[1|21001001|5]
30850106,citybuilding_DIY_skill_2,1|90|6|2,308501,6,[1|21001001|6],[1|21001001|6]
30850107,citybuilding_DIY_skill_2,1|100|6|2,308501,7,[1|21001001|7],[1|21001001|7]
30850108,citybuilding_DIY_skill_2,1|110|6|2,308501,8,[1|21001001|8],[1|21001001|8]
30850109,citybuilding_DIY_skill_2,1|120|6|2,308501,9,[1|21001001|9],[1|21001001|9]
30850201,citybuilding_DIY_skill_3,1|40,308502,1,[2|21002001|1],[2|21002001|1]
30850202,citybuilding_DIY_skill_3,1|50,308502,2,[2|21002001|2],[2|21002001|2]
30850203,citybuilding_DIY_skill_3,1|60,308502,3,[2|21002001|3],[2|21002001|3]
30850204,citybuilding_DIY_skill_3,1|70,308502,4,[2|21002001|4],[2|21002001|4]
30850205,citybuilding_DIY_skill_3,1|80,308502,5,[2|21002001|5],[2|21002001|5]
30850206,citybuilding_DIY_skill_4,1|90|6|2,308502,6,[2|21002001|6],[2|21002001|6]
30850207,citybuilding_DIY_skill_4,1|100|6|2,308502,7,[2|21002001|7],[2|21002001|7]
30850208,citybuilding_DIY_skill_4,1|110|6|2,308502,8,[2|21002001|8],[2|21002001|8]
30850209,citybuilding_DIY_skill_4,1|120|6|2,308502,9,[2|21002001|9],[2|21002001|9]
30850301,citybuilding_DIY_skill_5,1|40,308503,1,[3|21003001|1],[3|21003001|1]
30850302,citybuilding_DIY_skill_5,1|50,308503,2,[3|21003001|2],[3|21003001|2]
30850303,citybuilding_DIY_skill_5,1|60,308503,3,[3|21003001|3],[3|21003001|3]
30850304,citybuilding_DIY_skill_5,1|70,308503,4,[3|21003001|4],[3|21003001|4]
30850305,citybuilding_DIY_skill_5,1|80,308503,5,[3|21003001|5],[3|21003001|5]
30850306,citybuilding_DIY_skill_6,1|90|6|2,308503,6,[3|21003001|6],[3|21003001|6]
30850307,citybuilding_DIY_skill_6,1|100|6|2,308503,7,[3|21003001|7],[3|21003001|7]
30850308,citybuilding_DIY_skill_6,1|110|6|2,308503,8,[3|21003001|8],[3|21003001|8]
30850309,citybuilding_DIY_skill_6,1|120|6|2,308503,9,[3|21003001|9],[3|21003001|9]
30850111,citybuilding_DIY_skill_1,4|20,308501,1,[1|21011001|1],[1|21011001|1]
30850112,citybuilding_DIY_skill_1,4|25,308501,2,[1|21011001|2],[1|21011001|2]
30850113,citybuilding_DIY_skill_1,4|30,308501,3,[1|21011001|3],[1|21011001|3]
30850114,citybuilding_DIY_skill_1,5|30,308501,4,[1|21011001|4],[1|21011001|4]
30850115,citybuilding_DIY_skill_1,5|40,308501,5,[1|21011001|5],[1|21011001|5]
30850116,citybuilding_DIY_skill_1,5|50,308501,6,[1|21011001|6],[1|21011001|6]
30850117,citybuilding_DIY_skill_1,6|50,308501,7,[1|21011001|7],[1|21011001|7]
30850118,citybuilding_DIY_skill_1,6|60,308501,8,[1|21011001|8],[1|21011001|8]
30850119,citybuilding_DIY_skill_1,6|80,308501,9,[1|21011001|9],[1|21011001|9]
30850211,citybuilding_DIY_skill_3,4|20,308502,1,[2|21012001|1],[2|21012001|1]
30850212,citybuilding_DIY_skill_3,4|25,308502,2,[2|21012001|2],[2|21012001|2]
30850213,citybuilding_DIY_skill_3,4|30,308502,3,[2|21012001|3],[2|21012001|3]
30850214,citybuilding_DIY_skill_3,5|30,308502,4,[2|21012001|4],[2|21012001|4]
30850215,citybuilding_DIY_skill_3,5|40,308502,5,[2|21012001|5],[2|21012001|5]
30850216,citybuilding_DIY_skill_3,5|50,308502,6,[2|21012001|6],[2|21012001|6]
30850217,citybuilding_DIY_skill_3,6|50,308502,7,[2|21012001|7],[2|21012001|7]
30850218,citybuilding_DIY_skill_3,6|60,308502,8,[2|21012001|8],[2|21012001|8]
30850219,citybuilding_DIY_skill_3,6|80,308502,9,[2|21012001|9],[2|21012001|9]
30850311,citybuilding_DIY_skill_5,4|20,308503,1,[3|21013001|1],[3|21013001|1]
30850312,citybuilding_DIY_skill_5,4|25,308503,2,[3|21013001|2],[3|21013001|2]
30850313,citybuilding_DIY_skill_5,4|30,308503,3,[3|21013001|3],[3|21013001|3]
30850314,citybuilding_DIY_skill_5,5|30,308503,4,[3|21013001|4],[3|21013001|4]
30850315,citybuilding_DIY_skill_5,5|40,308503,5,[3|21013001|5],[3|21013001|5]
30850316,citybuilding_DIY_skill_5,5|50,308503,6,[3|21013001|6],[3|21013001|6]
30850317,citybuilding_DIY_skill_5,6|50,308503,7,[3|21013001|7],[3|21013001|7]
30850318,citybuilding_DIY_skill_5,6|60,308503,8,[3|21013001|8],[3|21013001|8]
30850319,citybuilding_DIY_skill_5,6|80,308503,9,[3|21013001|9],[3|21013001|9]
