id,alliance_attrs,attibute,attibute_desc,attrList,attrs,banner,buildings,citybuilding_DIY_id,is_show,name,property_alliance,sort_id,suit_fightforce,suit_num,suitsNum,unlock_days
1,[],,citybuilding_DIY_suit_desc_1,,[],zsw_banner_1,[10001|10002|10003|10004|10005|10006|10007|10008|10009|10010|10011|10022|502403],[10001|10002|10003|10004|10005|10006|10007|10008|10009|10010|10011|10022|502403],1,citybuilding_DIY_suit_name_1,,1,,,[],-1
2,[],,citybuilding_DIY_suit_desc_2,,[],zsw_banner_2,[10012|10013|10014|10015|10016|10017|10018|10019|10020|10021|20001|20004|20005|20006|20007],[10012|10013|10014|10015|10016|10017|10018|10019|10020|10021|20001|20004|20005|20006|20007],1,citybuilding_DIY_suit_name_2,,2,,,[],-1
3,[],[1053|15],,[[1053|15]],[1053|15],zsw_banner_3,[30001|30002|30003|30004|30005],[30001|30002|30003|30004|30005],1,citybuilding_DIY_suit_name_3,,3,10000,[5],[5],-1
4,[],[1054|15],,[[1054|15]],[1054|15],zsw_banner_4,[104501|104401|104402|104403|104404],[104501|104401|104402|104403|104404],1,citybuilding_DIY_suit_name_4,,4,10000,[5],[5],-1
5,[],[1055|15],,[[1055|15]],[1055|15],zsw_banner_5,[105501|105401|105402|105403|105404],[105501|105401|105402|105403|105404],1,citybuilding_DIY_suit_name_5,,5,10000,[5],[5],-1
6,[],"[1096|5000,1095|1000]",,[[1096|5000]|[1095|1000]],"[1096|5000,1095|1000]",zsw_banner_6,[106501|106401|106402|106403|106404],[106501|106401|106402|106403|106404],1,citybuilding_DIY_suit_name_6,,6,18000,[5],[5],9
7,[],[1019|20],,[[1019|20]],[1019|20],zsw_banner_7,[107501|107401|107402|107403|107404],[107501|107401|107402|107403|107404],1,citybuilding_DIY_suit_name_7,,7,18000,[5],[5],-1
8,[],[103|500],,[[103|500]],[103|500],zsw_banner_8,[108501|108502|308501|308502|308503|111501|111502|111503],[108501|108502|308501|308502|308503|111501|111502|111503],1,citybuilding_DIY_suit_name_8,,8,20000,[8],[8],7
9,[],,citybuilding_DIY_suit_desc_9,,[],zsw_banner_9,[210029|210023|210030|210018|20002|20003|501504|210501|210032],[210029|210023|210030|210018|20002|20003|501504|210501|210032],1,citybuilding_DIY_suit_name_9,,9,,,[],7
10,[],,citybuilding_DIY_suit_desc_10,,[],zsw_banner_10,[109501|109401|109402|109403|109404],[109501|109401|109402|109403|109404],1,citybuilding_DIY_suit_name_10,,10,,,[],999999
11,[],[1019|20],,[[1019|20]],[1019|20],zsw_banner_12,[110501|110502|110401|110402|110403],[110501|110502|110401|110402|110403],1,citybuilding_DIY_suit_name_11,,11,18000,[5],[5],8
13,[],[1019|20],,[[1019|20]],[1019|20],zsw_banner_13,[113501|113401|113402|113403|113301],[113501|113401|113402|113403|113301],1,citybuilding_DIY_suit_name_13,,13,18000,[5],[5],30
14,[],[10104|600],,[[10104|600]],[10104|600],zsw_banner_14,[114401|114501|114502|114503|114504],[114401|114501|114502|114503|114504],1,citybuilding_DIY_suit_name_14,,14,18000,[5],[5],11
15,[],"[103|300,41|1000]",,[[103|300]|[41|1000]],"[103|300,41|1000]",zsw_banner_15,[115301|115302|115303|115304|115305|115306|115307|115308|115309],[115301|115302|115303|115304|115305|115306|115307|115308|115309],1,citybuilding_DIY_suit_name_15,,15,5000,[9],[9],-1
16,[],"[104|300,42|1000]",,[[104|300]|[42|1000]],"[104|300,42|1000]",zsw_banner_16,[116301|116302|116303|116304|116305|116306|116307|116308|116309],[116301|116302|116303|116304|116305|116306|116307|116308|116309],1,citybuilding_DIY_suit_name_16,,16,5000,[9],[9],-1
17,[],[1098|1],,[[1098|1]],[1098|1],zsw_banner_17,[117501|117502|117503|117504|117505],[117501|117502|117503|117504|117505],1,citybuilding_DIY_suit_name_17,,17,24000,[5],[5],80
18,[],,citybuilding_DIY_suit_desc_18,,[],zsw_banner_18,[118501|118502|118503],[118501|118502|118503],1,citybuilding_DIY_suit_name_18,,18,,,[],999
19,[],[10104|600],,[[10104|600]],[10104|600],zsw_banner_19,[119501|119401|119402|119403|119404],[119501|119401|119402|119403|119404],1,citybuilding_DIY_suit_name_19,,19,18000,[5],[5],56
20,[],[1019|20],,[[1019|20]],[1019|20],zsw_banner_20,[200501|200401|200402|200403|200404|200301],[200501|200401|200402|200403|200404|200301],1,citybuilding_DIY_suit_name_20,,20,18000,[6],[6],9
21,[],"[1019|20,47|200,48|200]",,[[1019|20]|[47|200]|[48|200]],"[1019|20,47|200,48|200]",zsw_banner_21,[121501|121502|121503|121401|121402],[121501|121502|121503|121401|121402],1,citybuilding_DIY_suit_name_21,,21,20000,[5],[5],62
22,[],"[1019|20,51|400]",,[[1019|20]|[51|400]],"[1019|20,51|400]",zsw_banner_22,[122501|122502|122401|122402|122403],[122501|122502|122401|122402|122403],1,citybuilding_DIY_suit_name_22,,22,20000,[5],[5],7
23,[[1019|5]|[18|150]],[1019|10],,[[1019|10]],[1019|10],zsw_banner_23,[123501|123502|123401|123402|123403|123404|123405|123406],[123501|123502|123401|123402|123403|123404|123405|123406],1,citybuilding_DIY_suit_name_23,[1019|5|18|150],23,30000,[8],[8],80
24,[],"[1019|10,52|300]",,[[1019|10]|[52|300]],"[1019|10,52|300]",zsw_banner_24,[124501|124401|124402|124403|124301],[124501|124401|124402|124403|124301],1,citybuilding_DIY_suit_name_24,,24,15000,[5],[5],80
25,[],"[1101|1,1055|5]",,[[1101|1]|[1055|5]],"[1101|1,1055|5]",zsw_banner_25,[125501|125502|125401|125402|125403],[125501|125502|125401|125402|125403],1,citybuilding_DIY_suit_name_25,,25,20000,[5],[5],30
26,[],"[1019|10,10104|200]",,[[1019|10]|[10104|200]],"[1019|10,10104|200]",zsw_banner_26,[126501|126502|126401|126402|126301],[126501|126502|126401|126402|126301],1,citybuilding_DIY_suit_name_26,,26,20000,[5],[5],67
27,[],"[1019|10,10104|200]",,[[1019|10]|[10104|200]],"[1019|10,10104|200]",zsw_banner_27,[127501|127502|127401|127402|127403],[127501|127502|127401|127402|127403],1,citybuilding_DIY_suit_name_27,,27,20000,[5],[5],27
28,[],"[1019|10,104|200]",,[[1019|10]|[104|200]],"[1019|10,104|200]",zsw_banner_28,[128501|128401|128402|128403|128404],[128501|128401|128402|128403|128404],1,citybuilding_DIY_suit_name_28,,28,20000,[5],[5],80
29,[],"[1019|10,104|200]",,[[1019|10]|[104|200]],"[1019|10,104|200]",zsw_banner_29,[129501|129502|129401|129402|129301],[129501|129502|129401|129402|129301],1,citybuilding_DIY_suit_name_29,,29,20000,[5],[5],80
30,[],"[1099|1,1053|5]",,[[1099|1]|[1053|5]],"[1099|1,1053|5]",zsw_banner_30,[130501|130502|130401|130402|130403],[130501|130502|130401|130402|130403],1,citybuilding_DIY_suit_name_30,,30,20000,[5],[5],80
31,[],"[1019|10,104|200]",,[[1019|10]|[104|200]],"[1019|10,104|200]",zsw_banner_31,[131501|131502|131503|131401|131402],[131501|131502|131503|131401|131402],1,citybuilding_DIY_suit_name_31,,31,20000,[5],[5],80
