id,Activation,activations,alliance_attrs,attrs,group_id,level,power,property_alliance,property_num
301,[5|1],[5|1],[],[[1053|15]],3,1,10000,,[1053|15]
302,[5|2],[5|2],[],[[1053|17]],3,2,20000,,[1053|17]
303,[5|3],[5|3],[],[[1053|19]],3,3,30000,,[1053|19]
304,[5|4],[5|4],[],[[1053|21]],3,4,40000,,[1053|21]
305,[5|5],[5|5],[],[[1053|23]],3,5,50000,,[1053|23]
306,[5|6],[5|6],[],[[1053|25]],3,6,60000,,[1053|25]
307,[5|7],[5|7],[],[[1053|27]],3,7,70000,,[1053|27]
308,[5|8],[5|8],[],[[1053|31]],3,8,80000,,[1053|31]
309,[5|9],[5|9],[],[[1053|35]],3,9,90000,,[1053|35]
401,[5|1],[5|1],[],[[1054|15]],4,1,10000,,[1054|15]
402,[5|2],[5|2],[],[[1054|17]],4,2,20000,,[1054|17]
403,[5|3],[5|3],[],[[1054|19]],4,3,30000,,[1054|19]
404,[5|4],[5|4],[],[[1054|21]],4,4,40000,,[1054|21]
405,[5|5],[5|5],[],[[1054|23]],4,5,50000,,[1054|23]
406,[5|6],[5|6],[],[[1054|25]],4,6,60000,,[1054|25]
407,[5|7],[5|7],[],[[1054|27]],4,7,70000,,[1054|27]
408,[5|8],[5|8],[],[[1054|31]],4,8,80000,,[1054|31]
409,[5|9],[5|9],[],[[1054|35]],4,9,90000,,[1054|35]
501,[5|1],[5|1],[],[[1055|15]],5,1,10000,,[1055|15]
502,[5|2],[5|2],[],[[1055|17]],5,2,20000,,[1055|17]
503,[5|3],[5|3],[],[[1055|19]],5,3,30000,,[1055|19]
504,[5|4],[5|4],[],[[1055|21]],5,4,40000,,[1055|21]
505,[5|5],[5|5],[],[[1055|23]],5,5,50000,,[1055|23]
506,[5|6],[5|6],[],[[1055|25]],5,6,60000,,[1055|25]
507,[5|7],[5|7],[],[[1055|27]],5,7,70000,,[1055|27]
508,[5|8],[5|8],[],[[1055|31]],5,8,80000,,[1055|31]
509,[5|9],[5|9],[],[[1055|35]],5,9,90000,,[1055|35]
701,[5|1],[5|1],[],[[1019|20]],7,1,18000,,[1019|20]
702,[5|2],[5|2],[],[[1019|30]],7,2,36000,,[1019|30]
703,[5|3],[5|3],[],[[1019|40]],7,3,54000,,[1019|40]
704,[5|4],[5|4],[],[[1019|50]],7,4,72000,,[1019|50]
705,[5|5],[5|5],[],[[1019|60]],7,5,90000,,[1019|60]
706,[5|6],[5|6],[],[[1019|70]],7,6,108000,,[1019|70]
707,[5|7],[5|7],[],[[1019|80]],7,7,126000,,[1019|80]
708,[5|8],[5|8],[],[[1019|90]],7,8,144000,,[1019|90]
709,[5|9],[5|9],[],[[1019|100]],7,9,162000,,[1019|100]
601,[5|1],[5|1],[],[[1096|5000]|[1039|100]],6,1,18000,,[1096|5000|1039|100]
602,[5|2],[5|2],[],[[1096|7500]|[1039|200]],6,2,36000,,[1096|7500|1039|200]
603,[5|3],[5|3],[],[[1096|10000]|[1039|300]],6,3,54000,,[1096|10000|1039|300]
604,[5|4],[5|4],[],[[1096|12500]|[1039|400]],6,4,72000,,[1096|12500|1039|400]
605,[5|5],[5|5],[],[[1096|15000]|[1039|500]],6,5,90000,,[1096|15000|1039|500]
606,[5|6],[5|6],[],[[1096|15000]|[1039|500]|[21008|150]],6,6,108000,,[1096|15000|1039|500|21008|150]
607,[5|7],[5|7],[],[[1096|15000]|[1039|500]|[21008|300]],6,7,126000,,[1096|15000|1039|500|21008|300]
608,[5|8],[5|8],[],[[1096|15000]|[1039|500]|[21008|450]],6,8,144000,,[1096|15000|1039|500|21008|450]
609,[5|9],[5|9],[],[[1096|15000]|[1039|500]|[21008|600]],6,9,162000,,[1096|15000|1039|500|21008|600]
1101,[5|1],[5|1],[],[[1019|20]],11,1,18000,,[1019|20]
1102,[5|2],[5|2],[],[[1019|30]],11,2,36000,,[1019|30]
1103,[5|3],[5|3],[],[[1019|40]],11,3,54000,,[1019|40]
1104,[5|4],[5|4],[],[[1019|50]],11,4,72000,,[1019|50]
1105,[5|5],[5|5],[],[[1019|60]],11,5,90000,,[1019|60]
1106,[5|6],[5|6],[],[[1019|70]],11,6,108000,,[1019|70]
1107,[5|7],[5|7],[],[[1019|80]],11,7,126000,,[1019|80]
1108,[5|8],[5|8],[],[[1019|90]],11,8,144000,,[1019|90]
1109,[5|9],[5|9],[],[[1019|100]],11,9,162000,,[1019|100]
1301,[5|1],[5|1],[],[[1019|20]],13,1,18000,,[1019|20]
1302,[5|2],[5|2],[],[[1019|30]],13,2,36000,,[1019|30]
1303,[5|3],[5|3],[],[[1019|40]],13,3,54000,,[1019|40]
1304,[5|4],[5|4],[],[[1019|50]],13,4,72000,,[1019|50]
1305,[5|5],[5|5],[],[[1019|60]],13,5,90000,,[1019|60]
1306,[5|6],[5|6],[],[[1019|60]|[21010|100]],13,6,108000,,[1019|60|21010|100]
1307,[5|7],[5|7],[],[[1019|60]|[21010|200]],13,7,126000,,[1019|60|21010|200]
