id,active_attr,level_exp
1,[1100103|300],50
2,[1100104|300],100
3,[68|200],150
4,[69|200],200
5,[1108|200],300
6,[1100103|300],400
7,[1100104|300],500
8,[68|200],600
9,[69|200],700
10,[1125|500],800
11,[1100103|300],900
12,[1100104|300],1000
13,[68|200],1200
14,[69|200],1400
15,[1126|500],1600
16,[1100103|300],1800
17,[1100104|300],2000
18,[68|200],2300
19,[69|200],2600
20,[1108|300],2900
21,[1100103|300],3200
22,[1100104|300],3500
23,[68|200],4000
24,[69|200],4500
25,[1111|1],5000
26,[1100103|600],5500
27,[1100104|600],6000
28,[68|400],6500
29,[69|400],7000
30,[1125|500],7500
31,[1100103|600],8000
32,[1100104|600],8500
33,[68|400],9000
34,[69|400],9500
35,[1126|1000],10000
36,[1100103|600],10500
37,[1100104|600],11000
38,[68|400],11500
39,[69|400],12000
40,[1108|1000],12500
41,[1100103|600],13000
42,[1100104|600],13500
43,[68|400],14000
44,[69|400],14500
45,[1125|500],15000
46,[1100103|600],15500
47,[1100104|600],16000
48,[68|400],16500
49,[69|400],17000
