id,attr_type,buildTime,cost1,cost2,cost3,des,des_icon,emotion,fightforce,group2_attr_type,group2_string_para1,group2_string_para2,guidebook_active_attr,guidebook_lv_points,index,is_guidebook_active,isActivity,lv,lv_up_reward,model,offline,para1,para2,para3,para4,para5,pre_building_level,provides_happiness,restaurant_eat,shine_lv,shine_para1,show_para1,show_para2,show_para3,show_para4,show_para5,string_para1,string_para2,teamlevel,unlock_fog_name,workflowReward
101000,0,5,,,,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,101,-1,0,0,-1,Building/Building_Base_0,,-1,-1,-1,-1,-1,,0,-1,-1,,1,1,1,1,1,,,-1,,-1
101001,0,30,[999|4|100],,,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,101,-1,1,1,-1,Avatar/Spine/Building/Default,,-1,-1,-1,-1,-1,,1,-1,-1,,1,1,1,1,1,,,-1,F1_1,-1
101002,0,30,[999|4|200],[999|5|200],,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,101,-1,1,2,-1,,,-1,-1,-1,-1,-1,,2,-1,-1,,1,1,1,1,1,,,-1,,-1
101003,0,30,[999|4|400],[999|5|400],,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,101,-1,1,3,-1,,,-1,-1,-1,-1,-1,,3,-1,-1,,1,1,1,1,1,,,-1,,-1
101004,0,30,[999|4|700],[999|5|700],,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,101,-1,1,4,-1,,,-1,-1,-1,-1,-1,,4,-1,-1,,1,1,1,1,1,,,-1,,-1
101005,0,30,[999|4|1200],[999|5|1200],,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,101,-1,1,5,-1,,,-1,-1,-1,-1,-1,,5,-1,-1,,1,1,1,1,1,,,-1,,-1
101006,0,30,[999|4|1900],[999|5|1900],,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,101,-1,1,6,-1,,,-1,-1,-1,-1,-1,,6,-1,-1,,1,1,1,1,1,,,-1,,-1
101007,0,30,[999|4|2800],[999|5|2800],,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,101,-1,1,7,-1,,,-1,-1,-1,-1,-1,,7,-1,-1,,1,1,1,1,1,,,-1,,-1
101008,0,30,[999|4|4000],[999|5|4000],,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,101,-1,1,8,-1,,,-1,-1,-1,-1,-1,,8,-1,-1,,1,1,1,1,1,,,-1,,-1
101009,0,30,[999|4|5500],[999|5|5500],,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,101,-1,1,9,-1,,,-1,-1,-1,-1,-1,,9,-1,-1,,1,1,1,1,1,,,-1,,-1
