id,background,reward,rewards,task_group,taskGroups
1,Textures/ActivityList/bg_puzzle_xmas_image,[12210716|12210717|12210718|12210719|12210720|12210721|12210722|12210723|12210724],[12210716|12210717|12210718|12210719|12210720|12210721|12210722|12210723|12210724],[1092|1093|1094|1095|1096],[1092|1093|1094|1095|1096]
2,Textures/ActivityList/bg_puzzle_xmas_image,[12210716|12210717|12210718|12210719|12210720|12210721|12210722|12210723|12210724],[12210716|12210717|12210718|12210719|12210720|12210721|12210722|12210723|12210724],[2006|2007|2008|2009|2010],[2006|2007|2008|2009|2010]
3,Textures/ActivityList/bg_puzzle_xmas_image,[402051616|402051617|402051618|402051619|402051620|402051621|402051622|402051623|402051624],[402051616|402051617|402051618|402051619|402051620|402051621|402051622|402051623|402051624],[2065|2066|2067|2068|2069],[2065|2066|2067|2068|2069]
4,Textures/ActivityList/bg_puzzle_xmas_image,[404240716|404240717|404240718|404240719|404240720|404240721|404240722|404240723|404240724],[404240716|404240717|404240718|404240719|404240720|404240721|404240722|404240723|404240724],[2091|2092|2093|2094|2095],[2091|2092|2093|2094|2095]
5,Textures/ActivityList/bg_puzzle_xmas_image,[406170016|406170017|406170018|406170019|406170020|406170021|406170022|406170023|406170024],[406170016|406170017|406170018|406170019|406170020|406170021|406170022|406170023|406170024],[4029|4030|4031|4032|4033],[4029|4030|4031|4032|4033]
6,Textures/ActivityList/bg_puzzle_xmas_image,[409140116|409140117|409140118|409140119|409140120|409140121|409140122|409140123|409140124],[409140116|409140117|409140118|409140119|409140120|409140121|409140122|409140123|409140124],[4084|4085|4086|4087|4088],[4084|4085|4086|4087|4088]
7,Textures/ActivityList/bg_puzzle_xmas_image,[503250216|503250217|503250218|503250219|503250220|503250221|503250222|503250223|503250224],[503250216|503250217|503250218|503250219|503250220|503250221|503250222|503250223|503250224],[4241|4242|4243|4244|4245],[4241|4242|4243|4244|4245]
8,Textures/ActivityList/bg_puzzle_xmas_image,[506180216|506180217|506180218|506180219|506180220|506180221|506180222|506180223|506180224],[506180216|506180217|506180218|506180219|506180220|506180221|506180222|506180223|506180224],[4286|4287|4288|4289|4290],[4286|4287|4288|4289|4290]
9,Textures/ActivityList/bg_puzzle_xmas_image,[508070016|508070017|508070018|508070019|508070020|508070021|508070022|508070023|508070024],[508070016|508070017|508070018|508070019|508070020|508070021|508070022|508070023|508070024],[4309|4310|4311|4312|4313],[4309|4310|4311|4312|4313]
10,Textures/ActivityList/bg_puzzle_xmas_image,[512026616|512026617|512026618|512026619|512026620|512026621|512026622|512026623|512026624],[512026616|512026617|512026618|512026619|512026620|512026621|512026622|512026623|512026624],[4377|4378|4379|4380|4381],[4377|4378|4379|4380|4381]
11,Textures/ActivityList/bg_puzzle_xmas_image,[601141616|601141617|601141618|601141619|601141620|601141621|601141622|601141623|601141624],[601141616|601141617|601141618|601141619|601141620|601141621|601141622|601141623|601141624],[4492|4493|4494|4495|4496],[4492|4493|4494|4495|4496]
12,Textures/ActivityList/bg_puzzle_xmas_image,[603160016|603160017|603160018|603160019|603160020|603160021|603160022|603160023|603160024],[603160016|603160017|603160018|603160019|603160020|603160021|603160022|603160023|603160024],[4533|4534|4535|4536|4537],[4533|4534|4535|4536|4537]
