id,difficulty_icon,difficulty_name,energy_cost,monster_list,reward_show,reward_stage
1,ui_ha_nandu1,dark_legion_difficult_11,0,33001|33002|33003|33004|33005|33006|33007|33008|33009|33010|33011|33012|33013|33014|33015|33016|33017|33018|33019|33020|33021|33022|33023|33024|33025|33026|33027|33028|33029|33030,32710,"33005|32701,33010|32702,33015|32703,33020|32704,33025|32705,33030|32706"
2,ui_ha_nandu2,dark_legion_difficult_11,0,34001|34002|34003|34004|34005|34006|34007|34008|34009|34010|34011|34012|34013|34014|34015|34016|34017|34018|34019|34020|34021|34022|34023|34024|34025|34026|34027|34028|34029|34030,32720,"34005|32711,34010|32712,34015|32713,34020|32714,34025|32715,34030|32716"
3,ui_ha_nandu3,dark_legion_difficult_11,0,35001|35002|35003|35004|35005|35006|35007|35008|35009|35010|35011|35012|35013|35014|35015|35016|35017|35018|35019|35020|35021|35022|35023|35024|35025|35026|35027|35028|35029|35030,32730,"35005|32721,35010|32722,35015|32723,35020|32724,35025|32725,35030|32726"
4,ui_ha_nandu4,dark_legion_difficult_11,0,36001|36002|36003|36004|36005|36006|36007|36008|36009|36010|36011|36012|36013|36014|36015|36016|36017|36018|36019|36020|36021|36022|36023|36024|36025|36026|36027|36028|36029|36030,32740,"36005|32731,36010|32732,36015|32733,36020|32734,36025|32735,36030|32736"
5,ui_ha_nandu5,dark_legion_difficult_11,0,37001|37002|37003|37004|37005|37006|37007|37008|37009|37010|37011|37012|37013|37014|37015|37016|37017|37018|37019|37020|37021|37022|37023|37024|37025|37026|37027|37028|37029|37030,32750,"37005|32741,37010|32742,37015|32743,37020|32744,37025|32745,37030|32746"
6,ui_ha_nandu6,dark_legion_difficult_11,0,38001|38002|38003|38004|38005|38006|38007|38008|38009|38010|38011|38012|38013|38014|38015|38016|38017|38018|38019|38020|38021|38022|38023|38024|38025|38026|38027|38028|38029|38030,32760,"38005|32751,38010|32752,38015|32753,38020|32754,38025|32755,38030|32756"
7,ui_ha_nandu1,dark_legion_difficult_12,0,1201001|1201002|1201003|1201004|1201005|1201006|1201007|1201008|1201009|1201010|1201011|1201012|1201013|1201014|1201015|1201016|1201017|1201018|1201019|1201020|1201021|1201022|1201023|1201024|1201025|1201026|1201027|1201028|1201029|1201030,32810,"1201005|32801,1201010|32802,1201015|32803,1201020|32804,1201025|32805,1201030|32806"
8,ui_ha_nandu2,dark_legion_difficult_12,0,1202001|1202002|1202003|1202004|1202005|1202006|1202007|1202008|1202009|1202010|1202011|1202012|1202013|1202014|1202015|1202016|1202017|1202018|1202019|1202020|1202021|1202022|1202023|1202024|1202025|1202026|1202027|1202028|1202029|1202030,32820,"1202005|32811,1202010|32812,1202015|32813,1202020|32814,1202025|32815,1202030|32816"
9,ui_ha_nandu3,dark_legion_difficult_12,0,1203001|1203002|1203003|1203004|1203005|1203006|1203007|1203008|1203009|1203010|1203011|1203012|1203013|1203014|1203015|1203016|1203017|1203018|1203019|1203020|1203021|1203022|1203023|1203024|1203025|1203026|1203027|1203028|1203029|1203030,32830,"1203005|32821,1203010|32822,1203015|32823,1203020|32824,1203025|32825,1203030|32826"
10,ui_ha_nandu4,dark_legion_difficult_12,0,1204001|1204002|1204003|1204004|1204005|1204006|1204007|1204008|1204009|1204010|1204011|1204012|1204013|1204014|1204015|1204016|1204017|1204018|1204019|1204020|1204021|1204022|1204023|1204024|1204025|1204026|1204027|1204028|1204029|1204030,32840,"1204005|32831,1204010|32832,1204015|32833,1204020|32834,1204025|32835,1204030|32836"
