id,attr_1,attr_1_grow,attr_2,attr_2_grow,attr_3,attr_4,attr_5,attr_6,attrList,component1_levelup,component2_levelup,component3_levelup,component4_levelup,growList
10001,[3|25],[3|5],[4|100],[4|20],[10|10000],[5|450],[23|15],[24|0],[[3|25]|[4|100]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|5]|[4|20]]
10002,[3|25],[3|6],[4|100],[4|16],[10|10000],[5|450],[23|15],[24|0],[[3|25]|[4|100]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|6]|[4|16]]
10003,[3|30],[3|7],[4|130],[4|22],[10|10000],[5|450],[23|15],[24|0],[[3|30]|[4|130]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|7]|[4|22]]
10004,[3|40],[3|6],[4|150],[4|38],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|6]|[4|38]]
10005,[3|40],[3|7],[4|150],[4|34],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|7]|[4|34]]
10006,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10007,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10008,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10009,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10010,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
