id,dialog,group,name,picture,place
1,dialog_dialog_1,1,hero_name_10001,Avatar/Spine/Hero/Human,1
2,dialog_dialog_2,1,hero_name_10001,Avatar/Spine/Hero/Human,1
3,dialog_dialog_3,1,hero_name_10001,Avatar/Spine/Hero/Human,1
4,dialog_dialog_4,2,hero_name_10002,Avatar/Spine/Hero/Archer,1
5,dialog_dialog_5,2,hero_name_10002,Avatar/Spine/Hero/Archer,1
6,dialog_dialog_6,2,hero_name_10002,Avatar/Spine/Hero/Archer,1
994,dialog_dialog_307,10000,hero_name_10002,Avatar/Spine/Hero/Archer,1
995,dialog_dialog_308,10000,hero_name_10002,Avatar/Spine/Hero/Archer,1
7,dialog_dialog_7,3,hero_name_10003,Avatar/Spine/Hero/Healing,1
8,dialog_dialog_8,3,hero_name_10003,Avatar/Spine/Hero/Healing,1
9,dialog_dialog_8,4,hero_name_10004,Avatar/Spine/Hero/Knight,1
10,dialog_dialog_13,4,hero_name_10004,Avatar/Spine/Hero/Knight,1
11,dialog_dialog_16,5,hero_name_10005,Avatar/Hero/Dance,1
14,dialog_dialog_9,7,villager_name_20002,Avatar/Spine/Villager/villager_2,1
15,dialog_dialog_10,7,villager_name_20002,Avatar/Spine/Villager/villager_2,1
16,dialog_dialog_11,7,villager_name_20002,Avatar/Spine/Villager/villager_2,1
996,dialog_dialog_309,10001,villager_name_20002,Avatar/Spine/Villager/villager_2,1
998,dialog_dialog_311,10001,villager_name_20002,Avatar/Spine/Villager/villager_2,1
17,dialog_dialog_17,8,villager_name_20001,Avatar/Spine/Villager/villager_1,1
18,dialog_dialog_18,8,villager_name_20001,Avatar/Spine/Villager/villager_1,1
19,dialog_dialog_19,9,villager_name_20002,Avatar/Spine/Villager/villager_2,1
9922,dialog_dialog_320,10007,villager_name_20002,Avatar/Spine/Villager/villager_2,1
20,dialog_dialog_20,10,villager_name_20004,Avatar/Spine/Villager/villager_4,1
21,dialog_dialog_21,10,villager_name_20004,Avatar/Spine/Villager/villager_4,1
9910,dialog_dialog_313,10002,villager_name_20004,Avatar/Spine/Villager/villager_4,1
9911,dialog_dialog_314,10002,villager_name_20004,Avatar/Spine/Villager/villager_4,1
22,dialog_dialog_1,11,hero_name_10001,Avatar/Spine/Hero/Human,1
23,dialog_dialog_23,12,hero_name_10006,Avatar/Spine/Hero/Old_mage,1
24,dialog_dialog_24,12,hero_name_10006,Avatar/Spine/Hero/Old_mage,1
25,dialog_dialog_25,13,hero_name_10007,Avatar/Spine/Hero/Trade,1
26,dialog_dialog_26,13,hero_name_10007,Avatar/Spine/Hero/Trade,1
9914,dialog_dialog_317,10003,hero_name_10007,Avatar/Spine/Hero/Trade,1
27,dialog_dialog_27,14,hero_name_10005,Avatar/Spine/Hero/Dance,1
28,dialog_dialog_28,14,hero_name_10005,Avatar/Spine/Hero/Dance,1
29,hero_cry_21001,15,hero_name_21001,Avatar/VillageAnimals/WildGoat,1
30,hero_cry_22002,16,hero_name_22002,Avatar/VillageAnimals/Cow,1
31,hero_cry_23003,17,hero_name_23003,Avatar/VillageAnimals/Gobbler,1
32,hero_cry_24004,18,hero_name_24004,Avatar/VillageAnimals/Pug,1
33,hero_cry_25005,19,hero_name_25005,Avatar/VillageAnimals/Chicken,1
9917,hero_cry_25005,10004,hero_name_25005,Avatar/VillageAnimals/Chicken,1
34,hero_cry_26006,20,hero_name_26006,Avatar/VillageAnimals/Rooster,1
