id,cost_id,cost_price_ten,dice_bg_name,dice_prefab_name,dice_ui_prefix,empty_state_prefab_name,goods_id,reward_bg_name,reward1,reward1_probability,reward2,reward3,reward4,reward4_probability,roll_range,shape_probability,shop_btn_name
1,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,401253001,21|20|17|15|14|13,401253002,401253003,401253004|401253005|401253006|401253007,1|1|1|1,30,1|6|3|20,icon_shop
2,401300003,9,Textures/Shop/bg_hd_qrj,DiceRootSkin4Love,icon_qrj_,EmptyDiceObj4Love,401301003,dice_hd_4_qrj,402051001,50|125|150|250|250|200,402051002,402051003,402051004|402051005|402051006|402051007,1|1|1|1,30,1|6|3|20,icon_shop_qrj
3,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,402291001,21|20|17|15|14|13,402291002,402291003,402291004|402291005|402291006|402291007,1|1|1|1,30,1|6|3|20,icon_shop
4,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,403081001,30|50|220|250|250|200,403081002,403081003,403081004|403081005|403081006|403081007,1|1|1|1,30,1|6|3|20,icon_shop
5,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,403115101,100|150|300|300|100|50,403115102,403115103,403115104|403115105|403115106|403115107,1|1|1|1,30,1|6|3|20,icon_shop
6,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,404125001,100|150|300|300|100|50,404125002,404125003,404125004|404125005|404125006,1|1|1,30,1|6|3|20,icon_shop
7,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,404191001,100|150|300|300|100|50,404191002,404191003,404191004|404191005|404191006,1|1|1,30,1|6|3|20,icon_shop
8,404241001,9,Textures/Shop/bg_hd_zsz,DiceRootSkinSakura,icon_Sakura_,EmptyDiceObjSakura,404241004,db_hd_zsz,404240001,100|150|300|300|100|50,404240002,404240003,404240004|404240005|404240006,1|1|1,30,1|6|3|20,icon_shop
9,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,405170001,100|150|300|300|100|50,405170002,405170003,405170004|405170005|405170006,1|1|1,30,1|6|3|20,icon_shop
10,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,405306001,30|50|220|250|250|200,405306002,405306003,405306004|405306005|405306006,1|1|1,30,1|6|3|20,icon_shop
11,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,406141001,35|30|20|10|4|1,406141002,406141003,406141004|406141005|406141006,1|1|1,20,2|4|2|12,icon_shop
