id,assist_reward,hero_condition,hero_num,heroCondition,icon,model,name,quality,reward_resource_can_steal,reward_resource_no_steal,star,steal_num,steal_percentage,time,type,ui_banner,weight
1101,1321021,[3|3|1|2|50|2],2,[[3|3|1]|[2|50|2]],icon_remainsTsk_boss,dig_treasure1,dig_treasure_27,3,1321001,1321011,1,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
1102,1321022,[3|3|2|2|55|2],2,[[3|3|2]|[2|55|2]],icon_remainsTsk_boss,dig_treasure4,dig_treasure_27,4,1321002,1321012,1,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
1103,1321023,[3|4|1|1|4|1|2|60|3],3,[[3|4|1]|[1|4|1]|[2|60|3]],icon_remainsTsk_boss,dig_treasure3,dig_treasure_27,5,1321003,1321013,1,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
1201,1321024,[3|3|1|2|50|2],2,[[3|3|1]|[2|50|2]],icon_remainsTsk_mining,dig_treasure1,dig_treasure_28,3,1321004,1321014,1,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
1202,1321025,[3|3|2|2|55|2],2,[[3|3|2]|[2|55|2]],icon_remainsTsk_mining,dig_treasure4,dig_treasure_28,4,1321005,1321015,1,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
1203,1321026,[3|4|1|1|4|1|2|60|3],3,[[3|4|1]|[1|4|1]|[2|60|3]],icon_remainsTsk_mining,dig_treasure3,dig_treasure_28,5,1321006,1321016,1,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
1301,1321027,[3|3|1|2|50|2],2,[[3|3|1]|[2|50|2]],icon_remainsTsk_search,dig_treasure1,dig_treasure_29,3,1321007,1321017,1,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
1302,1321028,[3|3|2|2|55|2],2,[[3|3|2]|[2|55|2]],icon_remainsTsk_search,dig_treasure4,dig_treasure_29,4,1321008,1321018,1,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
1303,1321029,[3|4|1|1|4|1|2|60|3],3,[[3|4|1]|[1|4|1]|[2|60|3]],icon_remainsTsk_search,dig_treasure3,dig_treasure_29,5,1321009,1321019,1,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
1401,1321030,[3|4|1|1|4|1|2|60|3],3,[[3|4|1]|[1|4|1]|[2|60|3]],icon_remainsTsk_box,dig_treasure2,dig_treasure_30,5,1321010,1321020,1,3,System.Int32[],14400,2,banner_bubble_dig_treasure_4,5
2101,1321051,[3|4|1|2|60|2],2,[[3|4|1]|[2|60|2]],icon_remainsTsk_boss,dig_treasure1,dig_treasure_27,3,1321031,1321041,2,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
2102,1321052,[3|4|2|2|70|2],3,[[3|4|2]|[2|70|2]],icon_remainsTsk_boss,dig_treasure4,dig_treasure_27,4,1321032,1321042,2,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
2103,1321053,[3|5|2|1|4|1|2|80|3],3,[[3|5|2]|[1|4|1]|[2|80|3]],icon_remainsTsk_boss,dig_treasure3,dig_treasure_27,5,1321033,1321043,2,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
2201,1321054,[3|4|1|2|60|2],3,[[3|4|1]|[2|60|2]],icon_remainsTsk_mining,dig_treasure1,dig_treasure_28,3,1321034,1321044,2,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
2202,1321055,[3|4|2|2|70|2],3,[[3|4|2]|[2|70|2]],icon_remainsTsk_mining,dig_treasure4,dig_treasure_28,4,1321035,1321045,2,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
2203,1321056,[3|5|2|1|4|1|2|80|3],3,[[3|5|2]|[1|4|1]|[2|80|3]],icon_remainsTsk_mining,dig_treasure3,dig_treasure_28,5,1321036,1321046,2,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
2301,1321057,[3|4|1|2|60|2],3,[[3|4|1]|[2|60|2]],icon_remainsTsk_search,dig_treasure1,dig_treasure_29,3,1321037,1321047,2,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
2302,1321058,[3|4|2|2|70|2],3,[[3|4|2]|[2|70|2]],icon_remainsTsk_search,dig_treasure4,dig_treasure_29,4,1321038,1321048,2,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
2303,1321059,[3|5|2|1|4|1|2|80|3],3,[[3|5|2]|[1|4|1]|[2|80|3]],icon_remainsTsk_search,dig_treasure3,dig_treasure_29,5,1321039,1321049,2,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
2401,1321060,[3|5|2|1|4|1|2|80|3],3,[[3|5|2]|[1|4|1]|[2|80|3]],icon_remainsTsk_box,dig_treasure2,dig_treasure_30,5,1321040,1321050,2,3,System.Int32[],14400,2,banner_bubble_dig_treasure_4,5
3101,1321081,[3|4|1|2|70|2],3,[[3|4|1]|[2|70|2]],icon_remainsTsk_boss,dig_treasure1,dig_treasure_27,3,1321061,1321071,3,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
3102,1321082,[3|5|2|1|4|1|2|80|2],3,[[3|5|2]|[1|4|1]|[2|80|2]],icon_remainsTsk_boss,dig_treasure4,dig_treasure_27,4,1321062,1321072,3,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
